word,tfidf_score,talk_frequency,global_frequency
livelihood,0.058643,26,42
jobs,0.055951,23,33
job,0.041466,39,157
wise,0.018453,25,383
dukkha,0.016816,18,401
unstressful,0.014078,4,5
conflict,0.013012,8,302
relishing,0.012205,4,7
mortifies,0.011962,3,3
occupation,0.011962,3,3
sutta,0.011794,11,307
store,0.011049,6,39
stir,0.010333,4,12
work,0.010191,32,822
poison,0.009731,4,34
grocery,0.008636,4,25
activated,0.008569,5,70
avoid,0.008405,7,122
eightfold,0.008236,5,83
kerry,0.007975,2,2
fodder,0.007975,2,2
meat,0.007975,2,2
numbered,0.007975,2,2
relish,0.007975,2,2
substantial,0.007750,3,11
highest,0.007727,4,35
blessing,0.007601,4,39
ethical,0.007474,6,192
path,0.007219,14,779
categories,0.007150,4,48
charnel,0.007039,2,3
dancers,0.007039,2,5
forty,0.007039,2,3
mangala,0.007039,2,3
translations,0.006767,3,29
stressful,0.006763,4,49
someday,0.006491,2,4
cheese,0.006491,2,4
company,0.006346,3,27
blessings,0.006223,3,29
characteristics,0.006171,5,160
liberation,0.006114,5,113
tool,0.006107,3,35
checklist,0.006103,2,5
consistency,0.006103,2,5
lay,0.006055,4,85
samma,0.005801,2,10
outcomes,0.005801,2,12
initiative,0.005801,2,8
monastics,0.005701,3,42
site,0.005555,2,7
bhikkhu,0.005525,3,66
pleasing,0.005347,2,12
list,0.005272,5,161
stirring,0.005167,2,11
power,0.005101,5,190
violent,0.005008,2,15
cruel,0.005008,2,11
harm,0.004938,5,324
sleep,0.004819,3,55
balanced,0.004648,3,73
flip,0.004511,2,18
factors,0.004343,3,90
project,0.004163,3,79
tools,0.004072,2,29
beyond,0.004015,4,183
dream,0.003999,2,33
academia,0.003987,1,1
ajiva,0.003987,1,1
five-point,0.003987,1,1
cheesemonger,0.003987,1,1
revising,0.003987,1,1
unprocessed,0.003987,1,1
unproductive,0.003987,1,1
graf,0.003987,1,1
for-profit,0.003987,1,1
high-end,0.003987,1,1
butcher,0.003987,1,1
outage,0.003987,1,1
competition,0.003987,1,1
mortifying,0.003987,1,1
humiliating,0.003987,1,1
mortify,0.003987,1,1
jailer,0.003987,1,1
executioner,0.003987,1,1
flattery,0.003987,1,1
hinting,0.003987,1,1
belittling,0.003987,1,1
disingenuous,0.003987,1,1
archery,0.003987,1,1
fester,0.003987,1,1
anavakula,0.003987,1,1
ca,0.003987,1,1
kammanta,0.003987,1,1
sujato's,0.003987,1,1
narada,0.003987,1,1
thera's,0.003987,1,1
policies,0.003987,1,1
hierarchies,0.003987,1,1
imposter,0.003987,1,1
syndrome,0.003987,1,1
yearly,0.003987,1,1
reviews,0.003987,1,1
boo-boos,0.003987,1,1
kammaramata,0.003987,1,1
covetous,0.003987,1,1
relishes,0.003987,1,1
medicant,0.003987,1,1
translated,0.003983,4,136
lead,0.003983,4,198
social,0.003958,3,112
versus,0.003958,3,87
discourses,0.003929,2,33
identification,0.003929,2,30
protection,0.003801,2,33
abandon,0.003801,2,47
stress,0.003766,4,224
ill,0.003737,3,129
working,0.003718,5,282
reality,0.003669,3,115
material,0.003628,2,45
show,0.003609,5,248
folks,0.003538,3,118
dunn,0.003519,1,2
backgrounds,0.003519,1,2
wakeup,0.003519,1,2
blog,0.003519,1,2
posts,0.003519,1,2
clerk,0.003519,1,2
blatantly,0.003519,1,4
extrapolate,0.003519,1,2
performers,0.003519,1,2
ethos,0.003519,1,2
organizational,0.003519,1,2
sandwiches,0.003519,1,2
slice,0.003519,1,2
twinge,0.003519,1,2
trump,0.003519,1,2
torturing,0.003519,1,2
bandit,0.003519,1,5
bracket,0.003519,1,2
realities,0.003519,1,2
expensive,0.003519,1,2
correctional,0.003519,1,2
deceitful,0.003519,1,2
farming,0.003519,1,2
congratulations,0.003519,1,2
harboring,0.003519,1,2
interviews,0.003519,1,2
ladder,0.003519,1,2
burnout,0.003519,1,2
exhaustion,0.003519,1,2
overwork,0.003519,1,2
deadline,0.003519,1,6
digging,0.003519,1,2
avoiding,0.003475,2,40
teachers,0.003458,4,193
piece,0.003445,3,129
sort,0.003432,4,241
talks,0.003380,4,215
animals,0.003337,2,56
enlightened,0.003337,2,45
pressure,0.003279,4,253
hunt,0.003246,1,5
retired,0.003246,1,3
trading,0.003246,1,5
bodhi's,0.003246,1,3
bite,0.003246,1,4
cheering,0.003246,1,4
snuff,0.003246,1,3
officers,0.003246,1,3
twofold,0.003246,1,3
riled,0.003246,1,3
mendicant,0.003246,1,3
learn,0.003239,6,403
lists,0.003213,2,101
got,0.003190,6,534
welfare,0.003062,2,95
applications,0.003051,1,4
sub,0.003051,1,5
shelley,0.003051,1,5
warriors,0.003051,1,4
trade,0.003051,1,4
cattle,0.003051,1,6
professions,0.003051,1,4
nisabho,0.003051,1,10
qualified,0.003051,1,4
climbing,0.003051,1,4
non-identification,0.003051,1,4
aimed,0.003051,1,6
decline,0.003051,1,4
halfway,0.003051,1,4
achieving,0.003051,1,6
rightly,0.003051,1,4
obstacle,0.003051,1,4
benefited,0.003051,1,6
teachings,0.003047,6,507
line,0.003036,3,161
instruction,0.003027,2,69
flavor,0.002993,2,57
identity,0.002993,2,122
ground,0.002987,3,148
appropriate,0.002987,3,162
staff,0.002901,1,7
counter,0.002901,1,8
performing,0.002901,1,6
heedlessness,0.002901,1,9
delicious,0.002901,1,7
lifts,0.002901,1,8
poverty,0.002901,1,14
raising,0.002901,1,5
readily,0.002901,1,5
guarding,0.002901,1,11
enjoys,0.002901,1,5
indulging,0.002901,1,8
types,0.002865,2,83
worth,0.002865,2,74
let's,0.002845,5,389
supposed,0.002825,3,137
wrong,0.002824,4,315
clinging,0.002803,4,428
grounds,0.002778,1,9
intoxicants,0.002778,1,13
tasted,0.002778,1,7
persons,0.002778,1,6
