word,tfidf_score,talk_frequency,global_frequency
silence,0.040346,29,188
self,0.027758,33,1111
abbess,0.023347,6,21
noble,0.021942,15,263
silent,0.016930,9,110
layers,0.015295,6,42
alternative,0.015182,9,100
activity,0.013664,13,308
true,0.011888,15,387
sweeping,0.011674,3,7
assigning,0.011674,3,8
self-preoccupation,0.011584,4,23
concepts,0.010726,6,153
vacation,0.009323,4,52
extra,0.009083,6,179
woman,0.008620,4,97
attachment,0.008596,5,145
mine,0.008347,6,228
courtyard,0.008187,2,5
fueling,0.008046,3,45
monk,0.007854,4,99
revealing,0.007782,2,6
baby,0.007648,3,45
constellation,0.007452,2,8
needed,0.006931,7,227
preoccupied,0.006502,4,115
locus,0.006354,2,27
identities,0.006354,2,28
centered,0.006272,4,143
quiet,0.006061,8,436
layer,0.006051,2,17
soul,0.005792,2,37
preoccupation,0.005528,3,97
halls,0.005349,1,1
integrally,0.005349,1,1
self-forgetting,0.005349,1,1
free-floating,0.005349,1,1
caught-up,0.005349,1,1
non-preoccupation,0.005349,1,1
leeway,0.005349,1,1
solidly,0.005349,1,1
devaluing,0.005349,1,1
self-rumination,0.005349,1,1
vortex,0.005349,1,1
eater,0.005349,1,1
talker,0.005349,1,1
protected,0.005271,2,27
dinner,0.005183,2,26
enter,0.005133,4,189
essence,0.005018,2,46
discovery,0.005018,2,51
tower,0.004867,2,41
intuitions,0.004721,1,5
solitary,0.004721,1,2
shyly,0.004721,1,2
carer,0.004721,1,2
stagehand,0.004721,1,2
equipment,0.004721,1,2
worthiness,0.004354,1,4
unworthiness,0.004354,1,4
self-assertion,0.004354,1,3
penetrated,0.004354,1,3
date,0.004354,1,3
holder,0.004354,1,4
seeming,0.004354,1,3
nobility,0.004354,1,3
deep,0.004334,13,1007
monastery,0.004310,2,83
thoughts,0.004149,11,1183
doctrines,0.004093,1,6
self-evaluation,0.004093,1,5
scripture,0.004093,1,7
sweeps,0.004093,1,5
ask,0.004020,4,285
reviewing,0.003891,1,5
non-self,0.003891,1,8
unimaginable,0.003891,1,7
defending,0.003891,1,5
asserting,0.003891,1,5
neglect,0.003891,1,11
profession,0.003891,1,8
whirlpool,0.003891,1,6
samadhi,0.003875,5,1513
sweep,0.003726,1,7
self-preoccupied,0.003726,1,6
fully,0.003678,4,284
sensing,0.003616,3,324
location,0.003611,2,80
smiled,0.003586,1,9
chatting,0.003586,1,7
caretaker,0.003586,1,8
swirl,0.003586,1,8
interest,0.003540,2,103
resides,0.003466,1,10
doctrine,0.003466,1,12
assumed,0.003466,1,12
argument,0.003466,1,9
criticizing,0.003466,1,10
goodwill,0.003453,3,427
hopefully,0.003406,2,80
caught,0.003365,4,358
coolness,0.003359,1,15
constructing,0.003359,1,11
flexibility,0.003359,1,10
convey,0.003359,1,10
coordinated,0.003359,1,22
broadcast,0.003359,1,9
suggestion,0.003359,1,10
shift,0.003274,3,217
recede,0.003263,1,12
protest,0.003263,1,11
possession,0.003263,1,15
valuing,0.003263,1,13
fluidity,0.003263,1,19
secondary,0.003263,1,13
challenges,0.003221,2,103
carry,0.003221,2,102
safety,0.003192,2,116
self-concern,0.003177,1,17
peaceful,0.003176,5,397
past,0.003153,3,226
reveals,0.003098,1,17
cook,0.003098,1,19
lived,0.003054,2,115
craving,0.003054,2,242
lifetimes,0.003026,1,21
heaven,0.003026,1,64
replied,0.003026,1,20
precise,0.003026,1,19
imaginary,0.003026,1,18
since,0.003002,2,95
stories,0.002993,3,361
gives,0.002993,3,218
you'll,0.002993,3,216
certain,0.002963,7,604
filter,0.002959,1,22
ownership,0.002959,1,18
determined,0.002959,1,15
driver,0.002959,1,21
stability,0.002951,2,164
continuation,0.002896,1,15
maintaining,0.002896,1,19
hell,0.002838,1,40
arrows,0.002838,1,56
awareness,0.002831,6,1240
revealed,0.002783,1,22
projections,0.002783,1,23
presented,0.002783,1,22
commentaries,0.002783,1,30
resentment,0.002731,1,31
studied,0.002731,1,23
realization,0.002731,1,34
state,0.002718,3,483
discover,0.002715,2,190
builds,0.002682,1,23
greatest,0.002682,1,22
settled,0.002678,3,413
well-being,0.002678,3,536
year,0.002650,2,243
status,0.002636,1,33
inside,0.002622,4,424
focus,0.002599,3,342
orienting,0.002591,1,31
constructed,0.002591,1,54
opinion,0.002591,1,58
seemingly,0.002591,1,23
answer,0.002587,2,184
top,0.002587,2,158
control,0.002567,2,243
caring,0.002546,2,210
selfing,0.002470,1,100
adjusting,0.002470,1,29
walked,0.002470,1,37
strong,0.002449,3,340
integral,0.002433,1,31
violence,0.002398,1,61
unnecessary,0.002398,1,34
expected,0.002398,1,32
radiating,0.002364,1,51
falls,0.002364,1,43
continued,0.002364,1,35
abiding,0.002364,1,56
holding,0.002360,3,371
oneself,0.002355,2,175
sensations,0.002347,4,712
associations,0.002331,1,41
fantasy,0.002331,1,37
body's,0.002331,1,30
fantasies,0.002331,1,50
everyday,0.002331,1,38
opinions,0.002331,1,57
posture,0.002318,5,575
abstract,0.002299,1,41
philosophy,0.002268,1,43
surprised,0.002268,1,34
talks,0.002267,2,215
benefit,0.002267,2,178
title,0.002239,1,38
introduce,0.002239,1,38
contracted,0.002210,1,50
conceit,0.002210,1,56
strongly,0.002210,1,41
fairly,0.002182,1,44
lifetime,0.002182,1,50
eating,0.002182,1,45
lightly,0.002182,1,45
reactive,0.002155,1,62
age,0.002155,1,43
work,0.002136,5,822
outside,0.002134,2,195
moment,0.002102,13,1566
leave,0.002087,2,191
friend,0.002087,2,310
continues,0.002078,1,50
built,0.002078,1,48
operate,0.002078,1,51
else,0.002075,4,516
meditating,0.002071,2,213
teaching,0.002059,3,477
comfortable,0.002056,2,210
assume,0.002056,2,151
behind,0.002056,2,184
led,0.002054,1,58
solid,0.002031,1,69
lower,0.002031,1,57
concern,0.002031,1,63
loud,0.002031,1,54
chances,0.002031,1,62
unified,0.002008,1,64
identity,0.002008,1,122
intimate,0.002008,1,53
settledness,0.002008,1,75
drive,0.001985,1,62
breathing,0.001981,5,1983
emotions,0.001980,2,275
eyes,0.001971,4,497
details,0.001963,1,66
thinking,0.001947,10,1621
active,0.001921,1,61
kept,0.001921,1,58
not-self,0.001921,1,162
sacred,0.001901,1,91
closely,0.001901,1,53
day,0.001894,6,756
wrong,0.001894,2,315
opposed,0.001881,1,75
aware,0.001876,3,589
driving,0.001862,1,75
tried,0.001843,1,67
anxiety,0.001824,1,85
relief,0.001824,1,94
difficulties,0.001806,1,139
issue,0.001806,1,71
shifts,0.001806,1,81
knowing,0.001803,3,621
home,0.001798,2,245
called,0.001789,4,540
includes,0.001788,1,62
absorbed,0.001770,1,112
half,0.001753,1,96
worked,0.001753,1,81
necessary,0.001753,1,67
views,0.001753,1,266
society,0.001753,1,118
hours,0.001753,1,79
peace,0.001746,3,619
places,0.001746,2,239
read,0.001746,2,304
safe,0.001741,4,407
provides,0.001736,1,75
partly,0.001736,1,78
hope,0.001733,2,237
satisfying,0.001719,1,111
wider,0.001719,1,107
building,0.001719,1,87
challenging,0.001719,1,81
hold,0.001718,3,469
whole,0.001709,6,1124
tense,0.001703,1,110
spent,0.001687,1,72
simple,0.001677,3,574
role,0.001671,1,100
full,0.001670,2,255
within,0.001663,3,516
characteristics,0.001656,1,160
voice,0.001656,1,102
shifting,0.001640,1,137
large,0.001640,1,79
concerned,0.001625,1,95
death,0.001611,1,160
held,0.001611,1,98
throughout,0.001611,1,90
feels,0.001588,6,917
appreciating,0.001582,1,128
growing,0.001582,1,104
story,0.001561,2,624
involves,0.001554,1,98
quietly,0.001554,1,92
background,0.001554,1,110
grounded,0.001554,1,115
keeping,0.001554,1,89
brought,0.001554,1,94
stand,0.001540,1,100
angry,0.001540,1,174
creates,0.001527,1,106
speaking,0.001527,1,130
busy,0.001527,1,91
watching,0.001527,1,109
small,0.001527,2,341
inner,0.001527,2,447
wishing,0.001514,1,113
beings,0.001509,4,1026
body,0.001502,14,3075
closed,0.001501,1,85
distracted,0.001501,1,101
buddhist,0.001491,3,738
enjoy,0.001463,1,113
ideas,0.001459,2,427
careful,0.001450,1,120
activities,0.001450,1,130
tremendous,0.001438,1,106
tight,0.001438,1,128
hatred,0.001414,1,194
closing,0.001414,1,95
opposite,0.001414,1,107
question,0.001405,2,590
meant,0.001403,1,127
wouldn't,0.001403,1,128
book,0.001391,1,192
ease,0.001373,2,509
warmth,0.001369,1,155
listen,0.001357,1,172
gave,0.001357,1,129
orientation,0.001346,1,179
interested,0.001346,1,118
changes,0.001346,1,134
listening,0.001336,1,180
learned,0.001325,1,128
primary,0.001314,1,153
practices,0.001314,1,153
keeps,0.001304,1,136
related,0.001283,1,134
figure,0.001273,1,169
awakening,0.001263,1,280
effort,0.001253,1,294
didn't,0.001241,2,505
ordinary,0.001234,1,175
general,0.001224,1,165
context,0.001224,1,169
well,0.001224,6,1303
sound,0.001215,1,243
meaning,0.001205,1,223
deeper,0.001202,2,563
imc,0.001196,1,158
need,0.001194,4,986
everyone,0.001193,2,410
area,0.001169,1,170
staying,0.001169,1,190
comes,0.001166,4,769
place,0.001161,5,1269
putting,0.001160,1,168
teachers,0.001160,1,193
wants,0.001151,1,216
asked,0.001151,1,194
stay,0.001146,2,560
person,0.001143,3,998
gets,0.001136,2,444
someone,0.001127,2,541
future,0.001125,1,210
pressure,0.001100,1,253
alive,0.001091,1,182
makes,0.001091,2,404
reason,0.001075,1,165
desire,0.001059,1,521
grow,0.001059,1,226
finding,0.001059,1,167
head,0.001051,1,219
sounds,0.001043,1,229
view,0.001035,1,365
quite,0.001032,3,682
involved,0.001020,1,241
learning,0.001020,1,209
support,0.001020,2,554
softening,0.001005,1,223
enough,0.000979,3,728
begin,0.000977,2,555
difference,0.000976,1,215
known,0.000961,1,195
tell,0.000940,1,270
series,0.000919,1,247
almost,0.000919,2,551
teacher,0.000913,1,329
hand,0.000913,1,296
opening,0.000906,1,279
fear,0.000906,1,441
believe,0.000899,1,278
real,0.000893,1,225
natural,0.000893,1,318
days,0.000886,1,221
relaxing,0.000879,1,364
minutes,0.000879,1,262
end,0.000868,5,874
needs,0.000854,1,265
fronsdal,0.000829,1,265
came,0.000829,1,323
tension,0.000810,1,539
goodness,0.000810,1,466
around,0.000808,5,1116
guided,0.000804,3,774
letting,0.000800,2,758
allows,0.000798,1,325
let,0.000796,6,1453
kindness,0.000787,1,530
hear,0.000769,1,379
arise,0.000758,1,350
today,0.000755,3,788
living,0.000752,1,345
next,0.000732,2,607
room,0.000730,1,388
heart,0.000726,3,1415
everything,0.000717,2,836
move,0.000713,1,289
probably,0.000697,1,339
happiness,0.000692,1,805
care,0.000667,2,1221
gently,0.000661,1,393
link,0.000660,2,473
somehow,0.000655,1,307
without,0.000649,3,944
may,0.000649,5,2140
word,0.000645,2,819
change,0.000625,1,798
lot,0.000621,5,1358
towards,0.000616,1,469
particular,0.000611,1,429
idea,0.000611,2,1145
gil,0.000606,1,392
making,0.000606,1,395
mind,0.000605,16,4193
important,0.000604,2,800
thing,0.000593,3,1366
years,0.000592,1,558
beginning,0.000587,1,456
anything,0.000583,2,803
wonderful,0.000582,1,475
done,0.000559,1,416
they're,0.000556,2,1054
every,0.000550,1,478
often,0.000536,2,1059
live,0.000523,1,640
happy,0.000523,2,786
dharmette,0.000514,1,313
relax,0.000510,1,552
close,0.000506,1,371
many,0.000503,3,1063
last,0.000484,1,463
become,0.000477,2,820
could,0.000477,2,1418
great,0.000468,1,666
sitting,0.000452,2,754
we'll,0.000451,1,557
life,0.000447,6,2289
feeling,0.000432,3,1841
sense,0.000410,7,2543
right,0.000407,3,2043
part,0.000407,3,1376
world,0.000396,4,2281
happening,0.000392,1,915
make,0.000389,2,1247
people,0.000386,5,3076
welcome,0.000383,2,617
long,0.000370,1,589
free,0.000348,1,595
back,0.000347,3,1458
little,0.000346,5,2286
ways,0.000341,2,1055
look,0.000333,1,749
different,0.000330,3,1866
i'll,0.000305,1,831
take,0.000297,3,1254
much,0.000293,5,1611
find,0.000283,2,1176
attention,0.000275,1,1243
others,0.000275,1,1015
present,0.000265,1,1142
together,0.000252,1,1016
think,0.000243,2,2108
away,0.000220,1,1000
sometimes,0.000182,2,1836
information,0.000177,1,398
bit,0.000162,1,1439
experience,0.000138,1,2371
thank,0.000133,1,1084
don't,0.000120,4,3298
want,0.000113,1,2082
good,0.000107,1,1801
even,0.000098,3,1704
feel,0.000060,2,3042
time,0.000055,2,2397
ai-generated,0.000000,1,369
transcript,0.000000,1,371
auto-generated,0.000000,1,369
subtitles,0.000000,1,369
video,0.000000,1,381
meditation,0.000000,12,3334
insight,0.000000,7,1536
likely,0.000000,1,461
contains,0.000000,1,379
inaccuracies,0.000000,1,369
following,0.000000,1,508
talk,0.000000,2,1479
given,0.000000,1,601
center,0.000000,5,857
redwood,0.000000,1,410
city,0.000000,1,469
california,0.000000,1,425
please,0.000000,1,528
visit,0.000000,1,422
website,0.000000,1,433
www,0.000000,1,384
audiodharma,0.000000,1,384
org,0.000000,1,398
