word,tfidf_score,talk_frequency,global_frequency
itch,0.035972,7,14
not-self,0.025034,11,162
mine,0.019661,12,229
shoe,0.017878,5,29
diminishment,0.015417,3,6
alarm,0.013692,4,21
seat,0.013616,7,117
self,0.011791,12,1128
overlay,0.010727,3,34
option,0.010461,4,46
diminish,0.010461,4,57
cream,0.009664,2,8
deliberateness,0.009189,2,20
selfing,0.008766,3,100
define,0.008680,5,125
simplicity,0.008608,5,257
unnecessary,0.008510,3,34
sacrifice,0.008389,3,49
peace,0.008068,12,632
radically,0.007947,3,37
bathroom,0.007711,2,15
past,0.007454,6,227
well-being,0.007346,7,545
sophisticate,0.007151,2,16
rational,0.006993,2,20
assert,0.006993,2,23
future,0.006495,5,217
sophistication,0.006310,1,1
imposition,0.006310,1,1
matter-of-factly,0.006310,1,1
totter,0.006310,1,1
self-idea,0.006310,1,1
shoe-chooser,0.006310,1,1
attribution,0.006310,1,1
sound,0.006158,7,489
ritual,0.005757,2,60
involve,0.005713,7,408
wrap,0.005673,2,42
hour,0.005645,4,193
happiness,0.005628,7,830
circulate,0.005571,1,2
qualitative,0.005571,1,2
indignant,0.005571,1,2
downside,0.005571,1,2
suchness,0.005571,1,3
calm,0.005543,7,801
extra,0.005388,3,179
fresh,0.005368,2,40
philosophy,0.005231,2,49
reference,0.005165,3,143
lose,0.005009,6,413
judgment,0.004956,3,178
opinion,0.004864,2,115
qualitatively,0.004832,1,4
choppy,0.004832,1,5
cake,0.004832,1,7
smartphone,0.004832,1,5
adequate,0.004594,1,5
cruise,0.004594,1,7
indignation,0.004594,1,10
top,0.004574,3,165
assume,0.004564,5,230
narrow,0.004411,2,83
wholeness,0.004279,2,147
constellation,0.004236,1,9
freshness,0.004236,1,10
particularity,0.004236,1,11
necessary,0.004155,2,67
dirt,0.004093,1,17
strange,0.004000,2,70
add,0.003897,3,288
route,0.003855,1,12
stay,0.003845,8,814
simplistic,0.003754,1,11
ugly,0.003754,1,15
lousy,0.003754,1,11
valuable,0.003720,2,93
immediacy,0.003661,1,14
select,0.003661,1,18
nearby,0.003661,1,12
angry,0.003623,2,176
identify,0.003592,2,138
comparison,0.003576,1,18
simple,0.003567,6,704
analysis,0.003497,1,25
ownership,0.003497,1,18
psychophysical,0.003497,1,16
complication,0.003354,1,23
priority,0.003290,1,23
vantage,0.003290,1,23
bother,0.003290,1,31
state,0.003281,5,818
phenomenally,0.003229,1,19
preoccupation,0.003224,2,205
leave,0.003176,5,469
protest,0.003116,1,30
alone,0.003074,2,143
orientation,0.003026,2,192
inhabit,0.003015,1,31
intelligence,0.002967,1,114
hike,0.002967,1,49
inadequate,0.002967,1,32
continuity,0.002922,1,67
spin,0.002922,1,41
entangle,0.002922,1,37
nice,0.002898,5,546
context,0.002888,2,177
projection,0.002878,1,33
you've,0.002842,3,346
criticize,0.002837,1,36
