word,tfidf_score,talk_frequency,global_frequency
criterion,0.041445,15,56
blameworthy,0.023160,5,5
truth,0.023120,27,525
blameless,0.021309,6,9
claim,0.019693,9,35
welfare,0.018704,11,105
action,0.014005,15,346
praise,0.013900,8,75
source,0.012700,12,355
wholesome,0.012055,12,389
rely,0.011896,5,33
political,0.011685,5,34
politician,0.011678,4,18
wise,0.011622,15,454
town,0.011440,6,61
unwholesome,0.011321,8,182
logic,0.009348,4,27
scripture,0.009346,3,11
beneficial,0.009314,6,104
economic,0.009034,3,10
sunday,0.008891,4,28
tax,0.008758,3,13
harm,0.008279,8,466
lead,0.008233,12,540
criticize,0.008030,4,39
religious,0.007443,4,74
basis,0.007356,4,56
corollary,0.007103,2,7
accordance,0.007103,2,6
self-respect,0.006755,2,8
non-greed,0.006755,2,7
guess,0.006716,5,121
reasonable,0.006668,3,29
authority,0.006189,3,38
buddha,0.005881,21,1883
step,0.005870,9,419
abstract,0.005866,3,45
teacher,0.005801,10,566
rebirth,0.005526,2,43
undertake,0.005526,2,18
question,0.005483,11,845
logical,0.005390,2,16
decide,0.005373,4,128
harmful,0.005329,3,83
happiness,0.005299,9,860
politics,0.005266,2,18
debate,0.005150,2,41
implication,0.005042,2,25
pick,0.004789,4,124
true,0.004768,7,416
pair,0.004758,2,45
credential,0.004632,1,1
pub,0.004632,1,1
puritanical,0.004632,1,1
vega,0.004632,1,1
guardrail,0.004632,1,1
strife,0.004632,1,1
election,0.004632,1,1
well-thought-out,0.004632,1,1
electoral,0.004632,1,1
reliable,0.004594,2,33
lineage,0.004594,2,29
ask,0.004521,9,679
wonderful,0.004486,9,504
study,0.004464,4,181
favor,0.004445,2,25
dangerous,0.004376,2,34
greed,0.004363,4,247
position,0.004361,3,86
believe,0.004297,6,337
monk,0.004284,3,213
imc,0.004139,4,175
choice,0.004099,3,149
immensely,0.004092,1,2
skillfulness,0.004092,1,2
fairness,0.004092,1,2
abortion,0.004092,1,3
democracy,0.004092,1,3
tea,0.004070,2,55
common,0.004018,4,167
imply,0.003911,2,40
dream,0.003911,2,55
system,0.003817,4,299
disparage,0.003776,1,3
quagmire,0.003776,1,4
grandmother,0.003776,1,3
critically,0.003776,1,3
careful,0.003739,3,126
west,0.003722,2,54
answer,0.003681,4,250
view,0.003659,5,683
oral,0.003551,1,4
nudge,0.003551,1,4
townspeople,0.003551,1,5
harshly,0.003551,1,4
adhere,0.003551,1,6
avoid,0.003535,3,173
choose,0.003500,4,259
opinion,0.003475,2,120
concern,0.003425,4,278
important,0.003415,13,824
24th,0.003378,1,8
inference,0.003378,1,6
competence,0.003378,1,7
delicate,0.003378,1,5
gratification,0.003378,1,12
blamelessness,0.003378,1,8
gamble,0.003378,1,10
kalamas,0.003378,1,12
positive,0.003330,2,79
tradition,0.003305,4,342
psychological,0.003262,2,75
benefit,0.003258,4,270
august,0.003235,1,6
delay,0.003235,1,6
impressive,0.003235,1,9
respectfully,0.003235,1,10
pro,0.003235,1,6
faith,0.003166,2,183
interconnect,0.003115,1,15
respect,0.003104,3,232
unreliable,0.003011,1,11
fork,0.003011,1,18
weigh,0.003011,1,9
la,0.003011,1,13
thinker,0.003011,1,13
miserable,0.003011,1,16
unhappy,0.003011,1,9
con,0.003011,1,8
teach,0.002942,13,1458
potluck,0.002919,1,20
nope,0.002919,1,14
qualify,0.002919,1,13
crucial,0.002919,1,13
eyesight,0.002919,1,9
technology,0.002919,1,14
complicate,0.002881,2,88
affect,0.002856,2,101
memorize,0.002837,1,24
flourish,0.002837,1,39
government,0.002837,1,12
tv,0.002837,1,10
culture,0.002805,2,138
ethical,0.002805,2,203
argument,0.002763,1,18
parallel,0.002763,1,13
self-criticism,0.002763,1,21
bank,0.002763,1,12
institution,0.002763,1,18
requirement,0.002763,1,14
spiritual,0.002761,3,573
reason,0.002725,4,277
kalama,0.002695,1,27
expert,0.002695,1,15
read,0.002647,4,427
assess,0.002633,1,16
meet,0.002610,5,610
headache,0.002575,1,15
analysis,0.002575,1,25
communication,0.002575,1,18
sophisticate,0.002575,1,18
refer,0.002555,2,108
popular,0.002521,1,16
unsettle,0.002521,1,31
fulfillment,0.002521,1,23
conducive,0.002521,1,21
discipline,0.002521,1,19
host,0.002521,1,29
web,0.002521,1,22
difference,0.002496,3,233
greedy,0.002471,1,21
buddhist,0.002442,6,833
tremendous,0.002433,2,112
village,0.002424,1,36
conversation,0.002414,2,185
shift,0.002408,4,465
disappoint,0.002379,1,25
suggestion,0.002337,1,22
ethically,0.002337,1,26
phenomenally,0.002337,1,20
directly,0.002302,2,116
intuition,0.002297,1,25
spirituality,0.002297,1,41
conduct,0.002297,1,32
wholesomeness,0.002297,1,31
honesty,0.002297,1,26
account,0.002297,1,30
hey,0.002297,1,30
distinct,0.002297,1,24
check,0.002267,2,167
quote,0.002267,2,150
belief,0.002249,2,286
offer,0.002234,7,696
sweep,0.002223,1,40
instinct,0.002223,1,52
focus,0.002202,4,607
community,0.002198,2,357
list,0.002198,2,269
experiential,0.002188,1,28
unhealthy,0.002188,1,35
announcement,0.002155,1,33
slip,0.002155,1,29
illness,0.002155,1,34
matter,0.002133,3,293
famous,0.002123,1,31
far,0.002103,3,361
context,0.002101,2,185
grip,0.002093,1,50
plenty,0.002093,1,33
spectrum,0.002093,1,45
reply,0.002063,1,47
group,0.002054,2,249
base,0.002054,2,219
fronsdal,0.002043,3,294
hall,0.002035,1,47
respectful,0.002035,1,34
vitality,0.002035,1,54
sacrifice,0.002035,1,50
behave,0.002035,1,38
book,0.002024,2,253
stress,0.002009,2,294
tap,0.002007,1,33
oneself,0.001994,2,190
share,0.001985,3,462
global,0.001981,1,74
provide,0.001965,2,214
produce,0.001955,1,47
virtue,0.001955,1,106
uplift,0.001955,1,84
phenomenal,0.001931,1,49
practical,0.001931,1,42
stressful,0.001931,1,52
experiment,0.001931,1,49
remarkable,0.001931,1,53
radically,0.001907,1,40
next,0.001896,6,621
term,0.001895,2,265
example,0.001887,3,379
fairly,0.001883,1,45
religion,0.001861,1,94
upon,0.001854,2,204
emotional,0.001854,2,228
abandon,0.001839,1,85
expansive,0.001839,1,68
side,0.001801,2,277
interpretation,0.001797,1,57
decision,0.001797,1,54
people,0.001789,29,3319
live,0.001779,7,1197
category,0.001776,1,75
trap,0.001776,1,77
blame,0.001776,1,107
agree,0.001776,1,55
write,0.001762,2,241
seem,0.001741,4,500
road,0.001738,1,118
war,0.001738,1,74
medium,0.001719,1,82
analogy,0.001700,1,59
money,0.001700,1,76
direct,0.001700,2,272
external,0.001682,1,73
conclusion,0.001648,1,56
worth,0.001631,1,77
modern,0.001631,1,79
age,0.001615,1,78
apart,0.001615,1,77
fascinate,0.001615,1,65
underneath,0.001599,1,88
personally,0.001599,1,61
area,0.001594,2,268
news,0.001583,1,76
draw,0.001583,1,95
sure,0.001572,2,256
growth,0.001567,1,76
inspiration,0.001567,1,126
slightly,0.001567,1,65
increase,0.001567,1,89
participate,0.001552,1,119
interpret,0.001552,1,81
necessary,0.001537,1,67
fit,0.001537,1,83
somewhat,0.001523,1,74
half,0.001523,1,97
interest,0.001484,3,524
health,0.001481,1,97
social,0.001481,1,124
introduce,0.001481,1,77
tell,0.001472,3,580
speech,0.001467,1,184
turn,0.001467,4,691
suffer,0.001467,4,1695
gil,0.001461,3,437
absorb,0.001454,1,131
near,0.001441,1,115
naturally,0.001428,1,87
text,0.001428,1,130
discussion,0.001415,1,90
specific,0.001415,1,93
society,0.001415,1,136
useful,0.001412,2,284
otherwise,0.001403,1,98
surprise,0.001390,1,90
shouldn't,0.001390,1,98
huge,0.001390,1,103
voice,0.001390,1,113
key,0.001366,1,97
usual,0.001355,1,109
folk,0.001355,1,124
month,0.001343,1,111
wisdom,0.001333,2,546
react,0.001332,1,100
impact,0.001321,1,132
circle,0.001321,1,152
hold,0.001313,5,1026
weight,0.001310,1,152
clean,0.001299,1,148
issue,0.001299,1,112
nourish,0.001256,1,127
basic,0.001256,1,132
accept,0.001256,1,141
nice,0.001252,3,559
generosity,0.001246,1,257
different,0.001243,13,1936
fourth,0.001236,1,158
uncomfortable,0.001236,1,207
wake,0.001226,1,124
ancient,0.001226,1,153
phrase,0.001217,1,184
wouldn't,0.001217,1,131
aren't,0.001207,1,135
apply,0.001207,1,166
doe,0.001203,4,877
sutta,0.001197,1,324
well,0.001196,7,1348
friend,0.001195,2,562
learn,0.001179,4,781
obvious,0.001178,1,151
opposite,0.001169,1,127
everybody,0.001160,1,199
fine,0.001160,1,150
young,0.001142,1,165
child,0.001125,1,213
must,0.001125,1,157
alone,0.001125,1,147
won't,0.001116,1,136
profound,0.001108,1,215
chance,0.001108,1,153
reflect,0.001074,1,199
lot,0.001052,11,1541
opportunity,0.001050,1,173
pretty,0.001050,1,176
emphasize,0.001043,1,169
line,0.001012,1,222
bring,0.001010,5,1197
figure,0.000997,1,219
language,0.000990,1,186
amount,0.000983,1,172
family,0.000968,1,266
physical,0.000968,1,212
add,0.000961,1,289
suppose,0.000961,1,177
understand,0.000949,4,1224
person,0.000939,3,1105
imagine,0.000936,2,466
couple,0.000934,1,175
past,0.000927,1,227
value,0.000927,1,227
pali,0.000920,1,229
watch,0.000894,1,250
idea,0.000880,5,1638
challenge,0.000869,1,307
least,0.000869,1,206
act,0.000869,1,344
else,0.000856,2,562
healthy,0.000850,1,293
today,0.000829,4,842
put,0.000823,3,810
mental,0.000820,1,352
hear,0.000814,2,864
either,0.000792,1,229
direction,0.000792,1,254
ago,0.000792,1,268
year,0.000787,2,830
wrong,0.000786,1,333
mindfulness,0.000773,2,990
listen,0.000769,1,392
aspect,0.000769,1,271
retreat,0.000758,1,401
world,0.000758,9,2405
late,0.000753,1,275
wasn't,0.000748,1,293
well-being,0.000748,1,574
fact,0.000737,1,245
pull,0.000732,1,326
care,0.000729,3,1613
topic,0.000721,1,267
buddhism,0.000721,1,538
activity,0.000711,1,453
pain,0.000711,1,514
relate,0.000706,1,331
often,0.000704,3,1090
yes,0.000701,1,400
okay,0.000695,2,1161
helpful,0.000686,1,578
fear,0.000681,1,506
around,0.000680,5,1159
make,0.000679,18,2446
you've,0.000676,1,357
kindness,0.000667,1,545
spend,0.000648,1,297
catch,0.000629,1,440
whether,0.000624,1,315
minute,0.000615,1,353
long,0.000613,4,943
lose,0.000606,1,423
probably,0.000602,1,351
instead,0.000602,1,462
remember,0.000598,1,392
path,0.000589,1,849
stop,0.000584,1,474
many,0.000583,4,1092
away,0.000582,3,1020
quality,0.000580,1,625
show,0.000576,1,545
week,0.000566,2,717
happen,0.000560,6,2094
point,0.000551,3,1149
right,0.000548,5,2158
i'd,0.000546,1,434
still,0.000531,2,804
quiet,0.000522,1,634
everyone,0.000498,1,457
experience,0.000491,6,3121
morning,0.000487,1,399
story,0.000487,1,1012
bite,0.000486,4,1541
within,0.000479,1,533
attention,0.000469,2,1275
connect,0.000468,1,666
introduction,0.000464,1,280
leave,0.000464,1,488
others,0.000464,2,1077
create,0.000461,1,538
someone,0.000457,1,638
sensation,0.000453,1,884
human,0.000453,1,556
together,0.000453,2,1029
dharma,0.000450,1,842
appreciate,0.000446,1,588
begin,0.000437,3,1436
life,0.000406,8,2821
want,0.000370,7,3042
use,0.000362,2,1198
safe,0.000351,1,430
open,0.000342,2,1220
sometimes,0.000309,4,1897
always,0.000307,1,742
take,0.000298,11,2267
look,0.000282,2,1467
enough,0.000277,1,750
thing,0.000271,10,4908
part,0.000266,3,1621
good,0.000265,6,2501
might,0.000264,5,2167
keep,0.000260,1,817
link,0.000257,1,522
anything,0.000248,1,831
help,0.000246,1,866
whole,0.000246,1,1151
would,0.000243,2,2002
little,0.000238,4,2387
actually,0.000226,1,1098
find,0.000225,3,1691
work,0.000221,1,1360
present,0.000207,1,1238
call,0.000197,1,1053
back,0.000196,2,1504
end,0.000196,2,1107
think,0.000196,19,5995
guide,0.000186,1,898
day,0.000181,1,1006
deep,0.000166,1,1709
allow,0.000161,1,1528
welcome,0.000158,1,707
mean,0.000151,1,1471
information,0.000146,1,415
sense,0.000146,3,2977
much,0.000146,3,1676
start,0.000143,1,1524
place,0.000134,1,1599
u,0.000116,8,3385
even,0.000091,4,1894
time,0.000082,8,2880
body,0.000075,1,3281
become,0.000073,1,1773
sit,0.000066,1,1503
mind,0.000054,2,4578
feel,0.000041,10,6274
let,0.000033,1,2733
practice,0.000027,1,3793
ai-generated,0.000000,1,383
transcript,0.000000,1,386
auto-generated,0.000000,1,383
subtitle,0.000000,1,384
video,0.000000,1,405
likely,0.000000,1,475
contain,0.000000,1,414
inaccuracy,0.000000,1,383
follow,0.000000,3,724
talk,0.000000,8,2454
give,0.000000,2,1917
insight,0.000000,1,1683
meditation,0.000000,2,3504
center,0.000000,1,1120
redwood,0.000000,1,431
city,0.000000,1,489
california,0.000000,1,443
please,0.000000,1,570
visit,0.000000,2,473
website,0.000000,1,450
www,0.000000,1,398
audiodharma,0.000000,1,398
org,0.000000,1,414
