word,tfidf_score,talk_frequency,global_frequency
abstraction,0.067175,16,22
rainstorm,0.037455,6,6
overlay,0.028385,8,34
self,0.023959,25,1140
mediocre,0.022057,4,5
filter,0.020969,7,32
player,0.019672,5,18
morocco,0.018727,3,3
basketball,0.017441,4,12
storm,0.016032,5,29
extra,0.016018,9,181
detail,0.015533,8,106
simplicity,0.015117,9,262
attribute,0.013591,4,23
torrential,0.012485,2,2
drop,0.011081,9,275
sensation,0.010995,18,884
abstract,0.010541,4,45
constantly,0.010460,5,94
layer,0.010408,4,62
add,0.010364,8,289
rain,0.009686,4,84
interpretation,0.009686,4,57
simplification,0.009104,2,10
basket,0.008721,2,11
inconstancy,0.008460,3,74
relief,0.008132,4,105
weather,0.008009,3,56
clothe,0.007709,3,50
generalization,0.007648,2,16
generalize,0.007648,2,13
simple,0.007624,13,721
change,0.007524,17,1441
unnecessarily,0.006941,2,16
darkish,0.006242,1,1
mediocreness,0.006242,1,1
unagitated,0.006242,1,1
forecaster,0.006242,1,1
self-clinging,0.006242,1,1
ball,0.005991,2,39
agitate,0.005825,3,107
river,0.005722,3,351
shift,0.005679,7,465
streak,0.005514,1,3
raindrop,0.005514,1,2
conservative,0.005514,1,2
hippie,0.005514,1,2
lookout,0.005514,1,2
report,0.005484,2,37
innocent,0.005484,2,44
phenomenal,0.005204,2,49
raincoat,0.005088,1,3
posit,0.005088,1,3
individual,0.004958,3,109
quiet,0.004925,7,634
mine,0.004841,3,232
solid,0.004788,2,69
affair,0.004786,1,4
hilltop,0.004786,1,4
massive,0.004786,1,11
passana,0.004786,1,4
emphatic,0.004786,1,4
peg,0.004786,1,8
remarkably,0.004786,1,4
danger,0.004683,2,73
miss,0.004683,2,65
settledness,0.004683,2,76
concept,0.004654,3,259
amaze,0.004618,3,146
perceptual,0.004552,1,8
oscillate,0.004552,1,5
preconceive,0.004552,1,5
distance,0.004535,2,62
not-self,0.004535,2,162
perceive,0.004442,2,99
lens,0.004396,2,70
physicality,0.004360,1,8
vi,0.004198,1,10
particularity,0.004198,1,11
enter,0.004147,4,381
lack,0.004105,2,95
court,0.004058,1,23
emotion,0.004030,4,388
luxury,0.003934,1,15
disappear,0.003919,2,125
aside,0.003883,2,112
europe,0.003824,1,11
travel,0.003814,2,111
breeze,0.003632,1,26
nature,0.003619,4,397
appreciate,0.003606,6,588
conceive,0.003548,1,25
lousy,0.003548,1,13
immediacy,0.003548,1,15
lessen,0.003548,1,14
comparable,0.003548,1,15
paradox,0.003470,1,20
cheek,0.003470,1,22
disappointment,0.003398,1,20
public,0.003398,1,26
gaze,0.003332,2,156
linger,0.003330,1,21
vibrate,0.003330,1,19
solidity,0.003330,1,26
complication,0.003330,1,23
team,0.003206,1,70
momentary,0.003150,1,25
directly,0.003103,2,116
advantage,0.003096,1,34
fluid,0.003096,1,28
idea,0.003083,13,1638
cup,0.003044,1,50
alone,0.003031,2,147
top,0.003008,2,180
close,0.002995,11,674
piece,0.002963,2,222
sing,0.002949,1,38
everything,0.002924,7,902
lesson,0.002904,1,51
announcement,0.002904,1,33
swim,0.002904,1,40
occur,0.002874,2,142
game,0.002861,1,48
conceptual,0.002861,1,36
unite,0.002861,1,32
spin,0.002861,1,43
mix,0.002861,1,29
simply,0.002834,3,309
possibility,0.002831,2,163
powerful,0.002748,2,166
vacation,0.002742,1,53
loosen,0.002742,1,41
tea,0.002742,1,55
zone,0.002705,1,38
bliss,0.002705,1,64
vipassana,0.002670,1,88
addition,0.002670,1,34
blow,0.002602,1,58
experiment,0.002602,1,49
goodwill,0.002572,2,504
cold,0.002570,1,53
fairly,0.002538,1,45
bias,0.002538,1,50
dramatic,0.002538,1,46
service,0.002538,1,79
person,0.002531,6,1105
without,0.002511,10,982
cloud,0.002508,1,83
pleasant,0.002498,2,351
arise,0.002481,6,1074
degree,0.002445,2,230
wear,0.002421,1,69
relationship,0.002398,3,498
evoke,0.002394,1,71
dark,0.002394,1,57
activate,0.002394,1,86
window,0.002316,1,72
compare,0.002316,1,76
medium,0.002316,1,82
concern,0.002308,2,278
preference,0.002292,1,65
massage,0.002292,1,99
clear,0.002269,4,577
brief,0.002267,1,102
conscious,0.002198,1,69
constant,0.002154,1,74
news,0.002133,1,76
impermanence,0.002112,1,144
potential,0.002092,1,85
interpret,0.002092,1,81
fall,0.002073,2,284
perception,0.002072,1,208
fun,0.002072,1,104
bird,0.002072,1,113
notion,0.002052,1,99
sens,0.002033,1,146
cool,0.002033,1,108
wasn't,0.002015,2,293
cling,0.002015,2,559
immediately,0.001996,1,77
pattern,0.001959,1,133
strange,0.001959,1,72
develop,0.001958,2,366
present,0.001956,7,1238
core,0.001942,1,130
state,0.001938,3,843
activity,0.001917,2,453
specific,0.001907,1,93
phenomenon,0.001874,1,105
float,0.001874,1,113
measure,0.001874,1,89
create,0.001862,3,538
judge,0.001826,1,113
decide,0.001810,1,128
protect,0.001810,1,109
memory,0.001795,1,149
beauty,0.001780,1,167
busy,0.001780,1,94
assume,0.001771,2,239
clearly,0.001771,2,404
identify,0.001765,1,141
issue,0.001750,1,112
strain,0.001750,1,134
clean,0.001750,1,148
front,0.001736,1,114
wind,0.001736,1,191
stability,0.001721,1,169
across,0.001707,1,152
define,0.001707,1,129
low,0.001693,1,140
nice,0.001688,3,559
careful,0.001680,1,126
realize,0.001659,2,412
experience,0.001655,15,3121
wonder,0.001639,1,144
cannot,0.001639,1,130
recognition,0.001601,1,217
rest,0.001591,3,558
daily,0.001576,1,154
deep,0.001564,7,1709
appear,0.001564,1,134
strong,0.001552,2,454
unfold,0.001551,1,170
worry,0.001551,1,155
appropriate,0.001504,1,175
grind,0.001493,1,163
put,0.001478,4,810
freedom,0.001473,2,638
mention,0.001470,1,157
aware,0.001451,2,622
breathe,0.001431,4,2491
still,0.001431,4,804
general,0.001416,1,170
context,0.001416,1,185
ordinary,0.001405,1,192
move,0.001391,3,640
ready,0.001384,1,182
saw,0.001374,1,191
hand,0.001354,2,491
stress,0.001354,1,294
enjoy,0.001354,1,194
everyone,0.001343,2,457
presence,0.001315,1,216
story,0.001312,2,1012
future,0.001305,1,217
moment,0.001289,10,1854
wow,0.001277,1,215
imagine,0.001261,2,466
leave,0.001251,2,488
others,0.001249,4,1077
past,0.001249,1,227
foot,0.001249,1,232
recognize,0.001232,2,668
someone,0.001232,2,638
aversion,0.001222,1,484
build,0.001188,1,236
level,0.001188,1,283
big,0.001183,2,662
direct,0.001146,1,272
translate,0.001129,1,258
situation,0.001121,1,322
enough,0.001120,3,750
water,0.001098,1,493
benefit,0.001098,1,270
area,0.001074,1,268
direction,0.001067,1,254
able,0.001051,2,623
listen,0.001037,1,392
posture,0.001024,2,608
bad,0.001008,1,456
fact,0.000993,1,245
capacity,0.000993,1,403
topic,0.000972,1,267
flow,0.000952,1,570
relate,0.000952,1,331
safe,0.000945,2,430
desire,0.000938,1,743
samadhi,0.000925,1,1519
fronsdal,0.000918,1,294
reason,0.000918,1,277
you've,0.000911,1,357
wisdom,0.000898,1,546
kindness,0.000898,1,545
need,0.000867,5,1576
inner,0.000866,1,485
tension,0.000854,1,608
example,0.000848,1,379
catch,0.000848,1,440
minute,0.000829,1,353
walk,0.000823,1,552
relax,0.000811,2,1245
friend,0.000805,1,562
learn,0.000795,2,781
happiness,0.000794,1,860
show,0.000776,1,545
calm,0.000776,1,810
ease,0.000776,1,551
may,0.000771,5,2204
gently,0.000759,1,406
guide,0.000753,3,898
movement,0.000748,1,456
focus,0.000742,1,607
didn't,0.000731,1,516
towards,0.000709,1,494
free,0.000700,2,748
particular,0.000698,1,446
soften,0.000693,1,549
live,0.000685,2,1197
nothing,0.000661,1,479
gil,0.000656,1,437
peace,0.000646,1,645
every,0.000646,1,493
lot,0.000645,5,1541
often,0.000632,2,1090
introduction,0.000626,1,280
meditate,0.000626,1,514
dharma,0.000606,1,842
begin,0.000589,3,1436
wish,0.000582,1,583
rather,0.000582,1,543
touch,0.000582,1,497
start,0.000580,3,1524
happy,0.000566,2,873
place,0.000540,3,1599
awareness,0.000539,1,1263
turn,0.000494,1,691
become,0.000491,5,1773
course,0.000490,1,696
thing,0.000474,13,4908
eye,0.000455,1,635
notice,0.000447,1,1217
allow,0.000433,2,1528
welcome,0.000426,2,707
next,0.000426,1,621
always,0.000414,1,742
different,0.000387,3,1936
look,0.000380,2,1467
settle,0.000362,1,1517
sit,0.000357,4,1503
important,0.000354,1,824
hold,0.000354,1,1026
whatever,0.000353,2,1202
keep,0.000350,1,817
word,0.000347,2,1369
link,0.000346,1,522
world,0.000340,3,2405
anything,0.000335,1,831
people,0.000333,4,3319
whole,0.000331,1,1151
mind,0.000328,9,4578
care,0.000327,1,1613
little,0.000321,4,2387
understand,0.000320,1,1224
actually,0.000305,1,1098
love,0.000290,1,1743
might,0.000285,4,2167
away,0.000262,1,1020
thank,0.000258,2,1197
make,0.000254,5,2446
think,0.000250,18,5995
use,0.000244,1,1198
day,0.000244,1,1006
good,0.000238,4,2501
well,0.000230,1,1348
information,0.000196,1,415
many,0.000196,1,1092
around,0.000183,1,1159
take,0.000146,4,2267
life,0.000137,2,2821
end,0.000132,1,1107
back,0.000132,1,1504
much,0.000131,2,1676
happen,0.000126,1,2094
even,0.000123,4,1894
time,0.000111,8,2880
find,0.000101,1,1691
let,0.000090,2,2733
feel,0.000088,16,6274
sense,0.000065,1,2977
