word,tfidf_score,talk_frequency,global_frequency
council,0.047982,13,15
emptiness,0.031059,16,85
self,0.029813,43,1143
circle,0.029592,23,153
empty,0.026902,18,98
travis,0.018103,4,4
fundraiser,0.018103,4,4
soul,0.013976,6,41
john,0.013880,5,25
construct,0.013781,8,118
volunteer,0.012300,6,64
not-self,0.011551,7,162
nevada,0.011073,3,5
profound,0.009733,9,216
mountain,0.009139,6,135
freedom,0.009021,17,667
stream,0.008884,6,111
contingent,0.008568,3,12
middle,0.008212,10,231
rest,0.008193,21,559
guest,0.008111,3,14
half-day,0.007998,2,3
speak,0.007695,12,446
production,0.007382,2,4
briefly,0.007046,4,53
river,0.006887,5,368
zoom,0.006671,4,82
youtube,0.005923,4,82
conversation,0.005840,5,196
reside,0.005712,2,13
dominate,0.005552,2,11
technology,0.005552,2,15
vast,0.005415,4,121
self-concern,0.005275,2,19
valuable,0.005189,4,101
respect,0.005056,5,234
stress,0.004839,5,303
space,0.004670,9,715
potential,0.004570,3,85
observe,0.004570,3,123
self-becoming,0.004526,1,1
self-construct,0.004526,1,1
heartfully,0.004526,1,1
donor,0.004526,1,1
check,0.004426,4,168
extreme,0.004160,2,38
imc,0.004045,4,176
possibility,0.004016,4,170
sync,0.003999,1,2
detour,0.003999,1,2
operation,0.003999,1,2
wonderful,0.003877,8,512
everyone,0.003847,8,465
dynamic,0.003833,2,48
phenomenal,0.003784,2,49
tension,0.003712,6,610
pedestal,0.003691,1,3
disservice,0.003691,1,3
whether,0.003659,6,318
edge,0.003616,3,176
glorious,0.003472,1,5
guilty,0.003472,1,4
laptop,0.003472,1,5
beforehand,0.003472,1,4
registration,0.003472,1,4
inherent,0.003445,2,65
build,0.003427,4,240
delight,0.003403,4,298
teacher,0.003403,6,568
relevant,0.003371,2,55
absence,0.003335,2,109
large,0.003319,3,145
timeless,0.003303,1,5
self-harm,0.003303,1,6
porous,0.003303,1,5
bye-bye,0.003303,1,5
friendly,0.003300,2,122
situation,0.003216,4,331
organize,0.003200,2,154
flux,0.003164,1,11
wiggle,0.003164,1,6
endlessly,0.003164,1,6
foolish,0.003164,1,19
edit,0.003164,1,6
underneath,0.003106,2,89
millennium,0.003047,1,8
accordingly,0.003047,1,8
spacious,0.002961,2,110
sibling,0.002946,1,14
pronounce,0.002946,1,12
no-self,0.002946,1,9
announce,0.002946,1,10
sierra,0.002946,1,13
interest,0.002930,6,529
current,0.002881,2,137
spaciousness,0.002881,2,215
transparent,0.002856,1,17
technical,0.002856,1,10
property,0.002856,1,14
succeed,0.002856,1,10
gather,0.002821,3,333
attach,0.002804,2,122
inherit,0.002776,1,12
downward,0.002704,1,12
self-criticism,0.002704,1,21
temporary,0.002704,1,12
saturday,0.002704,1,11
role,0.002684,2,135
continue,0.002647,6,428
wave,0.002639,2,162
mahayana,0.002637,1,18
hint,0.002637,1,14
race,0.002637,1,16
he'll,0.002637,1,19
kornfield,0.002637,1,16
invite,0.002626,3,321
peaceful,0.002594,5,418
discover,0.002589,3,313
founder,0.002577,1,16
comparable,0.002577,1,15
construction,0.002577,1,16
creativity,0.002520,1,22
assert,0.002520,1,23
intellectual,0.002468,1,21
jack,0.002468,1,20
generosity,0.002430,2,261
question,0.002423,5,863
equal,0.002419,1,24
broadcast,0.002419,1,17
attachment,0.002411,2,257
openness,0.002392,2,140
recall,0.002373,1,22
nothing,0.002367,5,485
original,0.002329,1,50
fortunate,0.002329,1,28
dead,0.002288,1,29
depression,0.002288,1,28
preoccupation,0.002282,2,215
expression,0.002264,2,131
sway,0.002249,1,26
retreat,0.002248,3,401
teach,0.002199,10,1490
initial,0.002177,1,24
support,0.002164,7,974
fact,0.002155,3,247
depress,0.002143,1,26
unhealthy,0.002143,1,35
email,0.002143,1,33
intelligence,0.002111,1,120
buddhism,0.002110,3,543
theravada,0.002080,1,51
non-clinging,0.002080,1,61
permanent,0.002080,1,40
announcement,0.002080,1,34
emphasize,0.002053,2,169
that'll,0.002050,1,33
reject,0.002021,1,47
existence,0.002021,1,47
there'll,0.002021,1,34
part,0.002013,23,1640
ready,0.002008,2,183
form,0.001983,4,455
assumption,0.001967,1,48
wood,0.001967,1,53
oneself,0.001964,2,190
place,0.001961,15,1613
change,0.001944,6,1444
resolve,0.001916,1,53
impermanent,0.001916,1,58
effort,0.001908,2,341
temple,0.001892,1,70
town,0.001869,1,61
freely,0.001869,1,56
bow,0.001846,1,51
reveal,0.001846,1,57
heart,0.001833,11,1702
carry,0.001827,2,213
switch,0.001824,1,46
diminish,0.001824,1,62
deny,0.001824,1,46
physically,0.001803,1,48
greet,0.001782,1,71
basis,0.001782,1,59
shift,0.001777,3,466
normally,0.001762,1,47
fair,0.001762,1,47
decision,0.001762,1,54
knowledge,0.001762,1,111
manage,0.001762,1,50
connection,0.001750,2,221
harmful,0.001742,1,83
together,0.001738,8,1037
beautiful,0.001726,3,564
specifically,0.001723,1,55
gravity,0.001704,1,52
attain,0.001686,1,71
lifetime,0.001686,1,72
concern,0.001678,2,281
full,0.001677,3,346
whole,0.001670,7,1210
gratitude,0.001650,1,100
analogy,0.001650,1,60
compassionate,0.001650,1,75
title,0.001650,1,55
healthy,0.001642,2,298
loud,0.001633,1,61
tomorrow,0.001619,2,191
final,0.001616,1,70
brensilver,0.001616,1,93
matthew,0.001600,1,94
anywhere,0.001600,1,65
fascinate,0.001584,1,65
series,0.001574,2,256
finish,0.001568,1,66
constant,0.001568,1,74
include,0.001568,3,417
rich,0.001553,1,69
ago,0.001541,2,272
impermanence,0.001538,1,144
wise,0.001531,2,454
ahead,0.001523,1,77
beneficial,0.001523,1,104
year,0.001521,4,848
order,0.001520,2,244
enter,0.001509,2,382
bell,0.001509,1,110
location,0.001509,1,87
aspect,0.001499,2,275
listen,0.001499,2,397
particularly,0.001495,1,93
another,0.001472,5,772
monday,0.001467,1,69
fire,0.001440,1,144
cling,0.001436,2,578
disappear,0.001427,1,125
difficult,0.001416,2,331
strange,0.001415,1,73
topic,0.001406,2,270
week,0.001400,5,726
belong,0.001390,1,105
unwholesome,0.001390,1,182
believe,0.001387,2,342
society,0.001377,1,137
culture,0.001377,1,138
seat,0.001377,1,120
represent,0.001365,1,107
phenomenon,0.001365,1,105
art,0.001365,1,144
voice,0.001354,1,114
huge,0.001354,1,107
rhythm,0.001342,1,111
death,0.001342,1,171
onto,0.001342,1,96
anyone,0.001319,1,121
anybody,0.001308,1,119
nature,0.001301,2,401
share,0.001301,2,469
hang,0.001287,1,103
perspective,0.001287,1,196
assume,0.001273,2,244
issue,0.001265,1,125
rather,0.001261,3,550
metaphor,0.001255,1,153
across,0.001235,1,157
help,0.001220,5,874
person,0.001213,4,1121
individual,0.001205,1,109
careful,0.001205,1,128
slowly,0.001205,1,108
minute,0.001194,2,359
tree,0.001186,1,205
hear,0.001180,3,871
mine,0.001177,1,232
complete,0.001177,1,142
plan,0.001168,1,163
friend,0.001168,2,564
almost,0.001161,3,566
return,0.001159,2,282
silence,0.001141,1,205
finally,0.001132,1,153
unfold,0.001123,1,172
alone,0.001106,1,147
somehow,0.001101,2,323
inside,0.001093,2,450
movement,0.001085,2,458
belief,0.001081,1,290
won't,0.001081,1,139
guide,0.001074,6,917
community,0.001073,1,358
i'd,0.001069,2,438
new,0.001046,2,553
yesterday,0.001042,1,166
orientation,0.001042,1,226
breathe,0.001042,4,2506
aware,0.001038,2,634
pretty,0.001026,1,180
opportunity,0.001026,1,176
particular,0.001022,2,447
keep,0.001020,4,824
necessarily,0.001019,1,153
group,0.001004,1,255
train,0.000997,1,315
wholesome,0.000982,1,390
deep,0.000970,6,1732
provide,0.000968,1,214
tell,0.000954,2,588
amount,0.000954,1,177
fix,0.000947,1,286
call,0.000945,5,1079
suppose,0.000933,1,179
system,0.000927,1,306
pay,0.000927,1,224
connect,0.000918,2,675
understand,0.000911,4,1242
couple,0.000907,1,179
upon,0.000901,1,207
value,0.000901,1,229
wide,0.000901,1,262
create,0.000896,2,542
someone,0.000896,2,640
human,0.000896,2,557
experience,0.000890,11,3143
degree,0.000881,1,235
problem,0.000869,1,297
ability,0.000869,1,243
relax,0.000866,3,1265
idea,0.000858,5,1650
great,0.000849,3,940
love,0.000848,4,1767
act,0.000845,1,347
people,0.000831,14,3365
different,0.000828,9,1948
especially,0.000821,1,206
buddha,0.000815,3,1904
mental,0.000804,1,357
allow,0.000796,5,1537
buddhist,0.000793,2,856
tradition,0.000793,1,346
normal,0.000787,1,186
around,0.000784,6,1175
welcome,0.000772,5,714
whatever,0.000770,6,1217
sure,0.000765,1,258
wrong,0.000765,1,335
hold,0.000765,3,1031
important,0.000765,3,839
engage,0.000760,1,332
name,0.000755,1,310
exactly,0.000755,1,240
fully,0.000749,1,304
free,0.000748,3,764
mindfulness,0.000748,2,1000
late,0.000739,1,277
sit,0.000723,11,1521
turn,0.000722,2,694
pull,0.000718,1,329
develop,0.000713,1,367
certain,0.000710,2,636
cause,0.000703,1,397
care,0.000700,3,1655
activity,0.000693,1,455
flow,0.000688,1,572
useful,0.000688,1,288
attention,0.000684,3,1283
hope,0.000679,1,268
lead,0.000669,1,543
set,0.000664,1,326
fronsdal,0.000655,1,298
wisdom,0.000655,1,548
