word,tfidf_score,talk_frequency,global_frequency
truthfulness,0.034160,7,20
truth,0.025539,16,368
veracity,0.023056,4,10
bats,0.019945,3,5
stickiness,0.019520,4,14
parami,0.017895,4,28
simplifies,0.015151,3,9
epistemic,0.015065,2,2
honesty,0.014845,4,26
indifference,0.013786,3,17
bs,0.013296,2,4
sanity,0.012262,2,5
illusion,0.012235,3,24
evidence,0.011537,3,47
lie,0.010769,3,35
cannot,0.009795,5,129
complicated,0.009777,4,78
reality,0.009240,4,115
matthew,0.008031,3,91
discern,0.007691,2,24
unshaved,0.007532,1,1
caffeinated,0.007532,1,1
whispers,0.007532,1,1
careening,0.007532,1,1
surges,0.007532,1,1
signaling,0.007532,1,1
speculated,0.007532,1,1
bad-faith,0.007532,1,1
deceptiveness,0.007532,1,1
gesture,0.007179,2,36
finish,0.006957,2,36
abrupt,0.006648,1,2
siren,0.006648,1,2
commandment,0.006648,1,2
innocence,0.006648,1,2
neglected,0.006648,1,2
enraged,0.006648,1,2
all-pervasive,0.006648,1,2
consensual,0.006648,1,4
maltreated,0.006648,1,2
transgression,0.006648,1,2
harry,0.006648,1,2
frankfurt,0.006648,1,2
bullshitter,0.006648,1,2
cocooned,0.006648,1,2
lombrozo,0.006648,1,2
dyads,0.006648,1,2
uproot,0.006648,1,2
apportioned,0.006648,1,2
curation,0.006648,1,2
kids,0.006305,2,59
asana,0.006131,1,3
ruthlessness,0.006131,1,3
rigorous,0.006131,1,3
normative,0.006131,1,3
hypocrisy,0.006131,1,3
deceptively,0.006131,1,3
grad,0.006131,1,3
converge,0.006131,1,3
induce,0.006131,1,4
deception,0.006131,1,4
con,0.006131,1,3
sacca,0.006131,1,3
dimly,0.006131,1,4
trial,0.006131,1,8
evenly,0.006131,1,3
predetermined,0.006131,1,3
honor,0.006069,2,52
fundamental,0.005995,2,47
qualities,0.005833,4,326
mr,0.005764,1,5
warmly,0.005764,1,4
tolerant,0.005764,1,4
exchanged,0.005764,1,6
sober,0.005764,1,4
ignite,0.005764,1,4
coldness,0.005764,1,4
distinguishes,0.005764,1,4
marshalling,0.005764,1,4
deceptive,0.005764,1,4
relentless,0.005764,1,4
self-deception,0.005764,1,4
lawyers,0.005764,1,4
shattered,0.005764,1,4
fidelity,0.005764,1,6
here's,0.005642,3,160
dime,0.005479,1,9
tug,0.005479,1,5
auditory,0.005479,1,6
metzinger,0.005479,1,5
bumping,0.005479,1,6
faced,0.005479,1,5
deceive,0.005479,1,7
adolescent,0.005479,1,6
nietzsche,0.005479,1,6
brensilver,0.005411,2,89
dependent,0.005354,2,84
neither,0.005298,2,77
clinging,0.005295,4,428
complexities,0.005247,1,9
tending,0.005247,1,6
safer,0.005247,1,6
self-compassion,0.005247,1,15
scientific,0.005247,1,8
stem,0.005247,1,11
owe,0.005247,1,8
regarded,0.005247,1,10
spiral,0.005247,1,7
undefended,0.005247,1,6
radical,0.005189,2,82
lack,0.005189,2,83
fear,0.005102,4,441
virtues,0.005050,1,26
empathic,0.005050,1,9
destructive,0.005050,1,7
debt,0.005050,1,15
essay,0.005050,1,7
self-righteous,0.005050,1,7
tanya,0.005050,1,20
property,0.005050,1,7
realm,0.005035,2,111
child,0.004985,2,103
belief,0.004985,2,122
wholesome,0.004937,3,349
obligation,0.004880,1,8
presume,0.004880,1,8
motivates,0.004880,1,8
sends,0.004880,1,8
impact,0.004842,2,98
thomas,0.004730,1,9
annoying,0.004730,1,12
disorienting,0.004730,1,10
various,0.004620,2,91
justify,0.004595,1,10
demands,0.004595,1,12
instant,0.004595,1,12
scientists,0.004595,1,12
resilience,0.004474,1,15
treasure,0.004474,1,27
mythic,0.004474,1,15
tolerate,0.004474,1,11
true,0.004464,4,387
lying,0.004377,2,89
simplifying,0.004363,1,18
poignancy,0.004363,1,17
composed,0.004363,1,27
trauma,0.004363,1,20
debate,0.004363,1,32
stand,0.004338,2,100
so-called,0.004261,1,13
ignored,0.004261,1,13
hide,0.004261,1,18
interactions,0.004261,1,17
excuse,0.004261,1,17
firm,0.004261,1,14
answered,0.004166,1,17
permission,0.004166,1,18
philosopher,0.004166,1,17
public,0.004166,1,25
knew,0.004155,2,105
substitute,0.004078,1,18
abandoning,0.004078,1,26
paramis,0.004078,1,22
rage,0.004078,1,23
honoring,0.004078,1,21
approach,0.004051,2,179
yoga,0.003996,1,28
pretending,0.003996,1,26
risk,0.003996,1,19
theory,0.003996,1,52
perceiving,0.003996,1,25
list,0.003984,2,161
letting,0.003942,7,758
happier,0.003919,1,22
returned,0.003919,1,17
prove,0.003919,1,26
revealed,0.003919,1,22
karmic,0.003919,1,32
delusion,0.003886,2,211
warmth,0.003854,2,155
affected,0.003846,1,24
deliberate,0.003846,1,34
political,0.003846,1,30
whoever,0.003846,1,25
hunger,0.003846,1,19
pretend,0.003846,1,21
hungry,0.003777,1,51
harm,0.003731,2,324
excitement,0.003711,1,33
incredible,0.003711,1,26
intensity,0.003711,1,27
worthy,0.003711,1,28
hope,0.003660,3,237
attempt,0.003649,1,22
evil,0.003649,1,54
sentence,0.003590,1,27
absolute,0.003533,1,29
ultimate,0.003533,1,35
nobody,0.003533,1,49
sorry,0.003533,1,29
essence,0.003533,1,46
