word,tfidf_score,talk_frequency,global_frequency
underlie,0.016852,15,66
crave,0.015927,22,276
stabilize,0.010681,9,66
gut,0.010604,6,14
roedel,0.010514,4,4
sweater,0.009287,4,5
aversion,0.009247,18,484
screen,0.008759,8,62
vow,0.008581,6,29
insubstantial,0.007837,5,26
blank,0.007467,5,25
blame,0.007051,7,107
picture,0.006593,8,120
john,0.006438,4,25
insubstantiality,0.006427,3,6
typically,0.006303,5,38
package,0.006045,3,6
investigate,0.005911,6,102
agency,0.005843,4,18
hologram,0.005749,3,12
costume,0.005749,3,8
hit,0.005617,5,67
obsession,0.005507,3,8
bus,0.005507,3,13
poem,0.005329,7,404
trash,0.005302,3,14
unofficial,0.005257,2,2
wisp,0.005257,2,2
ethereal,0.005257,2,2
mother,0.004873,5,96
unpleasant,0.004813,6,233
firefly,0.004643,2,3
weightless,0.004643,2,4
image,0.004621,8,210
lose,0.004493,13,421
future,0.004388,8,217
promotion,0.004285,2,9
fixation,0.004285,2,5
mindfulness,0.004185,19,983
lung,0.004124,3,28
head,0.004121,9,270
hole,0.004048,3,38
rabbit,0.004030,2,6
divorce,0.004030,2,10
act,0.003964,8,338
wise,0.003948,9,454
mistake,0.003898,4,59
steal,0.003844,3,51
masquerade,0.003671,2,10
mind-heart,0.003671,2,7
tassajara,0.003671,2,11
object,0.003596,7,302
actual,0.003590,4,87
content,0.003561,5,171
narrative,0.003510,3,46
particularly,0.003487,4,87
emotion,0.003386,8,388
vipassana,0.003370,3,88
produce,0.003327,3,47
mei,0.003219,2,56
elliott,0.003219,2,42
jar,0.003219,2,20
jam,0.003219,2,14
serf,0.003219,2,11
power,0.003187,5,219
top,0.003162,5,180
voice,0.003153,4,113
desire,0.003152,8,743
past,0.003150,6,227
argument,0.003135,2,18
bodhisattva,0.003135,2,21
samadhi,0.003129,8,1516
i'd,0.003114,10,433
jaw,0.003092,3,48
lately,0.003058,2,13
instruction,0.003044,5,214
tone,0.002988,3,101
clench,0.002987,2,19
organ,0.002987,2,18
wholesome,0.002846,5,389
prison,0.002803,2,62
lead,0.002738,7,538
relationship,0.002685,8,498
ahead,0.002666,3,76
unguided,0.002628,1,1
freeze-framed,0.002628,1,1
projector,0.002628,1,1
baraz,0.002628,1,1
custody,0.002628,1,1
obnoxious,0.002628,1,1
munindra,0.002628,1,1
flimsy,0.002628,1,1
evanescent,0.002628,1,1
boss,0.002628,1,1
diaphanous,0.002628,1,1
silo,0.002628,1,1
zoo,0.002628,1,1
handwritten,0.002628,1,1
plush,0.002628,1,1
leather,0.002628,1,1
relatedly,0.002628,1,1
non-practitioner,0.002628,1,1
leslie,0.002628,1,1
cheeky,0.002628,1,1
r-o-e-d-e-l,0.002628,1,1
oversimplification,0.002628,1,1
clearly,0.002622,7,403
therapist,0.002606,2,32
reliable,0.002606,2,33
dislike,0.002606,2,29
note,0.002566,3,108
letter,0.002563,2,32
zen,0.002542,3,139
discernment,0.002521,2,70
repeat,0.002450,3,81
settle,0.002446,16,1516
regret,0.002408,2,37
anxious,0.002374,2,35
stable,0.002344,3,108
red,0.002340,2,46
cultivate,0.002339,5,462
audible,0.002322,1,4
saliva,0.002322,1,2
munindra-ji,0.002322,1,2
crisp,0.002322,1,2
gadget,0.002322,1,2
prophet,0.002322,1,2
whisk,0.002322,1,2
legible,0.002322,1,3
armstrong,0.002322,1,3
innocuous,0.002322,1,2
sur,0.002322,1,2
theft,0.002322,1,6
chanda,0.002322,1,2
suffer,0.002298,11,1686
ask,0.002290,8,676
guidance,0.002277,2,40
spine,0.002277,2,47
effective,0.002277,2,42
tool,0.002247,2,65
emptiness,0.002247,2,85
weather,0.002247,2,56
save,0.002247,2,81
tightness,0.002227,3,115
investigation,0.002218,2,65
spend,0.002199,6,297
temple,0.002190,2,70
anchor,0.002190,2,60
sentence,0.002163,2,44
cold,0.002163,2,53
sneaky,0.002142,1,3
screw,0.002142,1,4
dictator,0.002142,1,4
dictate,0.002142,1,4
repel,0.002142,1,3
gratify,0.002142,1,3
unveil,0.002142,1,3
preliminary,0.002142,1,7
squeeze,0.002142,1,3
lightweight,0.002142,1,3
untrained,0.002142,1,4
worldling,0.002142,1,4
sham,0.002142,1,3
audio,0.002142,1,3
function,0.002119,3,122
pleasant,0.002100,4,351
kill,0.002061,2,122
believe,0.002042,5,334
collapse,0.002038,2,54
perch,0.002015,1,5
utilize,0.002015,1,4
fabrication,0.002015,1,14
chip,0.002015,1,7
entice,0.002015,1,4
thief,0.002015,1,17
signature,0.002015,1,8
noteworthy,0.002015,1,4
significantly,0.002015,1,6
toy,0.002015,1,9
roommate,0.002015,1,5
target,0.002015,1,5
tanha,0.002015,1,5
job,0.002004,3,196
write,0.001996,4,241
generous,0.001992,2,92
land,0.001988,3,166
fine,0.001972,3,150
fuel,0.001970,2,90
you'll,0.001968,4,226
rid,0.001957,3,176
decade,0.001949,2,52
fly,0.001928,2,66
eradicate,0.001916,1,7
complacent,0.001916,1,6
fuzzy,0.001916,1,6
regain,0.001916,1,5
gravitational,0.001916,1,8
desk,0.001916,1,5
lament,0.001916,1,6
furniture,0.001916,1,5
renew,0.001916,1,5
notice,0.001888,10,1214
chest,0.001883,3,144
finish,0.001850,2,64
neither,0.001850,2,78
disentangle,0.001836,1,15
marry,0.001836,1,8
self-judgment,0.001836,1,7
pin,0.001836,1,6
suck,0.001836,1,7
excerpt,0.001836,1,7
sigh,0.001836,1,16
blink,0.001836,1,10
complaint,0.001836,1,7
alter,0.001836,1,7
personally,0.001813,2,61
lie,0.001799,3,169
brain,0.001795,2,110
latter,0.001767,1,7
romantic,0.001767,1,7
surgery,0.001767,1,9
additional,0.001767,1,7
sneak,0.001767,1,9
frequent,0.001767,1,7
citta,0.001767,1,22
observe,0.001760,2,123
versus,0.001760,2,87
empty,0.001743,2,97
anxiety,0.001710,2,93
alternate,0.001708,1,10
caretaker,0.001708,1,10
anticipate,0.001708,1,8
bounce,0.001708,1,8
teeny,0.001708,1,10
house,0.001695,2,119
goal,0.001679,2,129
goldstein,0.001656,1,11
card,0.001656,1,19
spouse,0.001656,1,9
spell,0.001656,1,13
author,0.001610,1,15
mom,0.001610,1,16
replay,0.001610,1,10
uncertain,0.001610,1,14
adventure,0.001610,1,11
lump,0.001610,1,14
fruitful,0.001610,1,12
radio,0.001610,1,19
rearrange,0.001610,1,14
thirst,0.001610,1,20
unwholesome,0.001604,2,182
relate,0.001599,4,331
shoulder,0.001598,3,211
otherwise,0.001590,2,98
sort,0.001575,3,279
mindful,0.001575,3,273
button,0.001567,1,11
soundscape,0.001567,1,18
hijack,0.001567,1,17
founder,0.001567,1,14
nod,0.001567,1,13
kornfield,0.001567,1,15
transmit,0.001567,1,14
prominent,0.001567,1,17
entry,0.001567,1,14
helpful,0.001564,4,577
you've,0.001542,4,355
month,0.001536,2,109
light,0.001531,4,467
possess,0.001529,1,15
joseph,0.001529,1,14
extraordinary,0.001529,1,14
hook,0.001529,1,27
invite,0.001519,3,319
new,0.001510,5,551
quietly,0.001510,2,96
level,0.001508,3,282
behind,0.001508,3,191
leg,0.001497,2,106
ideally,0.001493,1,13
present-moment,0.001493,1,24
battle,0.001493,1,38
mile,0.001493,1,15
cost,0.001493,1,24
unhappiness,0.001493,1,21
delude,0.001493,1,14
ceremony,0.001493,1,26
anymore,0.001472,2,99
truth,0.001465,3,523
forehead,0.001461,1,22
unseen,0.001461,1,14
wednesday,0.001461,1,21
yell,0.001461,1,18
scenario,0.001461,1,16
rejection,0.001461,1,16
false,0.001461,1,21
black,0.001461,1,20
jack,0.001461,1,19
similarly,0.001461,1,14
cruz,0.001461,1,17
dissatisfaction,0.001461,1,19
noble,0.001436,2,267
catch,0.001434,4,435
indian,0.001430,1,24
addiction,0.001430,1,24
importantly,0.001430,1,16
couldn't,0.001424,2,106
generosity,0.001413,2,257
belly,0.001404,3,266
realize,0.001403,4,408
press,0.001402,1,27
playful,0.001402,1,23
green,0.001402,1,20
equal,0.001402,1,24
walk,0.001393,4,549
hatred,0.001390,2,198
wonder,0.001379,2,144
likewise,0.001375,1,29
fulfil,0.001375,1,23
discontent,0.001375,1,33
moon,0.001375,1,27
aren't,0.001368,2,135
return,0.001362,4,277
movie,0.001349,1,30
complain,0.001349,1,42
compel,0.001349,1,23
reward,0.001349,1,22
deliberately,0.001349,1,40
twist,0.001349,1,29
ago,0.001345,3,268
often,0.001335,10,1089
connect,0.001333,5,661
stop,0.001332,4,469
happiness,0.001332,4,860
mess,0.001326,1,26
seriously,0.001326,1,23
ache,0.001326,1,26
name,0.001325,3,306
order,0.001325,3,240
teacher,0.001323,4,560
concept,0.001305,2,259
worry,0.001305,2,155
excitement,0.001303,1,33
uncommon,0.001303,1,24
impression,0.001303,1,24
throat,0.001303,1,31
retreat,0.001297,3,393
case,0.001295,2,171
concentration,0.001285,2,227
weekend,0.001281,1,25
sunday,0.001281,1,27
incredible,0.001281,1,27
chance,0.001265,2,152
refrain,0.001261,1,63
frequently,0.001261,1,36
temperature,0.001261,1,25
enemy,0.001261,1,53
focus,0.001255,4,606
alertness,0.001241,1,25
meditators,0.001241,1,27
worthy,0.001241,1,32
santa,0.001241,1,32
inherently,0.001241,1,34
simple,0.001229,5,721
yesterday,0.001227,2,160
match,0.001222,1,44
incredibly,0.001222,1,33
exhaust,0.001222,1,32
occur,0.001208,2,142
tibetan,0.001204,1,48
clear,0.001199,5,571
general,0.001190,2,170
ordinary,0.001190,2,191
fault,0.001187,1,51
wrap,0.001187,1,42
cage,0.001187,1,35
grip,0.001187,1,50
harm,0.001181,2,462
ready,0.001173,2,180
particular,0.001172,4,446
hip,0.001170,1,31
rib,0.001170,1,36
generate,0.001170,1,38
violence,0.001170,1,62
determine,0.001170,1,33
powerful,0.001164,2,165
loosen,0.001154,1,41
acceptance,0.001154,1,66
wild,0.001154,1,50
vacation,0.001154,1,53
unique,0.001154,1,42
form,0.001154,4,448
think,0.001149,196,5980
enjoyable,0.001138,1,38
freeze,0.001138,1,50
kindness,0.001132,3,545
interest,0.001127,4,521
length,0.001123,1,53
global,0.001123,1,74
critical,0.001123,1,38
mature,0.001123,1,60
tell,0.001118,4,577
white,0.001109,1,59
cry,0.001109,1,55
exact,0.001109,1,39
cease,0.001109,1,53
recommend,0.001109,1,38
physical,0.001105,2,209
presence,0.001105,2,216
yet,0.001097,2,239
sad,0.001095,1,55
heart,0.001086,11,1679
wash,0.001081,1,52
mouth,0.001081,1,51
universal,0.001081,1,54
example,0.001076,3,377
attention,0.001068,8,1271
stretch,0.001068,1,58
slide,0.001068,1,81
sun,0.001068,1,66
renunciation,0.001068,1,69
whether,0.001068,3,314
everything,0.001059,6,900
cloud,0.001055,1,83
tiny,0.001055,1,50
answer,0.001050,2,247
neck,0.001043,1,55
hadn't,0.001043,1,49
number,0.001042,2,218
arise,0.001038,6,1074
free,0.001036,7,745
upright,0.001031,1,64
chase,0.001031,1,63
impulse,0.001031,1,66
grab,0.001019,1,77
trap,0.001019,1,76
liberate,0.001019,1,60
decision,0.001019,1,54
learn,0.001007,6,777
inherent,0.001007,1,64
partner,0.001007,1,62
path,0.001007,3,820
problem,0.001005,2,294
war,0.000985,1,74
