word,tfidf_score,talk_frequency,global_frequency
metta,0.024757,34,453
neal,0.014523,8,13
dawn,0.010230,8,30
visualization,0.010147,5,9
gesture,0.009129,8,43
graciousness,0.008797,4,5
loving-kindness,0.008738,12,185
helpful,0.008481,23,578
awareness,0.008389,39,1263
notice,0.008375,47,1217
cultivate,0.007993,18,462
attitude,0.007582,15,296
kindness,0.007524,21,545
big-hearted,0.007469,3,3
tejaniya,0.007469,3,3
receptive,0.007390,8,81
intention,0.006968,13,261
sayadaw,0.006956,4,11
category,0.006684,7,75
receive,0.006490,14,368
pair,0.006394,5,45
repeat,0.006195,8,81
tint,0.006088,3,5
cultivation,0.005955,7,109
heart-mind,0.005940,4,21
suffuse,0.005660,4,31
key,0.005141,7,97
direct,0.005027,11,272
predisposition,0.004979,2,2
margo,0.004979,2,2
arise,0.004948,30,1074
optional,0.004855,3,15
invitation,0.004806,7,133
ripple,0.004779,4,32
glance,0.004707,3,12
questioner,0.004619,5,242
phrase,0.004577,7,184
mindfulness,0.004572,22,990
foundation,0.004505,7,165
mute,0.004399,2,3
inclination,0.004316,4,49
minute,0.004300,13,353
benefactor,0.004245,3,38
onward,0.004152,3,57
savor,0.004152,3,20
visualize,0.004065,3,22
bio,0.004059,2,6
immeasurables,0.004059,2,8
instruction,0.004012,7,215
wisdom,0.003941,11,546
image,0.003836,7,210
imaginative,0.003818,2,5
short,0.003741,6,133
patience,0.003736,4,331
hone,0.003631,2,8
playfulness,0.003631,2,8
mantra,0.003631,2,6
system,0.003590,7,299
repetition,0.003478,2,7
aware,0.003471,12,622
stability,0.003433,5,169
embody,0.003405,5,146
hour,0.003388,6,193
appreciation,0.003377,5,209
patient,0.003374,3,116
mood,0.003370,4,92
greatly,0.003349,2,10
generate,0.003327,3,38
train,0.003313,6,306
heart,0.003262,35,1680
offer,0.003259,19,696
wish,0.003248,14,583
blend,0.003237,2,13
precursor,0.003237,2,10
shift,0.003236,10,465
outwards,0.003153,3,48
commentarial,0.003138,2,11
core,0.003098,4,130
habit,0.003070,4,116
benefit,0.003064,7,270
backwards,0.003050,2,12
plus,0.002970,2,17
send,0.002913,4,120
towards,0.002828,10,494
general,0.002823,5,170
healthy,0.002742,6,293
style,0.002710,2,18
resonance,0.002710,2,22
basically,0.002685,3,94
generosity,0.002680,4,257
compassion,0.002676,7,676
fourth,0.002658,4,158
classic,0.002657,3,62
playful,0.002656,2,23
lens,0.002630,3,70
burma,0.002605,2,21
per,0.002605,2,20
hospital,0.002605,2,44
relationship,0.002551,8,498
obvious,0.002534,4,151
couple,0.002509,5,175
quality,0.002495,8,625
fine,0.002494,4,150
interweave,0.002490,1,1
operationalized,0.002490,1,1
counterprogram,0.002490,1,1
p-a-i-r-s,0.002490,1,1
joy-making,0.002490,1,1
care-making,0.002490,1,1
muse,0.002490,1,1
experimental,0.002490,1,1
chisel,0.002490,1,1
sutta-based,0.002490,1,1
meta-level,0.002490,1,1
mini-talk,0.002490,1,1
30-ish,0.002490,1,1
afterglow,0.002490,1,1
neural,0.002490,1,1
efficacious,0.002490,1,1
honorific,0.002490,1,1
sunglass,0.002490,1,1
soundtrack,0.002490,1,1
coloration,0.002490,1,1
dorm,0.002490,1,1
excruciate,0.002490,1,1
rinse,0.002490,1,1
fun,0.002479,3,104
sensation,0.002436,10,884
invite,0.002403,5,319
structure,0.002389,2,29
lip,0.002352,2,33
q,0.002327,4,124
tend,0.002318,5,225
merit,0.002317,2,46
teach,0.002311,19,1458
peaceful,0.002297,8,412
contemplation,0.002282,2,43
automatically,0.002282,2,33
bore,0.002282,2,38
strength,0.002282,3,99
imagine,0.002264,9,466
simply,0.002261,6,309
