word,tfidf_score,talk_frequency,global_frequency
patience,0.041472,15,331
trait,0.032156,6,19
patient,0.029938,9,116
parami,0.021936,5,28
restfulness,0.019467,3,4
kingdom,0.017548,4,29
transaction,0.016903,3,6
2of5,0.016078,3,10
value,0.016075,11,229
slot,0.014688,2,2
sweat,0.012978,2,3
frenzy,0.012978,2,7
lodge,0.011978,2,6
absurd,0.011978,2,4
rally,0.011978,2,5
accrue,0.011978,2,4
new,0.011876,14,553
insofar,0.011269,2,6
entrust,0.011269,2,5
path,0.011043,12,912
transactional,0.010719,2,8
framework,0.010275,3,47
harden,0.010269,2,9
nervous,0.009840,3,54
comprehend,0.009269,2,13
decision,0.008576,3,54
thich,0.008560,2,13
nhat,0.008560,2,13
hanh,0.008560,2,13
cannot,0.007762,4,130
presence,0.007684,5,222
momentary,0.007426,2,25
priority,0.007426,2,25
ireland,0.007344,1,1
micro-adjustments,0.007344,1,1
truce,0.007344,1,1
lakota,0.007344,1,1
dais,0.007344,1,1
non-patience,0.007344,1,1
naivete,0.007344,1,1
instantaneous,0.007344,1,1
dispositional,0.007344,1,1
fetish,0.007344,1,1
state-based,0.007344,1,1
refinding,0.007344,1,1
value-wise,0.007344,1,1
adoption,0.007344,1,1
one-way,0.007344,1,1
structure,0.006955,2,31
gesture,0.006750,2,43
reiteration,0.006489,1,3
ailment,0.006489,1,2
self-harshness,0.006489,1,2
in-the-moment,0.006489,1,2
substantially,0.006489,1,2
punctuate,0.006489,1,2
demote,0.006489,1,2
displace,0.006489,1,3
bliss,0.006384,2,64
system,0.006015,4,306
steph,0.005989,1,3
non-transactional,0.005989,1,5
crystal,0.005989,1,3
turbulence,0.005989,1,3
inception,0.005989,1,3
commitment,0.005920,2,60
service,0.005850,2,84
model,0.005717,2,75
main,0.005717,2,59
entrain,0.005634,1,4
unbelievable,0.005634,1,4
short-term,0.005634,1,10
investment,0.005634,1,9
dismantle,0.005634,1,11
love,0.005506,16,1767
receive,0.005444,4,370
extract,0.005359,1,7
radar,0.005359,1,5
agnes,0.005359,1,6
callard,0.005359,1,8
engender,0.005359,1,7
sign,0.005300,2,89
conscious,0.005193,2,69
plant,0.005193,2,96
famously,0.005134,1,6
lash,0.005134,1,9
responsive,0.005134,1,11
alter,0.005134,1,7
consolation,0.004944,1,8
ping,0.004944,1,12
shinzen,0.004944,1,8
startle,0.004944,1,7
supreme,0.004944,1,13
ecstasy,0.004944,1,7
ticket,0.004944,1,9
anyway,0.004944,2,72
relief,0.004805,2,105
wholesome,0.004781,3,390
exhalation,0.004780,1,16
