word,tfidf_score,talk_frequency,global_frequency
winds,0.023703,13,53
penguins,0.022035,7,7
equanimity,0.017156,24,458
failure,0.016025,9,22
disgrace,0.015739,5,5
worldly,0.014738,9,38
critic,0.013635,8,51
helicopter,0.012811,5,9
lovable,0.012663,6,24
reservoir,0.012591,4,4
half,0.011346,11,96
knives,0.011113,4,5
pairs,0.010964,5,10
lists,0.010145,8,101
unshakeable,0.009444,3,3
karaoke,0.009444,3,3
diana,0.008851,9,331
bread,0.008771,4,17
clark,0.008674,8,281
disapproval,0.008335,3,4
success,0.008230,6,56
unease,0.008158,4,19
status,0.007755,5,33
pair,0.007682,4,21
list,0.007491,9,161
warm-heartedness,0.007479,4,50
thousands,0.007382,5,35
audience,0.007269,5,136
curtains,0.006870,3,9
tipping,0.006870,3,8
outraged,0.006870,3,13
media,0.006674,5,60
jacket,0.006578,3,14
problem,0.006484,9,207
approval,0.006332,3,11
beer,0.006296,2,2
doodles,0.006296,2,2
irksome,0.006296,2,2
keel,0.006296,2,2
fin,0.006296,2,2
cereal,0.006296,2,2
spelling,0.006296,2,2
member,0.006263,5,126
equally,0.005930,3,13
well-being,0.005778,11,536
highlighting,0.005761,3,16
blues,0.005557,2,3
toast,0.005557,2,5
ducks,0.005557,2,5
problemness,0.005557,2,3
yeah,0.005371,10,767
cut,0.005269,4,43
boat,0.005223,3,31
show,0.005129,9,248
yesterday's,0.005124,2,4
giant,0.005113,3,26
pleasurable,0.005113,3,29
shut,0.004913,3,24
chant,0.004913,3,24
tests,0.004818,2,5
minor,0.004735,3,29
quote-unquote,0.004580,2,6
perfect,0.004533,5,122
inner,0.004492,10,447
big,0.004416,12,461
fix,0.004378,5,145
poet,0.004233,3,43
netflix,0.004221,2,9
cute,0.004221,2,15
near,0.004126,4,107
blown,0.004079,2,10
outrage,0.004079,2,29
spell,0.004079,2,9
everybody,0.004060,5,181
uplifting,0.003953,2,12
cold,0.003852,3,52
experiences,0.003844,7,323
control,0.003776,5,243
nicer,0.003739,2,14
ice,0.003739,2,26
swim,0.003739,2,18
loving-kindness,0.003691,4,182
metta,0.003658,4,445
blowing,0.003647,2,21
favorite,0.003585,3,57
somebody,0.003574,5,318
tip,0.003482,2,18
uncomfortable,0.003473,4,194
familiar,0.003465,5,177
oh,0.003423,14,1322
fixed,0.003392,3,90
types,0.003392,3,83
experiencing,0.003387,5,172
sutta,0.003386,4,307
patterns,0.003356,3,78
blaming,0.003340,2,35
measure,0.003321,3,65
aren't,0.003302,4,129
flat,0.003157,2,32
heads,0.003157,2,25
flying,0.003157,2,26
lemn,0.003148,1,1
sissay,0.003148,1,1
ex-addicts,0.003148,1,1
ex-junkies,0.003148,1,1
flunks,0.003148,1,1
ex-flunkies,0.003148,1,1
careerless,0.003148,1,1
grate,0.003148,1,1
laceless,0.003148,1,1
cordless,0.003148,1,1
one-bar,0.003148,1,1
buttonless,0.003148,1,1
coats,0.003148,1,1
rubbish,0.003148,1,1
bitten,0.003148,1,1
ashtrays,0.003148,1,1
jeans,0.003148,1,1
worms,0.003148,1,1
creases,0.003148,1,1
irk,0.003148,1,1
antarctica,0.003148,1,1
colonies,0.003148,1,1
blubber,0.003148,1,1
updated,0.003148,1,1
skate,0.003148,1,1
silliness,0.003148,1,1
co-opt,0.003148,1,1
broad-brush,0.003148,1,1
stroller,0.003148,1,1
crunch,0.003148,1,1
peanut,0.003148,1,1
hanson,0.003148,1,1
velcro,0.003148,1,1
teflon,0.003148,1,1
industrial,0.003148,1,1
hobby,0.003148,1,1
closet,0.003148,1,1
mrs,0.003148,1,1
asano,0.003148,1,1
first-grade,0.003148,1,1
vibes,0.003148,1,1
