word,tfidf_score,talk_frequency,global_frequency
bingo,0.039422,5,5
dana,0.034413,6,10
squares,0.028678,5,25
card,0.022942,4,9
metta,0.021727,8,304
christmas,0.019803,4,25
movie,0.019803,4,14
renunciation,0.019297,6,68
parami,0.015859,3,19
rejoice,0.015859,3,15
territoriality,0.015769,2,2
love,0.015186,33,1462
indivisibility,0.013918,2,3
utopia,0.013918,2,3
wing,0.013918,2,3
celebrates,0.012835,2,6
hovering,0.012835,2,4
hallmark,0.012067,2,5
upekkha,0.012067,2,7
circuits,0.010984,2,8
nervous,0.010603,3,53
paramis,0.010573,2,13
movies,0.010573,2,12
karuna,0.010573,2,18
matters,0.009899,3,54
sila,0.009620,2,21
softened,0.009366,2,15
mudita,0.009133,2,58
swimming,0.008722,2,19
gratitude,0.008682,3,98
illusion,0.008538,2,24
samsara,0.008365,2,26
hatred,0.008339,4,194
conduct,0.007906,2,30
ripping,0.007884,1,1
backlash,0.007884,1,1
node,0.007884,1,1
coagulate,0.007884,1,1
gift-bestowing,0.007884,1,1
heartbreakingly,0.007884,1,1
4of5,0.007884,1,1
non-ownership,0.007884,1,1
side-eyeing,0.007884,1,1
sandra,0.007884,1,1
rental,0.007884,1,1
break-in,0.007884,1,1
pushback,0.007884,1,1
haters,0.007884,1,1
partaken,0.007884,1,1
pastime,0.007884,1,1
predictable,0.007884,1,1
sworn,0.007884,1,1
cocoa,0.007884,1,1
curmudgeon,0.007884,1,1
cynical,0.007884,1,1
blended,0.007884,1,1
hellish,0.007884,1,1
humanity's,0.007884,1,1
picturing,0.007884,1,1
closed-hearted,0.007884,1,1
foreclosed,0.007884,1,1
viable,0.007884,1,1
dostoevsky,0.007884,1,1
halves,0.007884,1,1
protected,0.007769,2,27
sensitive,0.007751,3,86
we'd,0.007174,2,35
goodness,0.007167,6,466
crowdsourced,0.006959,1,3
mold,0.006959,1,3
infrequently,0.006959,1,2
sentimental,0.006959,1,3
adjacent,0.006959,1,2
in-laws,0.006959,1,2
angel,0.006959,1,2
grizzled,0.006959,1,2
endemic,0.006959,1,2
alien,0.006959,1,3
sucitto's,0.006959,1,2
mingling,0.006959,1,5
permitted,0.006959,1,2
hedonism,0.006959,1,2
teachers,0.006838,4,193
aversion,0.006786,4,438
everything's,0.006777,2,43
generosity,0.006523,3,206
universe,0.006514,2,63
lifetime,0.006432,2,50
perceive,0.006432,2,55
restriction,0.006418,1,3
unclenching,0.006418,1,4
allergic,0.006418,1,4
saccharine,0.006418,1,4
routinely,0.006418,1,3
michelle,0.006418,1,4
mcdonald,0.006418,1,3
placeholder,0.006418,1,3
non-hatred,0.006418,1,3
currents,0.006418,1,3
forever,0.006055,2,68
envision,0.006033,1,5
learns,0.006033,1,6
devoid,0.006033,1,7
net,0.006033,1,9
entrained,0.006033,1,4
hating,0.006033,1,4
defects,0.006033,1,4
compatible,0.006033,1,4
brahma-viharas,0.006033,1,5
namely,0.006033,1,5
discover,0.006003,3,190
holds,0.005986,2,51
bird,0.005919,2,76
tend,0.005812,3,129
absorb,0.005736,1,7
drain,0.005736,1,5
cards,0.005736,1,10
implied,0.005736,1,5
reviewing,0.005736,1,5
broadest,0.005736,1,5
hated,0.005736,1,8
idiosyncratic,0.005736,1,8
turbulent,0.005736,1,7
blink,0.005736,1,9
system,0.005630,3,231
grasping,0.005545,2,97
forcefully,0.005492,1,6
defensiveness,0.005492,1,7
poignant,0.005492,1,6
technically,0.005492,1,6
romantic,0.005492,1,6
blend,0.005492,1,6
utterly,0.005492,1,6
gestalt,0.005492,1,10
intersection,0.005492,1,9
serene,0.005492,1,7
famously,0.005492,1,6
moralistic,0.005492,1,7
project,0.005488,2,79
trajectory,0.005286,1,8
renouncing,0.005286,1,14
ties,0.005286,1,9
declare,0.005286,1,9
nail,0.005286,1,8
infused,0.005286,1,8
secure,0.005286,1,9
alternatives,0.005286,1,7
apathy,0.005286,1,17
realm,0.005270,2,111
car,0.005218,2,122
hate,0.005218,2,92
wholesome,0.005168,3,349
putting,0.005128,3,168
study,0.005117,2,89
