word,tfidf_score,talk_frequency,global_frequency
sweatpants,0.035269,4,4
nisargadatta,0.033802,5,8
nothingness,0.028749,4,6
torment,0.027042,4,9
agent,0.020047,4,16
tranquility,0.018611,5,65
vedana,0.014705,3,153
multiplicity,0.014374,2,4
spotlight,0.013521,2,7
dissolve,0.012419,4,83
submit,0.012318,2,8
vicara,0.011860,2,15
brightness,0.011782,3,63
vitakka,0.011464,2,19
wisdom,0.011420,9,546
transparent,0.011114,2,17
w,0.010519,2,23
nothing,0.010275,11,479
restful,0.010261,2,15
desert,0.010261,2,18
precise,0.010023,2,19
brensilver,0.009508,3,90
vibrate,0.009407,2,19
specie,0.009227,2,23
everythingness,0.008817,1,1
phenomenological,0.008817,1,1
vitakka-vicara,0.008817,1,1
pervasively,0.008817,1,1
airy,0.008817,1,1
gradient,0.008817,1,1
laurence,0.008817,1,1
fishburne,0.008817,1,1
lacanian,0.008817,1,1
jacques,0.008817,1,1
lacan,0.008817,1,1
barrenness,0.008817,1,1
uncompulsive,0.008817,1,1
un-self-created,0.008817,1,1
unmanufactured,0.008817,1,1
dialectical,0.008817,1,1
vacuity,0.008817,1,1
melt,0.007966,2,40
phenomenon,0.007940,3,105
ordinary,0.007938,4,192
improvise,0.007789,1,2
incoming,0.007789,1,2
restfulness,0.007789,1,4
rumi,0.007789,1,2
explode,0.007789,1,2
selfhood,0.007789,1,2
awash,0.007789,1,2
desolate,0.007789,1,2
pixelated,0.007789,1,2
pixel,0.007789,1,2
potency,0.007789,1,2
materiality,0.007789,1,2
sever,0.007789,1,2
emptiness,0.007542,2,85
face,0.007480,5,251
cease,0.007445,2,53
meditator,0.007259,2,48
literary,0.007187,1,3
non-transactional,0.007187,1,5
headquarter,0.007187,1,6
emanation,0.007187,1,3
somethingness,0.007187,1,5
anonymous,0.007187,1,3
wear,0.006840,2,69
normally,0.006840,2,47
model,0.006840,2,75
whenever,0.006840,2,43
self,0.006768,5,1140
maharaj,0.006760,1,4
urgent,0.006760,1,5
matrix,0.006760,1,8
barren,0.006760,1,10
melodrama,0.006760,1,5
flow,0.006720,5,570
tire,0.006688,2,82
okay,0.006612,10,1161
love,0.006561,16,1743
tell,0.006539,7,580
absence,0.006474,2,109
gravitational,0.006429,1,8
satiate,0.006429,1,7
luminosity,0.006429,1,5
pregnant,0.006429,1,14
catastrophe,0.006429,1,5
mail,0.006429,1,5
exert,0.006159,1,7
sleepy,0.006159,1,9
readiness,0.006159,1,8
circuit,0.006159,1,8
unimpeded,0.006159,1,7
oneness,0.006159,1,8
congeal,0.006159,1,6
yield,0.005930,1,18
subside,0.005930,1,10
pole,0.005930,1,12
density,0.005930,1,10
yogi,0.005930,1,10
arrogance,0.005930,1,8
shinzen,0.005930,1,8
detect,0.005930,1,7
everything,0.005899,10,902
note,0.005743,2,108
hate,0.005743,2,95
nectar,0.005732,1,11
barely,0.005732,1,9
unnoticed,0.005732,1,9
entirety,0.005732,1,9
alternate,0.005732,1,10
smoothly,0.005732,1,10
juice,0.005557,1,19
beneath,0.005557,1,12
willfulness,0.005401,1,15
flourish,0.005401,1,39
poetic,0.005401,1,12
rearrange,0.005401,1,14
illuminate,0.005401,1,11
integration,0.005401,1,17
darkness,0.005260,1,14
soak,0.005260,1,17
drama,0.005260,1,15
tranquil,0.005130,1,17
thich,0.005130,1,13
nhat,0.005130,1,13
hanh,0.005130,1,13
forgive,0.005130,1,19
elaborate,0.005130,1,15
cure,0.005130,1,22
mystery,0.005130,1,18
dense,0.005130,1,22
egoic,0.005130,1,17
extraordinary,0.005130,1,14
space,0.005045,5,712
bay,0.005012,1,16
richness,0.004902,1,18
suzuki,0.004902,1,25
