word,tfidf_score,talk_frequency,global_frequency
energy,0.032934,23,443
ambiance,0.018257,2,2
parami,0.016336,3,28
rally,0.014882,2,5
glorify,0.012753,2,8
flag,0.012753,2,13
intimidate,0.012279,2,9
effort,0.011619,6,338
yoke,0.011507,2,14
self-view,0.010623,2,15
purification,0.010623,2,33
kindness,0.010509,8,545
poignancy,0.010377,2,19
abide,0.009644,3,155
specie,0.009553,2,23
brain,0.009358,3,110
face,0.009293,6,251
leverage,0.009129,1,1
add-on,0.009129,1,1
caloric,0.009129,1,1
output,0.009129,1,1
expenditure,0.009129,1,1
emancipate,0.009129,1,1
representational,0.009129,1,1
meltdown,0.009129,1,1
self-regulation,0.009129,1,1
gruesome,0.009129,1,1
low-energy,0.009129,1,1
cortical,0.009129,1,1
reorganization,0.009129,1,1
amputation,0.009129,1,1
phantom,0.009129,1,1
virya,0.009129,1,1
zero,0.009054,2,28
realm,0.008836,3,185
contemplate,0.008761,2,34
advice,0.008132,2,37
soften,0.008106,8,549
neuro-phenomenological,0.008064,1,2
quench,0.008064,1,2
entirely,0.008020,2,36
metta,0.008010,3,453
non-contention,0.007441,1,3
self-absorbing,0.007441,1,3
5of5,0.007441,1,5
exploit,0.007441,1,4
quo,0.007441,1,3
decay,0.007441,1,6
marinate,0.007441,1,5
cyclical,0.007441,1,3
complete,0.007193,3,138
vicissitude,0.006999,1,6
tumble,0.006999,1,6
defect,0.006999,1,4
compatible,0.006999,1,4
sakkaya-ditthi,0.006999,1,4
love,0.006793,16,1743
converge,0.006656,1,5
mercy,0.006656,1,6
evident,0.006656,1,5
astound,0.006656,1,6
trend,0.006656,1,5
bone,0.006563,2,64
rigidity,0.006376,1,6
defeat,0.006376,1,14
unimpeded,0.006376,1,7
pro,0.006376,1,6
neurosis,0.006376,1,7
metzinger,0.006376,1,6
obey,0.006376,1,8
prone,0.006376,1,7
limb,0.006376,1,8
enormous,0.006376,1,6
exert,0.006376,1,7
campus,0.006376,1,24
exist,0.006257,3,164
residential,0.006140,1,12
meaningless,0.006140,1,8
consolation,0.006140,1,8
inquire,0.006140,1,9
volitional,0.006140,1,11
high,0.006028,3,244
stream,0.006003,2,110
hate,0.005946,2,95
wholesome,0.005939,3,389
con,0.005934,1,8
amongst,0.005934,1,10
groove,0.005934,1,11
sierra,0.005934,1,13
goal,0.005783,2,131
frequency,0.005754,1,16
thomas,0.005754,1,9
evolutionary,0.005754,1,16
architecture,0.005754,1,14
preciousness,0.005754,1,9
agitation,0.005730,2,107
pain,0.005606,4,514
crack,0.005592,1,13
dialogue,0.005592,1,18
effortless,0.005592,1,35
graceful,0.005592,1,12
willfulness,0.005592,1,15
otherwise,0.005529,2,98
goodness,0.005487,4,479
helplessness,0.005445,1,19
prominent,0.005445,1,17
permanence,0.005445,1,22
pile,0.005445,1,19
accumulate,0.005312,1,15
evolution,0.005189,1,16
generally,0.005119,2,100
rational,0.005075,1,20
failure,0.005075,1,26
tolerate,0.005075,1,16
dissolution,0.005075,1,29
connotation,0.004969,1,16
resonance,0.004969,1,22
b,0.004969,1,22
biological,0.004969,1,35
literature,0.004969,1,25
somewhere,0.004953,2,104
arm,0.004912,2,122
hell,0.004870,1,59
fortune,0.004870,1,32
inquiry,0.004870,1,26
defilement,0.004870,1,29
stance,0.004870,1,20
whatsoever,0.004777,1,19
justify,0.004777,1,18
sila,0.004689,1,42
million,0.004689,1,21
energetic,0.004606,1,29
philosopher,0.004606,1,34
precious,0.004606,1,25
weave,0.004606,1,35
persist,0.004606,1,22
logic,0.004606,1,27
conduct,0.004527,1,32
retreat,0.004484,3,401
perform,0.004452,1,29
landscape,0.004452,1,26
status,0.004452,1,34
incredible,0.004452,1,27
thread,0.004381,1,53
inherently,0.004312,1,34
grieve,0.004312,1,47
majjhima,0.004312,1,30
humble,0.004312,1,24
surrender,0.004312,1,79
resonate,0.004247,1,30
scholar,0.004247,1,38
hill,0.004247,1,36
tibetan,0.004184,1,48
contemplation,0.004184,1,43
samsara,0.004184,1,42
courage,0.004124,1,89
design,0.004124,1,31
fear,0.004027,3,506
sacrifice,0.004010,1,50
mode,0.004010,1,53
respectful,0.004010,1,34
research,0.003956,1,53
karma,0.003956,1,75
spring,0.003956,1,39
funny,0.003904,1,46
critical,0.003904,1,38
investigation,0.003854,1,65
characterize,0.003805,1,40
program,0.003805,1,103
sorrow,0.003758,1,51
soothe,0.003712,1,53
renunciation,0.003667,1,70
strive,0.003624,1,89
briefly,0.003582,1,52
dharma,0.003544,4,842
quality,0.003430,3,625
gravity,0.003424,1,52
motivation,0.003424,1,75
depth,0.003424,1,58
willingness,0.003424,1,72
zoom,0.003387,1,81
nikaya,0.003316,1,69
absolutely,0.003316,1,67
brensilver,0.003281,1,90
sign,0.003281,1,89
subtle,0.003257,2,377
matthew,0.003248,1,93
sacred,0.003248,1,92
conscious,0.003215,1,69
worth,0.003215,1,77
afternoon,0.003119,1,67
aliveness,0.003119,1,90
throw,0.003119,1,98
growth,0.003089,1,76
enter,0.003032,2,381
grief,0.003030,1,137
consideration,0.003030,1,65
sweet,0.003001,1,96
question,0.002947,3,845
resistance,0.002945,1,123
remain,0.002945,1,86
spot,0.002918,1,116
fact,0.002905,2,245
expectation,0.002891,1,112
contraction,0.002891,1,91
shape,0.002891,1,80
toward,0.002865,1,153
acknowledge,0.002839,1,99
believe,0.002823,2,337
deepen,0.002814,1,88
suttas,0.002814,1,172
self,0.002803,2,1140
grasp,0.002764,1,141
ethical,0.002764,1,203
vast,0.002740,1,120
chat,0.002740,1,104
measure,0.002740,1,89
okay,0.002738,4,1161
trouble,0.002716,1,93
death,0.002716,1,167
folk,0.002670,1,124
alternative,0.002647,1,119
appreciate,0.002637,3,588
speak,0.002627,2,438
assume,0.002590,2,239
soon,0.002581,1,140
define,0.002497,1,129
effect,0.002497,1,165
lovely,0.002497,1,119
low,0.002476,1,140
period,0.002456,1,113
everything,0.002443,4,902
uncomfortable,0.002436,1,207
function,0.002436,1,123
joy,0.002426,2,931
individual,0.002417,1,109
phrase,0.002398,1,184
care,0.002393,5,1613
pick,0.002360,1,124
plan,0.002341,1,163
theme,0.002341,1,126
case,0.002251,1,171
power,0.002217,1,219
study,0.002200,1,181
require,0.002183,1,154
chance,0.002183,1,153
suffer,0.002168,3,1695
freedom,0.002154,2,638
reflect,0.002117,1,199
equanimity,0.002102,1,460
space,0.002089,2,712
source,0.002086,1,355
towards,0.002074,2,494
train,0.002024,1,306
image,0.002009,1,210
ask,0.001980,2,679
drive,0.001965,1,198
oneself,0.001965,1,190
bear,0.001937,1,236
yet,0.001894,1,240
offer,0.001887,3,696
action,0.001840,1,346
wide,0.001827,1,259
possible,0.001815,2,523
aversion,0.001788,1,484
human,0.001787,2,556
doe,0.001779,3,877
watch,0.001762,1,250
quite,0.001761,3,701
level,0.001737,1,283
write,0.001737,1,241
