word,tfidf_score,talk_frequency,global_frequency
visible,0.032610,12,21
womb,0.013167,6,36
gestate,0.012406,4,7
butte,0.012159,3,3
natural,0.011497,17,318
onward,0.011463,5,56
sierra,0.010870,4,12
gestating,0.010732,3,5
rushing,0.008967,4,19
greed,0.008682,9,238
born,0.008433,8,182
leading,0.008292,6,105
birth,0.008266,5,58
inner,0.008098,14,447
county,0.007635,3,14
majestic,0.007155,2,6
gestation,0.007155,2,3
embryo,0.007155,2,3
off-site,0.007155,2,3
watching,0.006942,6,109
immediate,0.006875,4,45
men's,0.006598,2,4
registered,0.006598,2,4
wonder,0.006576,5,84
ethical,0.006331,5,192
burma,0.006326,3,21
transactional,0.006203,2,6
newborn,0.006203,2,7
motivation,0.006155,4,73
women's,0.005897,2,9
reorient,0.005897,2,6
dharma,0.005846,15,827
men,0.005703,3,57
feeding,0.005703,3,37
careful,0.005495,5,120
condition,0.005445,9,519
suitable,0.005435,2,15
cry,0.005373,3,45
delusion,0.005185,5,214
baby,0.005156,3,64
nowadays,0.005090,2,20
non-harming,0.005089,3,64
profound,0.005020,5,195
artificial,0.004945,2,12
allowed,0.004927,4,108
grow,0.004815,6,226
maturity,0.004815,2,14
self-criticism,0.004815,2,21
growing,0.004795,4,104
quietly,0.004710,4,92
dy,0.004695,2,15
managed,0.004695,2,16
generous,0.004616,3,77
woman,0.004513,3,155
green,0.004389,2,19
supportive,0.004323,4,129
reborn,0.004300,2,32
register,0.004300,2,24
hatred,0.004287,4,195
grows,0.004232,3,70
hair,0.004217,2,23
dead,0.004139,2,28
rumination,0.004064,2,45
segregated,0.004053,1,1
procession,0.004053,1,1
population-wise,0.004053,1,1
yuba,0.004053,1,1
mountainside,0.004053,1,1
sloped,0.004053,1,1
outcrop,0.004053,1,1
cub,0.004053,1,1
dormant,0.004053,1,1
regrown,0.004053,1,1
regrowing,0.004053,1,1
ultrasound,0.004053,1,1
restrain,0.004053,1,1
swearing,0.004053,1,1
deviating,0.004053,1,1
subsumed,0.004053,1,1
deviate,0.004053,1,1
opanayiko,0.004053,1,1
regurgitated,0.004053,1,1
self-absorbed,0.004053,1,1
inside,0.003973,8,425
hate,0.003946,3,94
dying,0.003927,2,42
orientation,0.003920,4,188
applied,0.003863,2,37
caring,0.003859,4,210
supposed,0.003828,4,137
mature,0.003802,2,37
inspired,0.003799,3,98
tenderness,0.003744,2,56
feed,0.003744,2,37
spring,0.003688,2,35
hall,0.003582,2,46
dining,0.003577,1,2
mountaintop,0.003577,1,4
artifact,0.003577,1,2
manufacturing,0.003577,1,2
lego,0.003577,1,4
reassure,0.003577,1,2
self-correcting,0.003577,1,2
generosity,0.003354,3,206
remarkable,0.003349,2,53
fade,0.003349,2,43
disconnected,0.003307,2,57
intentness,0.003299,1,5
mama,0.003299,1,3
celebrated,0.003299,1,3
brittle,0.003299,1,7
accidentally,0.003299,1,3
chew,0.003299,1,3
saccharine,0.003299,1,4
collectively,0.003299,1,3
sun,0.003266,2,66
reactive,0.003266,2,62
hostility,0.003266,2,69
skin,0.003226,2,61
impulse,0.003226,2,63
joy,0.003218,6,923
operate,0.003150,2,51
housing,0.003102,1,4
manufactured,0.003102,1,4
awry,0.003102,1,6
generously,0.003102,1,4
least,0.003046,4,202
child,0.003036,3,200
harm,0.003012,3,338
wise,0.003001,4,383
primary,0.002988,3,153
