word,tfidf_score,talk_frequency,global_frequency
vision,0.103497,46,179
non-clinging,0.047956,16,57
knowledge,0.028880,12,110
cling,0.028119,28,535
possible,0.015892,26,510
non-attachment,0.013481,3,9
theoretically,0.010898,2,3
vipassana,0.010643,4,87
perpetuate,0.009842,3,20
experiential,0.009144,3,24
samadhi,0.009062,10,1514
ceiling,0.008607,2,9
degree,0.008506,7,227
resist,0.008371,4,92
attach,0.007824,4,108
confidence,0.007680,4,156
possibility,0.006955,5,162
new,0.006951,10,550
freedom,0.006709,9,600
section,0.006316,2,25
anupassi,0.006172,1,1
unworthy,0.006172,1,1
creative,0.006096,2,37
someplace,0.005995,2,27
reinforce,0.005995,2,30
tense,0.005605,3,125
memorable,0.005449,1,5
color,0.005395,2,62
freeze,0.005321,2,50
non-resistance,0.005026,1,3
year-long,0.005026,1,3
snare,0.005026,1,3
reminder,0.004929,2,54
virtual,0.004726,1,5
intuit,0.004726,1,4
available,0.004650,4,214
direct,0.004516,4,270
fisted,0.004494,1,11
thorough,0.004494,1,5
jhana,0.004452,2,275
grow,0.004404,6,485
refuge,0.004314,2,171
faith,0.004314,2,172
wholehearted,0.004304,1,6
thaw,0.004304,1,7
stick,0.004270,3,191
tension,0.004207,5,604
inspiration,0.004185,2,125
ahead,0.004144,2,76
lack,0.004144,2,91
mood,0.004144,2,92
partial,0.004143,1,12
ecosystem,0.004143,1,8
upside,0.004143,1,8
location,0.004064,2,87
social,0.004064,2,117
spill,0.004004,1,11
introduce,0.003949,2,75
pointer,0.003881,1,9
armor,0.003881,1,14
impose,0.003771,1,12
amazingly,0.003771,1,10
intelligent,0.003771,1,24
invest,0.003771,1,12
contribute,0.003771,2,99
surprise,0.003737,2,88
impactful,0.003672,1,11
characteristic,0.003606,2,190
variation,0.003581,1,13
entanglement,0.003581,1,16
swirl,0.003497,1,15
foster,0.003497,1,17
crave,0.003396,2,272
reference,0.003368,2,143
transformative,0.003348,1,18
attachment,0.003340,2,226
already,0.003337,3,256
scar,0.003281,1,24
defend,0.003218,1,22
apologize,0.003218,1,19
foundation,0.003179,2,164
dead,0.003158,1,28
minor,0.003102,1,29
embodiment,0.003102,1,27
aspect,0.003057,3,269
acquire,0.003048,1,34
translator,0.003048,1,22
settle,0.002956,8,1501
knot,0.002949,1,43
inadequate,0.002902,1,32
entangle,0.002858,1,37
base,0.002803,2,212
cage,0.002775,1,35
criticize,0.002775,1,36
anxious,0.002775,1,35
prove,0.002775,1,42
hall,0.002735,1,46
rib,0.002735,1,36
provide,0.002698,2,203
awareness,0.002691,5,1247
abstract,0.002661,1,41
intention,0.002638,2,260
immediate,0.002625,1,45
capable,0.002591,1,39
nurture,0.002591,1,41
expand,0.002560,2,183
wow,0.002560,2,210
future,0.002541,2,217
system,0.002541,2,295
hurry,0.002526,1,81
conceit,0.002526,1,58
switch,0.002526,1,43
shoulder,0.002522,2,207
breathe,0.002503,7,2454
reactive,0.002495,1,62
demand,0.002465,1,45
inspire,0.002448,2,232
hold,0.002448,7,1003
hadn't,0.002435,1,49
