word,tfidf_score,talk_frequency,global_frequency
upali,0.020727,4,21
observe,0.019599,10,129
vision,0.019441,9,180
darsana,0.017578,3,3
perceive,0.016933,8,99
dharma,0.013349,24,870
fist,0.012135,4,55
independent,0.012061,5,53
elate,0.011871,3,12
dassana,0.011718,2,2
association,0.010913,5,65
projection,0.010851,4,33
spotless,0.010363,2,4
immaculate,0.010363,2,4
householder,0.010290,3,22
eye,0.009985,24,665
workable,0.009571,2,4
clearly,0.009164,11,423
meaning-making,0.009008,2,5
confident,0.008943,3,27
clarity,0.008547,7,261
filter,0.008513,3,32
non-clinging,0.008023,3,68
layperson,0.007423,2,15
remarkable,0.007236,3,56
change,0.007200,17,1471
maturity,0.006860,2,15
subject,0.006760,3,109
passage,0.006559,2,34
sight,0.006548,3,66
cessation,0.006179,2,48
inconstant,0.006179,2,35
abide,0.006105,3,159
ambition,0.006068,2,32
judgment,0.006066,4,187
shapeshift,0.005859,1,1
pliable,0.005859,1,1
knotted-up,0.005859,1,1
nature,0.005832,7,413
perception,0.005773,3,212
initial,0.005675,2,24
inner,0.005596,7,540
new,0.005519,8,558
interfere,0.005349,2,45
phenomenon,0.005336,3,107
zap,0.005182,1,4
lock,0.005005,2,76
drift,0.004943,2,52
future,0.004850,4,224
radically,0.004824,2,41
sabbath,0.004785,1,5
evenly,0.004785,1,3
perplexity,0.004785,1,6
past,0.004717,4,234
dramatic,0.004712,2,48
gaze,0.004655,3,165
reference,0.004619,3,161
simplicity,0.004619,3,268
religion,0.004556,2,103
soften,0.004525,7,572
seer,0.004504,1,4
emphatic,0.004504,1,4
passana,0.004504,1,4
formulaic,0.004504,1,4
exclaim,0.004504,1,6
provisionally,0.004504,1,4
receptive,0.004320,2,83
specialty,0.004286,1,11
ever-present,0.004286,1,6
dye,0.004286,1,5
incessant,0.004286,1,5
present,0.004277,17,1330
invaluable,0.004191,2,73
prefix,0.004108,1,13
stream-enterer,0.004108,1,8
fathom,0.004108,1,7
fearless,0.004108,1,8
flux,0.004108,1,11
vi,0.003957,1,10
frequent,0.003957,1,7
tension,0.003942,5,633
hindrance,0.003920,2,208
uncomplicated,0.003827,1,13
reactivity,0.003780,2,151
sanskrit,0.003711,1,10
homework,0.003711,1,9
physical,0.003688,3,219
fix,0.003663,3,292
project,0.003650,2,106
complicate,0.003618,2,92
baggage,0.003608,1,17
progressive,0.003608,1,20
impatient,0.003608,1,17
open,0.003543,17,1295
backwards,0.003515,1,13
involvement,0.003515,1,14
upon,0.003514,3,215
object,0.003490,3,321
subjective,0.003430,1,74
impatience,0.003430,1,71
simplistic,0.003430,1,12
self-concern,0.003352,1,20
stare,0.003352,1,15
cloth,0.003352,1,42
release,0.003326,3,320
expect,0.003304,2,105
ordinarily,0.003279,1,15
pass,0.003278,2,155
extra,0.003252,2,191
act,0.003236,3,369
direct,0.003214,3,281
observation,0.003212,1,18
equivalent,0.003149,1,23
complication,0.003149,1,23
indian,0.003149,1,25
solidity,0.003149,1,26
preparation,0.003149,1,29
socket,0.003090,1,19
to-do,0.003090,1,19
tremendous,0.003079,2,119
suffer,0.003071,7,1751
mine,0.003033,2,236
heaven,0.002981,1,120
breathe,0.002973,9,2612
notice,0.002965,7,1251
agenda,0.002883,1,24
top,0.002857,2,183
temperature,0.002838,1,25
translator,0.002794,1,27
arise,0.002783,7,1093
seem,0.002717,5,526
ultimate,0.002713,1,38
freedom,0.002681,4,691
simple,0.002675,5,749
buddhism,0.002658,3,578
simply,0.002622,3,322
emphasize,0.002620,2,177
literal,0.002602,1,34
channel,0.002602,1,39
ready,0.002583,2,187
innocent,0.002568,1,45
practitioner,0.002565,2,211
vipassana,0.002534,1,88
remove,0.002534,1,41
light,0.002534,3,502
virtue,0.002502,1,106
moment,0.002501,21,1919
layer,0.002471,1,62
cross,0.002471,1,110
impermanent,0.002471,1,60
ongoing,0.002441,1,42
experiment,0.002412,1,51
contrast,0.002412,1,44
hurry,0.002412,1,82
distinguish,0.002384,1,53
fairly,0.002384,1,46
nothing,0.002383,4,514
presence,0.002359,2,245
lightly,0.002356,1,48
cloud,0.002356,1,84
india,0.002356,1,81
renunciation,0.002329,1,73
grab,0.002303,1,77
sensation,0.002294,4,907
steadiness,0.002278,1,111
value,0.002263,2,242
someone,0.002259,4,675
interpretation,0.002253,1,59
inspire,0.002248,2,260
free,0.002241,7,790
attain,0.002206,1,71
willingness,0.002206,1,77
relax,0.002191,6,1325
least,0.002187,2,214
danger,0.002183,1,75
unless,0.002183,1,56
search,0.002160,1,72
excite,0.002160,1,64
preference,0.002117,1,68
commentary,0.002096,1,87
bless,0.002075,1,121
engagement,0.002075,1,62
tradition,0.002057,2,356
buddhist,0.002056,4,892
sky,0.002055,1,90
kindly,0.002055,1,69
sacred,0.002055,1,96
buddha,0.002044,6,1958
sensual,0.002035,1,126
description,0.002035,1,71
constant,0.002035,1,75
modern,0.001997,1,84
prepare,0.001978,1,82
significant,0.001978,1,76
curious,0.001960,1,94
radical,0.001960,1,93
describe,0.001922,2,289
spot,0.001890,1,119
real,0.001884,2,245
afraid,0.001873,1,117
result,0.001873,1,104
well-being,0.001858,2,593
special,0.001857,1,89
capacity,0.001833,2,423
stage,0.001809,1,135
aside,0.001794,1,116
liberation,0.001794,1,121
text,0.001794,1,135
explain,0.001794,1,97
doubt,0.001794,1,169
float,0.001779,1,116
suttas,0.001779,1,176
onto,0.001749,1,97
stable,0.001749,1,111
activity,0.001748,2,487
samadhi,0.001748,2,1556
concentrate,0.001735,1,125
deal,0.001735,1,115
settle,0.001721,5,1552
view,0.001713,2,761
judge,0.001692,1,117
mostly,0.001679,1,105
clean,0.001639,1,151
lay,0.001626,1,146
stability,0.001588,1,176
english,0.001552,1,134
generosity,0.001552,1,267
cannot,0.001552,1,133
hurt,0.001540,1,143
rest,0.001505,3,573
beyond,0.001494,1,188
quality,0.001481,2,647
daily,0.001461,1,172
finally,0.001461,1,156
teacher,0.001460,2,581
directly,0.001450,1,122
ease,0.001440,2,587
alone,0.001418,1,154
power,0.001408,1,227
profound,0.001377,1,225
grind,0.001377,1,172
study,0.001377,1,195
experience,0.001371,13,3247
yesterday,0.001367,1,167
list,0.001348,1,287
point,0.001342,6,1189
however,0.001338,1,159
primary,0.001329,1,179
occur,0.001329,1,150
instruction,0.001329,1,221
hour,0.001329,1,202
stay,0.001305,3,872
ordinary,0.001301,1,203
close,0.001290,5,706
saw,0.001282,1,198
powerful,0.001264,1,182
provide,0.001247,1,220
language,0.001229,1,198
call,0.001211,5,1115
add,0.001204,1,300
within,0.001183,2,561
pressure,0.001179,1,273
goodwill,0.001179,1,540
emotional,0.001179,1,232
try,0.001179,6,1350
carry,0.001171,1,221
pali,0.001155,1,240
outside,0.001155,1,211
degree,0.001155,1,237
without,0.001149,5,1027
comfortable,0.001147,1,217
aversion,0.001139,1,495
continue,0.001138,2,439
gentle,0.001124,1,277
problem,0.001109,1,310
watch,0.001109,1,264
soft,0.001109,1,254
back,0.001086,8,1553
big,0.001078,2,692
pleasure,0.001064,1,727
tomorrow,0.001057,1,195
rather,0.001053,2,578
put,0.001043,3,849
associate,0.001043,1,239
normal,0.001008,1,193
series,0.001008,1,269
enter,0.001001,1,384
area,0.000994,1,281
hold,0.000991,3,1072
name,0.000974,1,325
aspect,0.000961,1,283
push,0.000948,1,321
forward,0.000948,1,238
listen,0.000948,1,480
fully,0.000942,1,323
mean,0.000938,5,1547
use,0.000931,4,1237
pain,0.000929,1,518
pull,0.000923,1,338
early,0.000917,1,297
develop,0.000917,1,380
others,0.000890,3,1138
relate,0.000880,1,344
look,0.000879,5,1512
desire,0.000868,1,785
yes,0.000868,1,418
may,0.000865,6,2295
kindness,0.000833,1,566
read,0.000833,1,444
teach,0.000831,3,1555
assume,0.000827,1,250
fronsdal,0.000822,1,319
allow,0.000810,4,1581
happy,0.000802,3,900
always,0.000802,2,759
minute,0.000788,1,365
shift,0.000783,1,471
happen,0.000776,7,2196
everything,0.000752,2,957
relationship,0.000751,1,522
lose,0.000746,1,450
doe,0.000745,2,916
return,0.000730,1,299
path,0.000720,1,1006
full,0.000715,1,358
somehow,0.000710,1,340
gently,0.000705,1,426
enough,0.000688,2,779
movement,0.000685,1,475
guide,0.000680,3,955
aware,0.000661,1,671
peaceful,0.000661,1,433
quiet,0.000661,1,648
particular,0.000651,1,474
hand,0.000646,1,511
body,0.000644,7,3405
interest,0.000632,1,547
wonderful,0.000609,1,545
every,0.000609,1,517
link,0.000607,2,565
understand,0.000600,2,1281
deep,0.000598,3,1807
gil,0.000591,1,468
leave,0.000587,1,511
possible,0.000582,1,542
introduction,0.000578,1,295
meditate,0.000569,1,538
appreciate,0.000569,1,602
touch,0.000552,1,513
wish,0.000548,1,604
begin,0.000536,3,1493
nice,0.000535,1,579
clear,0.000531,1,594
dharmette,0.000531,1,343
away,0.000503,2,1076
place,0.000493,3,1656
able,0.000490,1,658
whatever,0.000484,3,1271
mindfulness,0.000478,1,1055
posture,0.000466,1,664
course,0.000466,1,733
part,0.000444,4,1726
idea,0.000435,2,1693
safe,0.000435,1,451
well,0.000417,2,1406
world,0.000411,4,2570
welcome,0.000387,2,751
thing,0.000387,12,5117
sense,0.000378,6,3086
learn,0.000376,1,831
next,0.000376,1,668
find,0.000368,4,1762
mind,0.000354,11,4777
might,0.000341,5,2246
still,0.000341,1,827
sit,0.000325,4,1592
keep,0.000320,1,854
life,0.000315,5,3018
want,0.000315,5,3191
live,0.000307,1,1316
whole,0.000300,1,1332
anything,0.000300,1,883
often,0.000293,1,1135
care,0.000293,1,1725
sometimes,0.000284,3,1977
practice,0.000278,8,3987
love,0.000277,1,1809
together,0.000274,1,1094
become,0.000268,3,1881
lot,0.000238,2,1640
thank,0.000238,2,1259
many,0.000182,1,1165
start,0.000179,1,1571
information,0.000173,1,441
bite,0.000167,1,1589
need,0.000164,1,1638
would,0.000161,1,2056
word,0.000156,1,1481
let,0.000119,3,2887
end,0.000119,1,1170
take,0.000104,3,2368
make,0.000090,2,2532
time,0.000088,6,3091
think,0.000086,7,6192
little,0.000084,1,2467
u,0.000079,4,3581
people,0.000073,1,3497
much,0.000060,1,1749
feel,0.000029,6,6492
ai-generated,0.000000,1,403
transcript,0.000000,1,406
auto-generated,0.000000,1,403
subtitle,0.000000,1,404
video,0.000000,1,426
meditation,0.000000,6,3673
likely,0.000000,1,498
contain,0.000000,1,437
inaccuracy,0.000000,1,403
follow,0.000000,1,759
talk,0.000000,7,2572
give,0.000000,5,2086
insight,0.000000,4,1714
center,0.000000,1,1193
redwood,0.000000,1,453
city,0.000000,1,512
california,0.000000,1,468
please,0.000000,1,604
visit,0.000000,1,495
website,0.000000,1,471
www,0.000000,1,418
audiodharma,0.000000,1,418
org,0.000000,1,434
