word,tfidf_score,talk_frequency,global_frequency
uproot,0.020282,4,13
marinate,0.019701,3,5
active,0.017087,6,63
unwholesomeness,0.016868,3,8
equanimity,0.014763,8,459
jealousy,0.014391,3,36
interrogate,0.014239,2,3
terminate,0.014239,2,3
abandon,0.012880,4,82
approach,0.012721,7,275
trait,0.011742,2,19
drown,0.011742,2,8
kernel,0.011742,2,6
redirect,0.011246,2,9
cognitive,0.010875,3,52
hierarchy,0.010826,2,9
v,0.010141,2,17
frequency,0.010141,2,16
kathleen,0.008064,1,1
havland,0.008064,1,1
revert,0.008064,1,1
precedented,0.008064,1,1
jazz-like,0.008064,1,1
non-interference,0.008064,1,1
vitakkasanthana,0.008064,1,1
brittleness,0.008064,1,1
deconstructive,0.008064,1,1
infection,0.008064,1,1
proxy,0.008064,1,1
crestone,0.008064,1,1
unwholesome,0.007596,3,176
formal,0.007357,2,35
suppleness,0.007120,1,2
finitude,0.007120,1,7
regulation,0.007120,1,2
improvisational,0.007120,1,2
overestimate,0.007120,1,4
extensively,0.007120,1,2
permeable,0.007120,1,2
accommodate,0.007120,1,2
corner,0.006771,2,41
induce,0.006567,1,4
critically,0.006567,1,3
multi-layered,0.006567,1,3
fetishize,0.006567,1,3
intensely,0.006567,1,3
stoke,0.006567,1,3
experimentation,0.006567,1,3
improvisation,0.006567,1,3
license,0.006567,1,3
carpenter,0.006567,1,21
singleness,0.006567,1,3
investigative,0.006567,1,3
careful,0.006545,3,122
delusion,0.006181,3,215
acclimatize,0.006175,1,5
claustrophobia,0.006175,1,6
peg,0.006175,1,8
constructive,0.006175,1,4
testify,0.006175,1,5
official,0.006175,1,4
melodrama,0.006175,1,5
self-aggrandizement,0.006175,1,4
gravity,0.006076,2,51
receptive,0.005943,2,81
mistake,0.005943,2,59
sign,0.005879,2,80
satiate,0.005871,1,7
restrain,0.005871,1,7
wield,0.005871,1,5
extract,0.005871,1,7
brensilver,0.005755,2,90
matthew,0.005696,2,93
resort,0.005623,1,9
submit,0.005623,1,8
unsure,0.005623,1,6
day-to-day,0.005623,1,6
barter,0.005623,1,6
fertile,0.005623,1,10
fever,0.005623,1,8
seduce,0.005413,1,9
destructive,0.005413,1,7
desperation,0.005413,1,7
poise,0.005413,1,9
subside,0.005413,1,10
detect,0.005413,1,7
theoretical,0.005413,1,7
anger,0.005411,3,350
e,0.005231,1,14
genuinely,0.005231,1,8
i-am-ness,0.005231,1,11
homelessness,0.005231,1,8
certainty,0.005231,1,21
restraint,0.005070,1,11
avoidance,0.005070,1,13
absorb,0.005064,2,130
suttas,0.004972,2,171
pain,0.004950,4,503
unable,0.004927,1,13
thick,0.004927,1,12
indulge,0.004927,1,13
render,0.004927,1,12
unpleasant,0.004882,2,233
trouble,0.004839,2,91
death,0.004839,2,163
vocabulary,0.004797,1,16
coarse,0.004797,1,18
heart-mind,0.004797,1,21
measure,0.004796,2,89
therapy,0.004678,1,24
urgency,0.004678,1,16
suggest,0.004591,2,87
shed,0.004569,1,25
evolution,0.004569,1,16
modest,0.004569,1,17
generally,0.004513,2,99
rely,0.004468,1,21
permission,0.004468,1,18
knock,0.004468,1,21
tangle,0.004468,1,43
crave,0.004437,2,272
medical,0.004374,1,41
style,0.004374,1,18
merely,0.004374,1,22
security,0.004374,1,24
grant,0.004287,1,22
