word,tfidf_score,talk_frequency,global_frequency
non-clinging,0.030251,11,54
vision,0.027546,13,172
goal,0.020049,10,91
locked,0.017422,6,38
clinging,0.015695,16,428
september,0.011227,3,11
maturing,0.011227,3,9
limits,0.010472,4,42
stratman,0.009853,2,3
shuts,0.009086,2,4
operates,0.008711,3,27
non-attachment,0.008543,2,8
percentage,0.008543,2,5
tripod,0.008121,2,7
vipassana,0.007485,2,10
attachment,0.007176,4,145
lowering,0.007010,2,14
maturation,0.007010,2,17
greater,0.006749,5,216
identities,0.006630,2,28
blank,0.006466,2,24
instrument,0.006466,2,16
filter,0.006174,2,22
sunlight,0.006044,2,19
sensitivity,0.005951,3,90
projections,0.005807,2,23
grip,0.005807,2,35
non-strain,0.005582,1,1
non-resisting,0.005582,1,1
caught-up-ness,0.005582,1,1
carves,0.005582,1,1
slate,0.005582,1,1
youtube,0.005541,3,77
profound,0.005530,4,195
harm,0.005530,4,324
clearer,0.005500,2,25
loosen,0.005500,2,24
maria,0.005500,2,75
attached,0.005487,3,100
characterized,0.005408,2,26
view,0.005403,5,365
protection,0.005320,2,33
mature,0.005236,2,37
ethical,0.005231,3,192
happiness,0.005053,7,805
embodied,0.004952,3,119
lessens,0.004926,1,3
unobstructed,0.004926,1,3
loosened,0.004926,1,2
self-doubt,0.004926,1,2
fluidly,0.004926,1,2
unlimited,0.004926,1,2
29th,0.004926,1,2
samadhi,0.004691,5,1300
spreading,0.004672,2,59
preferences,0.004672,2,47
shape,0.004612,2,42
non-assertiveness,0.004543,1,3
discomforts,0.004543,1,3
adaptability,0.004543,1,4
consummate,0.004543,1,5
diligence,0.004543,1,5
awareness,0.004431,9,1240
engage,0.004428,3,132
grow,0.004420,4,226
deeper,0.004391,7,563
new,0.004356,7,543
weeks,0.004319,3,114
welfare,0.004287,2,95
selfishness,0.004271,1,5
undesirable,0.004271,1,4
mammalian,0.004271,1,5
beginner's,0.004271,1,5
self-reinforcing,0.004271,1,4
telescope,0.004271,1,8
morph,0.004271,1,6
completion,0.004271,1,4
capacities,0.004238,2,56
cling,0.004098,2,100
musical,0.004060,1,5
connectedness,0.004060,1,7
culmination,0.004060,1,7
sammā,0.004060,1,10
characterize,0.004060,1,6
clearly,0.004013,5,386
capacity,0.004012,4,316
means,0.004008,8,572
caring,0.003985,3,210
innate,0.003888,1,9
brand,0.003888,1,8
self-preoccupied,0.003888,1,6
unimpeded,0.003888,1,7
sing,0.003888,1,8
lifestyle,0.003888,1,7
series,0.003837,4,247
matures,0.003742,1,10
samatha,0.003742,1,17
pristine,0.003742,1,8
pushes,0.003742,1,7
inseparable,0.003742,1,8
relaxing,0.003671,4,364
resistance,0.003658,2,119
views,0.003658,2,266
provides,0.003623,2,75
modicum,0.003616,1,8
stresses,0.003616,1,8
lends,0.003616,1,8
eight-fold,0.003616,1,10
separate,0.003588,2,97
degree,0.003576,3,203
caught,0.003511,4,358
awakens,0.003505,1,11
avoidance,0.003505,1,13
busyness,0.003505,1,11
projection,0.003505,1,10
frozen,0.003505,1,16
amazingly,0.003505,1,9
month-long,0.003505,1,14
diminishes,0.003405,1,16
thrive,0.003405,1,12
january,0.003405,1,16
story-making,0.003405,1,14
connotations,0.003405,1,11
allows,0.003333,4,325
contain,0.003315,1,13
characters,0.003315,1,12
permanence,0.003315,1,22
self-criticism,0.003315,1,21
maturity,0.003315,1,14
possible,0.003275,6,509
torso,0.003272,2,109
dissolves,0.003233,1,13
container,0.003233,1,15
duty,0.003233,1,22
rerun,0.003233,1,17
representation,0.003233,1,18
nature,0.003210,4,388
creates,0.003187,2,106
english,0.003187,2,107
unethical,0.003157,1,22
chinese,0.003157,1,14
walls,0.003157,1,21
livelihood,0.003157,1,42
meantime,0.003157,1,15
instructions,0.003105,2,143
tiring,0.003087,1,25
irc,0.003087,1,20
becomes,0.003059,6,475
room,0.003045,4,388
self-preoccupation,0.003022,1,23
importantly,0.003022,1,16
hold,0.002988,5,469
whole,0.002971,10,1124
exhausting,0.002961,1,18
singing,0.002961,1,22
beginner,0.002961,1,25
diminish,0.002904,1,20
moon,0.002904,1,26
relate,0.002903,2,132
tool,0.002850,1,35
community,0.002833,2,310
occurring,0.002799,1,29
ethically,0.002799,1,26
natural,0.002794,3,318
translated,0.002787,2,136
principles,0.002750,1,57
fluid,0.002750,1,28
intention,0.002743,2,190
concentration,0.002721,2,222
