word,tfidf_score,talk_frequency,global_frequency
meghiya,0.022379,6,6
mango,0.018278,6,9
community,0.013152,15,371
residential,0.012595,5,12
companion,0.011442,7,60
beet,0.011190,3,3
kalyana,0.009744,4,16
attendant,0.009744,4,12
refuge,0.009069,7,175
grove,0.008951,4,21
spiritual,0.008886,12,603
retreat,0.008684,14,433
lunch,0.007725,4,36
sangha,0.007666,7,239
friend,0.007595,16,586
dharma,0.007436,21,870
mitta,0.007308,3,15
gossip,0.006891,3,18
ceremony,0.006263,3,27
clark,0.006238,5,312
interpret,0.006238,5,83
daylongs,0.006093,2,4
ethic,0.006070,4,143
equivalence,0.005734,2,5
so-and-so,0.005734,2,5
diana,0.005710,5,372
sila,0.005693,3,43
complain,0.005693,3,43
classically,0.005506,3,26
anybody,0.005431,5,120
buddha,0.005422,25,1958
peel,0.005230,2,7
somebody,0.005111,6,363
feedback,0.005037,3,42
show,0.005006,11,572
imc,0.005003,6,179
version,0.004991,4,98
behavior,0.004991,4,85
affirm,0.004872,2,9
supportive,0.004864,5,140
importance,0.004779,3,36
behave,0.004779,3,43
wholesome,0.004762,6,435
ripen,0.004725,2,15
stretch,0.004500,3,61
hadn't,0.004449,3,50
wear,0.004350,3,72
inspire,0.004293,6,260
group,0.004199,5,265
envy,0.004175,2,42
impact,0.004140,4,142
cruelty,0.004089,2,21
rosemary,0.004089,2,36
alms,0.004009,2,25
mindfully,0.003934,2,22
woman,0.003924,3,174
awkward,0.003863,2,26
helpful,0.003842,7,597
demonstrate,0.003731,2,30
sit-walk-sit-walk,0.003730,1,1
peet,0.003730,1,1
meetup,0.003730,1,1
confidential,0.003730,1,1
abc,0.003730,1,1
stultify,0.003730,1,1
reticence,0.003730,1,1
insightmeditationcenter,0.003730,1,1
unfold,0.003585,4,190
meditators,0.003505,2,28
cause,0.003477,6,416
coffee,0.003454,2,42
appreciative,0.003454,2,83
extreme,0.003454,2,38
awaken,0.003434,5,447
unhelpful,0.003405,2,51
ethical,0.003397,3,205
integral,0.003313,2,34
encouragement,0.003313,2,42
abbreviate,0.003299,1,2
bolter,0.003299,1,2
hm,0.003299,1,2
permeable,0.003299,1,2
damp,0.003299,1,2
teachable,0.003299,1,2
soapbox,0.003299,1,2
roast,0.003299,1,2
hear,0.003273,10,937
teacher,0.003254,7,581
harm,0.003242,4,500
train,0.003197,4,352
formal,0.003186,2,43
celebrate,0.003186,2,63
effort,0.003109,4,363
soon,0.003081,3,148
kindergarten,0.003046,1,4
corporate,0.003046,1,4
someday,0.003046,1,4
visually,0.003046,1,3
apt,0.003046,1,3
tint,0.003046,1,5
west,0.003035,2,54
program,0.003035,2,133
generosity,0.002963,3,267
couldn't,0.002918,3,116
enlightenment,0.002869,2,74
willpower,0.002867,1,4
bolt,0.002867,1,6
introvert,0.002867,1,6
apps,0.002867,1,4
expound,0.002867,1,5
aren't,0.002853,3,143
conversation,0.002810,3,214
friendship,0.002808,2,129
generous,0.002750,2,97
brown,0.002728,1,8
warm-hearted,0.002728,1,7
authenticity,0.002728,1,5
clunky,0.002728,1,8
jealous,0.002728,1,7
indirect,0.002728,1,8
stain,0.002728,1,12
sign,0.002722,2,89
questioner,0.002722,2,258
online,0.002695,2,61
share,0.002688,5,488
associate,0.002655,4,239
treat,0.002642,2,67
leave,0.002615,7,511
technically,0.002615,1,6
floor,0.002591,2,79
finish,0.002542,2,76
meditate,0.002537,7,538
there'd,0.002519,1,8
panna,0.002519,1,10
submit,0.002519,1,9
support,0.002508,10,1043
guy,0.002495,2,114
class,0.002495,2,133
potential,0.002495,2,87
name,0.002481,4,325
event,0.002450,2,87
influence,0.002450,2,89
it'd,0.002436,1,9
plug,0.002436,1,11
peer,0.002436,1,10
normalize,0.002436,1,12
leak,0.002436,1,14
schedule,0.002436,1,9
fun,0.002428,2,109
element,0.002364,2,185
statue,0.002363,1,25
camera,0.002363,1,13
listener,0.002363,1,16
small,0.002340,5,417
depict,0.002297,1,15
nap,0.002297,1,15
inherit,0.002297,1,12
ananda,0.002297,1,33
pack,0.002238,1,14
warm-heartedness,0.002238,1,50
divisive,0.002238,1,15
huh,0.002238,1,11
origination,0.002238,1,17
wait,0.002237,3,233
jim,0.002184,1,33
scratch,0.002184,1,14
anguttara,0.002184,1,15
recognize,0.002141,6,700
they've,0.002137,2,105
month,0.002137,2,120
pandemic,0.002134,1,16
founder,0.002134,1,16
university,0.002134,1,18
america,0.002134,1,18
meet,0.002118,5,671
behind,0.002117,3,202
spend,0.002093,4,309
traditionally,0.002088,1,15
bag,0.002088,1,25
battle,0.002088,1,39
others,0.002078,11,1138
you'll,0.002060,3,238
would,0.002054,20,2056
rough,0.002045,1,18
disappointment,0.002045,1,20
underestimate,0.002045,1,21
unsettle,0.002045,1,31
conducive,0.002045,1,21
ask,0.002013,5,723
people,0.002009,43,3497
type,0.002006,2,190
enable,0.002005,1,19
mudita,0.002005,1,82
dismissive,0.002005,1,21
adopt,0.002005,1,23
room,0.001953,4,461
forefront,0.001931,1,19
viharas,0.001931,1,43
laugh,0.001931,1,44
company,0.001931,1,30
boom,0.001931,1,18
upper,0.001931,1,21
beautiful,0.001912,4,592
recognition,0.001902,2,222
shy,0.001898,1,22
ethically,0.001898,1,26
wahtola,0.001898,1,31
trommer,0.001898,1,35
exactly,0.001886,3,245
quality,0.001886,4,647
gift,0.001873,2,153
impossible,0.001866,1,28
evidence,0.001866,1,50
late,0.001836,3,282
joyful,0.001835,1,33
round,0.001835,1,34
honesty,0.001835,1,27
scientist,0.001806,1,28
brahma,0.001806,1,78
doctor,0.001806,1,47
advantage,0.001806,1,36
quote,0.001805,2,156
mention,0.001779,2,160
course,0.001779,6,733
