word,tfidf_score,talk_frequency,global_frequency
vanity,0.024260,4,4
sensory,0.022691,7,33
exempt,0.021437,4,5
cognize,0.021202,5,15
path,0.019761,26,912
liable,0.016077,3,4
bear,0.015120,12,240
birth,0.014667,6,60
cough,0.013960,3,6
richness,0.013510,4,18
faculty,0.013007,5,75
reflection,0.012849,9,214
youth,0.012250,3,11
capacity,0.011632,12,405
receptor,0.010718,2,3
array,0.009893,2,4
eightfold,0.009552,4,153
die,0.009465,6,223
awaken,0.008992,8,437
multifaceted,0.008852,2,6
age,0.008407,4,80
noble,0.008208,5,274
accordingly,0.008167,2,8
sickness,0.008167,2,8
cognitive,0.008126,3,53
egg,0.007895,2,17
card,0.007655,2,19
credit,0.007069,2,14
alternative,0.006955,4,125
shoe,0.006755,2,31
environment,0.006634,3,64
visualize,0.006615,2,22
buddhism,0.006597,7,543
encompass,0.006483,2,19
attentional,0.006483,2,47
cultivate,0.006464,6,465
attachment,0.006462,4,257
symptom,0.006360,2,52
company,0.006360,2,29
rich,0.006244,3,69
immaculately,0.006065,1,1
sperm,0.006065,1,1
undervalue,0.006065,1,1
amino,0.006065,1,1
chemoreceptor,0.006065,1,1
user,0.006065,1,1
layout,0.006065,1,1
non-deliberately,0.006065,1,1
impregnate,0.006065,1,1
catalyst,0.006065,1,1
overcharge,0.006065,1,1
contemplate,0.005835,2,34
sick,0.005744,2,36
tense,0.005538,3,127
famous,0.005418,2,33
contagious,0.005359,1,3
homo,0.005359,1,2
sapiens,0.005359,1,2
hugely,0.005359,1,2
acid,0.005359,1,2
adaptation,0.005359,1,3
proprioception,0.005359,1,2
nausea,0.005359,1,3
adjust,0.005350,3,97
complex,0.005203,2,41
remarkable,0.005009,2,54
ennoble,0.004946,1,4
carpet,0.004946,1,4
primitive,0.004946,1,3
niche,0.004946,1,3
owner,0.004946,1,3
expansive,0.004776,2,69
conceit,0.004776,2,73
flu,0.004653,1,6
contagion,0.004653,1,8
adaptable,0.004653,1,4
apparatus,0.004653,1,4
sensor,0.004653,1,5
orchestrate,0.004653,1,5
heir,0.004653,1,5
inconsequential,0.004653,1,4
counteract,0.004653,1,5
harmony,0.004518,2,121
fullness,0.004470,2,65
replicate,0.004426,1,6
gasp,0.004426,1,6
eliminate,0.004426,1,10
friendly,0.004423,2,122
imagination,0.004423,2,96
ear,0.004377,2,69
prefer,0.004289,2,60
refuge,0.004289,2,171
enact,0.004240,1,7
subconsciously,0.004240,1,6
soup,0.004240,1,6
molecule,0.004240,1,8
semblance,0.004240,1,7
dioxide,0.004240,1,9
avail,0.004240,1,9
operate,0.004157,3,257
old,0.004157,3,201
mask,0.004083,1,9
environmental,0.004083,1,7
tactile,0.004083,1,14
carbon,0.004083,1,11
beingness,0.004083,1,11
beloved,0.004083,1,10
potential,0.004083,2,85
recite,0.003947,1,12
half,0.003932,2,102
wholeness,0.003932,2,163
health,0.003860,2,102
potluck,0.003828,1,20
qualify,0.003828,1,13
fond,0.003828,1,9
specialize,0.003828,1,12
spatial,0.003828,1,17
oppression,0.003828,1,13
future,0.003807,3,218
shoulder,0.003726,3,211
interpersonal,0.003720,1,22
maturation,0.003720,1,18
amazingly,0.003720,1,10
inherit,0.003720,1,12
nerve,0.003720,1,15
thirst,0.003720,1,20
input,0.003720,1,17
intoxicate,0.003720,1,13
action,0.003647,3,348
vast,0.003628,2,121
simplistic,0.003623,1,11
death,0.003597,2,171
grow,0.003582,5,511
adapt,0.003535,1,14
busy,0.003477,2,94
