word,tfidf_score,talk_frequency,global_frequency
list,0.017213,12,269
tool,0.015913,6,64
orthopraxy,0.012341,2,2
sincerity,0.011577,4,43
singular,0.010893,2,3
beyond,0.010873,7,183
stillness,0.010478,6,178
suttas,0.009462,5,171
clarity,0.009015,7,252
medt'n,0.008978,2,10
indicate,0.008597,2,7
tiny,0.007458,3,49
chat,0.007366,4,103
tune,0.007366,4,124
enormously,0.007330,2,17
stick,0.007061,5,191
search,0.007028,3,66
buddhism,0.006945,7,507
sutta,0.006637,4,307
box,0.006420,2,32
mast,0.006171,1,1
unarmored,0.006171,1,1
watery,0.006171,1,1
scriptural,0.006171,1,1
underpinnings,0.006171,1,1
kayagatasati,0.006171,1,1
asthma,0.006171,1,1
orthodoxy,0.006171,1,1
pretense,0.006171,1,1
inhabit,0.005882,2,31
emphasize,0.005649,4,154
helpful,0.005568,6,561
restlessness,0.005454,2,75
chirp,0.005446,1,2
rehash,0.005446,1,2
irritable,0.005446,1,2
weekly,0.005446,1,2
personalize,0.005446,1,2
ehipassiko,0.005446,1,2
imc,0.005434,4,173
loving-kindness,0.005426,3,182
hundred,0.005233,2,37
signify,0.005023,1,3
throb,0.005023,1,5
puddle,0.005023,1,4
knee,0.004972,2,72
upright,0.004852,2,63
discover,0.004814,4,291
jaw,0.004795,2,48
mindfulness,0.004727,9,928
query,0.004722,1,4
dart,0.004722,1,4
stab,0.004722,1,7
devotional,0.004722,1,6
authenticity,0.004722,1,4
everybody,0.004622,3,196
perfectly,0.004581,2,61
primary,0.004549,3,153
twelve,0.004489,1,6
ship,0.004489,1,17
refrigerator,0.004489,1,11
legitimate,0.004489,1,5
anapanasati,0.004489,1,5
commentary,0.004340,2,86
water,0.004338,4,484
slack,0.004298,1,6
unquote,0.004298,1,7
tweak,0.004298,1,6
uh,0.004298,1,10
sure,0.004242,4,247
stream,0.004166,2,106
rehearse,0.004137,1,8
overflow,0.004137,1,8
generic,0.004137,1,7
heartfelt,0.004137,1,11
lap,0.003998,1,9
row,0.003998,1,12
retreat,0.003969,4,389
thigh,0.003875,1,9
imbue,0.003875,1,12
mad,0.003875,1,10
commentarial,0.003875,1,11
diana,0.003856,2,333
otherwise,0.003785,2,93
highlight,0.003785,2,102
whichever,0.003765,1,11
number,0.003665,3,215
origination,0.003665,1,17
soundscape,0.003665,1,18
choose,0.003611,3,244
flesh,0.003574,1,13
coast,0.003574,1,27
authentic,0.003574,1,17
release,0.003504,3,295
satipatthana,0.003491,1,16
sound,0.003392,4,489
giant,0.003341,1,26
literature,0.003341,1,25
devotion,0.003341,1,37
annoy,0.003274,1,28
awareness,0.003266,6,1240
aren't,0.003236,2,129
orient,0.003236,2,177
check,0.003057,2,162
balance,0.003057,2,228
aspect,0.003044,3,268
perform,0.003040,1,28
describe,0.002999,3,272
study,0.002961,2,174
couch,0.002941,1,28
canon,0.002941,1,53
hike,0.002894,1,49
east,0.002894,1,33
i'd,0.002863,4,426
ritual,0.002850,1,59
instruction,0.002847,2,212
particular,0.002818,4,431
game,0.002807,1,48
integral,0.002807,1,31
embrace,0.002807,1,59
brightness,0.002766,1,62
spine,0.002727,1,45
practitioner,0.002717,2,199
irritate,0.002689,1,45
faculty,0.002652,1,74
intention,0.002635,2,259
hop,0.002617,1,37
heat,0.002617,1,44
breathe,0.002549,7,2412
eightfold,0.002549,1,83
commitment,0.002549,1,56
integrity,0.002549,1,54
shoulder,0.002537,2,201
hostility,0.002486,1,69
kill,0.002426,1,121
side,0.002425,2,272
past,0.002407,2,227
sink,0.002398,1,54
small,0.002394,3,380
big,0.002373,4,642
environment,0.002370,1,50
motivate,0.002370,1,53
attain,0.002370,1,67
teacher,0.002358,3,532
arise,0.002357,6,1065
motivation,0.002343,1,73
invite,0.002336,2,316
healthy,0.002319,2,265
sati,0.002316,1,89
ear,0.002290,1,65
honor,0.002290,1,81
preference,0.002290,1,62
unless,0.002290,1,54
dear,0.002290,1,125
compare,0.002290,1,75
tend,0.002251,2,224
move,0.002219,5,629
notice,0.002219,5,1188
difference,0.002218,2,225
jump,0.002216,1,60
dependent,0.002193,1,84
practice,0.002186,58,3693
circumstance,0.002170,1,83
leaf,0.002148,1,63
associate,0.002137,2,222
clark,0.002126,1,281
afternoon,0.002083,1,67
bird,0.002062,1,111
natural,0.002059,2,318
hindrance,0.002042,1,197
rock,0.002042,1,83
factor,0.002022,1,114
fit,0.002022,1,83
gil,0.002015,3,407
question,0.001998,3,835
goal,0.001983,1,125
believe,0.001970,2,320
terrible,0.001964,1,120
expectation,0.001946,1,106
element,0.001928,1,183
ethical,0.001928,1,192
oh,0.001917,4,1322
seat,0.001892,1,117
strength,0.001892,1,97
early,0.001870,2,286
discussion,0.001858,1,90
surprise,0.001858,1,88
address,0.001841,1,123
put,0.001841,5,788
speak,0.001815,2,421
decide,0.001809,1,123
dharmette,0.001780,3,313
perspective,0.001777,1,191
whatever,0.001764,10,1178
suggest,0.001762,1,86
hang,0.001746,1,98
strain,0.001746,1,131
depend,0.001746,1,109
support,0.001741,4,913
person,0.001723,4,1053
chair,0.001716,1,104
low,0.001716,1,130
nice,0.001706,3,541
across,0.001702,1,148
uncomfortable,0.001702,1,194
define,0.001702,1,124
noble,0.001687,1,264
invitation,0.001687,1,132
wherever,0.001673,1,99
arm,0.001659,1,120
individual,0.001645,1,105
wake,0.001632,1,121
wouldn't,0.001618,1,128
phrase,0.001618,1,182
probably,0.001608,2,339
bring,0.001607,6,1154
recognition,0.001605,1,212
expression,0.001592,1,123
authoritative,0.001566,1,85
ease,0.001548,2,522
directly,0.001541,1,113
surface,0.001541,1,155
rid,0.001541,1,171
fine,0.001516,1,150
appropriate,0.001504,1,168
orientation,0.001492,1,188
quote,0.001480,1,150
contact,0.001469,1,224
certain,0.001465,3,604
community,0.001457,1,352
chest,0.001457,1,143
harm,0.001457,1,418
aware,0.001443,2,589
arrive,0.001434,1,158
run,0.001423,1,149
opportunity,0.001412,1,167
general,0.001412,1,165
i'll,0.001409,4,831
context,0.001401,1,177
however,0.001401,1,151
saw,0.001369,1,186
provide,0.001359,1,200
familiar,0.001359,1,177
okay,0.001345,3,1126
ask,0.001343,2,666
offer,0.001331,3,651
bite,0.001330,8,1468
record,0.001318,1,118
amount,0.001318,1,164
presence,0.001308,1,207
expand,0.001298,1,177
add,0.001278,1,286
mindful,0.001278,1,255
pressure,0.001259,1,259
future,0.001259,1,217
wide,0.001259,1,252
pali,0.001259,1,216
doe,0.001254,3,829
use,0.001230,5,1160
relax,0.001229,3,1213
connection,0.001213,1,207
sensation,0.001207,2,863
watch,0.001195,1,243
fill,0.001195,1,222
comfortable,0.001186,1,210
delight,0.001177,1,283
many,0.001160,6,1063
truth,0.001159,1,487
clear,0.001157,2,556
awaken,0.001151,1,412
tomorrow,0.001134,1,179
tradition,0.001125,1,327
pleasure,0.001117,1,694
benefit,0.001117,1,242
already,0.001109,1,255
situation,0.001109,1,315
could,0.001101,4,1418
direction,0.001101,1,238
especially,0.001093,1,202
belly,0.001084,1,260
area,0.001069,1,260
may,0.001048,7,2140
back,0.001042,8,1466
we'll,0.001041,2,557
year,0.001041,2,817
mean,0.001036,5,1408
name,0.001030,1,300
exactly,0.001030,1,230
rest,0.001022,2,550
fall,0.001022,1,277
forward,0.001015,1,219
without,0.000999,4,944
course,0.000995,2,665
cause,0.000985,1,371
guide,0.000984,4,860
safe,0.000967,2,415
activity,0.000963,1,438
push,0.000956,1,316
though,0.000949,1,233
open,0.000941,4,1183
goodness,0.000935,1,466
reason,0.000928,1,263
right,0.000918,6,2053
teach,0.000905,3,1389
read,0.000874,1,419
welcome,0.000871,4,684
happy,0.000859,3,809
tension,0.000855,1,596
spend,0.000855,1,290
allow,0.000843,4,1500
minute,0.000817,1,342
lose,0.000817,1,411
another,0.000802,2,742
path,0.000792,1,795
beautiful,0.000792,1,538
buddha,0.000769,2,1769
different,0.000762,6,1866
week,0.000745,2,700
include,0.000744,1,377
movement,0.000733,1,448
sit,0.000713,8,1457
towards,0.000710,1,469
say,0.000699,15,4633
find,0.000689,7,1631
well,0.000685,3,1319
hand,0.000677,1,472
experience,0.000666,6,3038
within,0.000640,1,516
morning,0.000634,1,388
sometimes,0.000628,6,1836
recognize,0.000619,1,645
often,0.000618,2,1059
introduction,0.000609,1,275
