word,tfidf_score,talk_frequency,global_frequency
conflict,0.046285,45,321
speech,0.023909,28,186
refrain,0.022340,17,63
perspective,0.019417,25,196
abstain,0.018394,10,20
dispraise,0.016392,6,6
precept,0.014231,11,97
unskillfully,0.013369,6,10
proper,0.012876,7,16
explore,0.011530,17,199
speak,0.010451,27,446
encourage,0.010270,14,124
concord,0.009969,5,17
non-anger,0.008912,4,9
harm,0.007995,13,466
action,0.007666,14,348
intoxicant,0.007641,4,15
false,0.007607,5,21
skillfully,0.007449,5,19
beneficial,0.007356,8,104
tightly,0.007301,5,29
andrea,0.007113,4,17
reflective,0.006897,4,23
create,0.006764,25,542
divisive,0.006703,4,14
reprove,0.006684,3,5
anger,0.006617,11,358
harsh,0.006571,5,31
passage,0.006369,4,32
compassion,0.006234,15,697
praise,0.006171,6,75
acceptance,0.006018,5,66
view,0.005901,14,729
fella,0.005730,3,10
navigate,0.005641,5,53
understand,0.005639,41,1242
act,0.005609,11,347
loving-kindness,0.005575,7,186
sexuality,0.005518,3,18
repress,0.005518,3,13
engage,0.005505,12,332
abstinence,0.005464,2,2
well-spoken,0.005464,2,2
frustration,0.005257,4,36
steal,0.005257,4,52
sharon,0.005172,3,15
yet,0.005072,9,243
pursuit,0.005027,3,18
encouragement,0.004950,4,40
somebody,0.004920,8,354
reaction,0.004830,5,95
resentment,0.004687,4,43
daishin,0.004456,2,5
amaro,0.004456,2,4
situation,0.004368,9,331
likewise,0.004297,3,29
affect,0.004194,5,102
morgan,0.004192,2,9
resentful,0.004192,2,5
construct,0.004160,4,118
mary,0.003988,2,9
accountable,0.003988,2,10
abusive,0.003988,2,9
non-conflict,0.003988,2,15
beset,0.003988,2,12
dog,0.003942,3,41
maintain,0.003903,4,82
husband,0.003881,3,42
heedlessness,0.003820,2,10
reflect,0.003801,6,202
attack,0.003766,3,37
lie,0.003717,6,174
wise,0.003696,8,454
papanca,0.003679,2,35
recollection,0.003679,2,15
consciously,0.003661,3,32
establish,0.003609,4,74
recap,0.003556,2,10
agreement,0.003556,2,10
truthfulness,0.003556,2,20
investigation,0.003470,3,65
misconduct,0.003448,2,19
arise,0.003444,19,1081
delusion,0.003444,5,222
layer,0.003427,3,62
cultivate,0.003397,7,465
cause,0.003396,8,397
state,0.003351,12,850
several,0.003343,3,53
condition,0.003324,10,695
tendency,0.003297,4,108
midst,0.003265,3,48
alleviate,0.003264,2,23
undertake,0.003264,2,18
division,0.003264,2,17
reality,0.003241,4,122
wrong,0.003234,7,335
reflection,0.003216,5,214
greed,0.003191,5,251
kill,0.003155,3,124
intuitively,0.003111,2,14
excellent,0.003111,2,16
investigate,0.003086,3,102
motivation,0.003086,3,75
reify,0.003043,2,22
nuance,0.003043,2,20
externally,0.003043,2,22
truth,0.003038,6,532
effect,0.003006,4,165
scenario,0.002980,2,17
bar,0.002980,2,24
respond,0.002958,4,158
