word,tfidf_score,talk_frequency,global_frequency
poem,0.021718,13,393
list,0.020227,15,269
concept,0.017666,12,242
save,0.014759,6,81
rosemary,0.012834,4,35
trommer,0.011847,4,34
flatness,0.010240,2,3
dianaclarkdharma,0.010240,2,4
sens,0.009598,5,139
sheepishly,0.009444,2,4
bodily,0.008612,4,100
medt'n,0.008440,2,10
thread,0.008431,3,52
guy,0.007993,4,94
backrest,0.007779,2,10
beyond,0.007301,5,183
launch,0.007285,2,17
label,0.006762,3,83
modest,0.006563,2,17
disconnect,0.006459,3,85
morning,0.005963,10,388
anyway,0.005816,3,71
diligently,0.005801,1,1
openheartedness,0.005801,1,1
procrastinate,0.005801,1,1
event,0.005759,3,83
expectation,0.005488,3,106
chest,0.005479,4,143
configuration,0.005120,1,2
chirp,0.005120,1,2
retrospective,0.005120,1,4
hyper-educated,0.005120,1,3
seamless,0.005120,1,3
url,0.005120,1,2
abstract,0.004986,2,41
chair,0.004841,3,104
pressure,0.004734,4,259
stretch,0.004733,2,56
adore,0.004722,1,5
unjaded,0.004722,1,5
warmheartedness,0.004722,1,6
quadrillion,0.004722,1,3
bazillion,0.004722,1,3
buddhism,0.004664,5,507
ring,0.004617,2,65
aren't,0.004564,3,129
unpack,0.004508,2,56
ridiculously,0.004439,1,7
lilac,0.004439,1,6
exuberance,0.004439,1,6
ever-changing,0.004439,1,4
surface,0.004345,3,155
unlovable,0.004220,1,7
insufficiency,0.004220,1,15
converse,0.004220,1,7
daunt,0.004220,1,7
wildly,0.004220,1,8
ephemeral,0.004220,1,5
incessant,0.004220,1,5
rich,0.004080,2,65
dukkha,0.004077,3,401
linear,0.004041,1,8
chop,0.004041,1,10
actual,0.004038,2,82
aliveness,0.003996,2,84
tie,0.003916,2,73
figuratively,0.003889,1,8
insufficient,0.003889,1,12
courageous,0.003889,1,14
versus,0.003839,2,87
bell,0.003839,2,109
lose,0.003838,5,411
sensitive,0.003802,2,86
nation,0.003758,1,11
notice,0.003755,9,1188
item,0.003643,1,15
heartbreak,0.003643,1,22
lord,0.003643,1,12
bucket,0.003643,1,23
reconnect,0.003643,1,10
nope,0.003643,1,14
hear,0.003582,7,841
seat,0.003558,2,117
memorize,0.003539,1,24
puppy,0.003539,1,16
indifference,0.003539,1,17
arc,0.003539,1,29
it'll,0.003494,2,99
chat,0.003462,2,103
voice,0.003462,2,111
exaggerate,0.003445,1,16
soundscape,0.003445,1,18
dominant,0.003445,1,19
insubstantial,0.003445,1,26
bag,0.003360,1,23
experience,0.003340,32,3038
tempt,0.003281,1,15
concrete,0.003281,1,16
foster,0.003281,1,17
cruelty,0.003281,1,19
consume,0.003281,1,16
remark,0.003281,1,14
cushion,0.003255,2,115
content,0.003200,2,164
lay,0.003200,2,141
uncomfortable,0.003200,2,194
sound,0.003189,4,489
stumble,0.003141,1,17
giant,0.003141,1,26
air,0.003094,2,168
mental,0.003081,3,342
straightforward,0.003077,1,21
seriously,0.003077,1,19
sensory,0.003077,1,33
solidify,0.003077,1,25
belly,0.003058,3,260
uprightness,0.003018,1,22
per,0.003018,1,20
fulfil,0.003018,1,23
wahtola,0.002962,1,30
frighten,0.002962,1,28
immerse,0.002962,1,45
hungry,0.002909,1,51
poetry,0.002909,1,93
map,0.002858,1,39
shock,0.002858,1,26
belief,0.002828,2,280
scan,0.002810,1,36
suffer,0.002806,6,1574
top,0.002806,2,164
include,0.002799,4,377
couch,0.002765,1,28
inhabit,0.002765,1,31
friday,0.002765,1,29
contact,0.002761,2,224
love,0.002693,10,1723
emphasize,0.002655,2,154
integral,0.002639,1,31
fee,0.002639,1,38
projection,0.002639,1,33
wrap,0.002600,1,42
freeze,0.002528,1,49
faculty,0.002493,1,74
interaction,0.002493,1,39
