word,tfidf_score,talk_frequency,global_frequency
collection,0.024348,9,52
core,0.022515,14,125
list,0.016993,14,262
hydrogen,0.016604,4,6
encouragement,0.016240,7,39
knower,0.014209,4,9
essence,0.011960,5,46
expressed,0.010812,5,44
knitting,0.010199,2,2
enlightenment,0.010025,5,67
puzzlement,0.009002,2,3
dianaclarkdharma,0.009002,2,4
beyond,0.008986,7,183
sound,0.008603,12,472
inquiring,0.008302,2,5
beginner's,0.007805,2,5
concept,0.007765,6,242
oxygen,0.007671,3,36
medt'n,0.007420,2,10
google,0.007420,2,6
buddhism,0.007380,9,505
self,0.007164,9,1124
accumulated,0.007105,2,7
microphone,0.006838,2,20
rainbow,0.006838,2,12
hanging,0.006666,3,33
investigating,0.006608,2,24
separate,0.006494,4,100
arising,0.006462,7,284
kornfield,0.006404,2,13
entity,0.006404,2,12
model,0.006241,3,65
belief,0.006215,5,280
soundscape,0.006058,2,18
jack,0.005769,2,18
isn't,0.005735,8,390
component,0.005641,2,18
identity,0.005555,3,150
integrated,0.005522,2,39
curiosity,0.005437,3,99
guy,0.005380,3,92
explanation,0.005306,2,22
pleases,0.005100,1,1
seuss,0.005100,1,1
archive,0.005100,1,1
humongous,0.005100,1,1
investigator,0.005100,1,1
prismatic,0.005100,1,1
connected,0.005068,6,296
silly,0.004861,2,30
awakening,0.004817,4,283
exist,0.004649,3,91
sits,0.004640,2,33
narrative,0.004507,2,46
mothership,0.004501,1,2
suit,0.004501,1,3
dipa,0.004501,1,2
ma,0.004501,1,2
grandmotherly,0.004501,1,2
mahasi,0.004501,1,3
open-mindedness,0.004501,1,2
empiricist,0.004501,1,2
ted,0.004501,1,2
julian,0.004501,1,2
baggini,0.004501,1,2
h2o,0.004501,1,6
coil,0.004501,1,3
configuration,0.004501,1,2
owns,0.004501,1,2
neuroscience,0.004501,1,2
url,0.004501,1,2
water,0.004481,5,467
contrast,0.004444,2,37
bow,0.004384,2,42
memory,0.004367,3,148
weather,0.004325,2,56
label,0.004268,2,75
realizing,0.004214,2,43
universe,0.004160,2,65
