word,tfidf_score,talk_frequency,global_frequency
mettā,0.042279,32,184
rosemerry,0.018550,9,22
spider,0.018445,6,6
brother,0.015992,10,35
poem,0.013920,16,341
lovable,0.012367,6,24
steam,0.010853,4,5
heartedness,0.010433,6,54
insufficient,0.010306,5,12
cave,0.009958,5,16
phrases,0.009907,8,85
save,0.009509,7,73
poison,0.009377,5,34
matters,0.009006,7,54
insufficiency,0.008945,4,15
inadequate,0.008651,6,32
anyway,0.008219,8,71
saving,0.008140,3,4
wrapped,0.007996,5,23
warmheartedness,0.007507,3,6
love,0.007368,42,1507
sinking,0.007303,4,14
mud,0.007122,4,18
ridiculously,0.007057,3,7
wildly,0.006709,3,8
loving,0.006378,13,407
courageous,0.006183,3,14
hungry,0.006165,4,52
thunderstorm,0.006148,2,2
overflow,0.006148,2,2
uncomplicated,0.005975,3,13
sharon,0.005791,3,17
poet,0.005705,5,82
wrap,0.005478,3,16
sister,0.005478,3,23
hatred,0.005461,7,212
warm,0.005266,6,145
explicit,0.005217,3,17
opening,0.005168,10,280
depends,0.005146,4,43
daunted,0.005004,2,5
adoring,0.005004,2,5
unjaded,0.005004,2,5
brahm,0.005004,2,6
idiot,0.005004,2,5
notions,0.004993,3,24
deserve,0.004993,3,24
willing,0.004877,6,148
dukkha,0.004869,8,565
oh,0.004730,20,1324
wahtola,0.004708,3,39
trommer,0.004708,3,43
nations,0.004705,2,7
converse,0.004705,2,6
lilac,0.004705,2,6
stumbling,0.004705,2,6
risks,0.004705,2,5
teacher,0.004683,11,421
confidence,0.004671,5,171
ideas,0.004543,11,432
unlovable,0.004473,2,7
puppy,0.004473,2,8
exuberance,0.004473,2,7
tying,0.004473,2,6
fire,0.004370,4,119
troubling,0.004283,2,8
trained,0.004018,3,42
frightened,0.003983,2,14
kittens,0.003983,2,13
coach,0.003983,2,13
pouring,0.003983,2,12
salzberg,0.003983,2,12
lines,0.003964,3,45
terrible,0.003915,4,120
show,0.003896,7,248
kindness,0.003886,12,816
race,0.003861,2,13
upside,0.003861,2,10
boring,0.003861,2,11
diana,0.003842,4,338
foster,0.003751,2,13
shock,0.003751,2,12
nights,0.003652,2,17
swim,0.003652,2,18
war,0.003583,3,64
indifference,0.003561,2,20
invitation,0.003480,4,124
hearts,0.003437,5,185
freeze,0.003401,2,17
honestly,0.003401,2,15
purification,0.003401,2,38
creativity,0.003401,2,22
original,0.003358,5,205
room,0.003354,8,390
dismissive,0.003329,2,20
recently,0.003313,3,55
helped,0.003278,3,56
seriously,0.003262,2,19
cruelty,0.003262,2,23
map,0.003262,2,35
pointing,0.003252,4,155
retreat,0.003218,6,317
encouraging,0.003198,2,19
clark,0.003177,3,285
starts,0.003160,5,188
interaction,0.003083,2,22
match,0.003083,2,33
dry,0.003083,2,36
rosemary,0.003083,2,48
brokenheartedness,0.003074,1,1
paralyzed,0.003074,1,1
courageously,0.003074,1,1
awfulnesses,0.003074,1,1
workouts,0.003074,1,1
conjure,0.003074,1,1
ragged,0.003074,1,1
grumbliness,0.003074,1,1
