word,tfidf_score,talk_frequency,global_frequency
gentleness,0.038543,3,37
maria,0.027761,2,75
cheekbone,0.027750,1,1
unguarded,0.027750,1,1
refrain,0.026879,2,63
precept,0.025695,2,104
waist,0.024541,1,2
slowly,0.022045,3,111
surface,0.020148,3,175
awake,0.018064,2,92
suspend,0.017577,1,10
position,0.017137,2,92
jar,0.017090,1,20
straatmann,0.016648,1,11
shallow,0.015875,1,26
forehead,0.015532,1,22
elbow,0.014914,1,34
cultivate,0.014715,3,471
toe,0.014118,1,22
top,0.013531,2,183
hip,0.012323,1,32
lie,0.012320,2,189
harm,0.012061,2,500
anchor,0.011290,1,77
nurture,0.011290,1,45
shoulder,0.011248,2,220
knee,0.011159,1,74
soothe,0.011159,1,55
sink,0.011033,1,54
neck,0.011033,1,56
room,0.010895,3,461
jaw,0.010672,1,51
alert,0.010557,1,53
bottom,0.010557,1,59
ease,0.010229,3,587
gently,0.010013,3,426
head,0.009877,2,276
slightly,0.009547,1,65
rock,0.009457,1,83
parent,0.009457,1,82
breathe,0.009388,6,2612
stand,0.009229,2,319
afternoon,0.009197,1,72
particularly,0.009032,1,98
note,0.008951,1,113
comfort,0.008496,1,119
safety,0.008353,1,120
trouble,0.008353,1,94
simply,0.008279,2,322
earth,0.008081,1,244
hang,0.007761,1,108
wander,0.007640,1,141
air,0.007463,1,172
edge,0.007237,1,182
child,0.006816,1,216
morning,0.005686,2,426
alive,0.005471,1,214
comfortable,0.005434,1,217
foot,0.005397,1,252
invite,0.005360,1,330
soft,0.005251,1,254
still,0.004840,3,827
allow,0.004793,5,1581
rest,0.004753,2,573
name,0.004615,1,325
stay,0.004119,2,872
notice,0.004012,2,1251
walk,0.003607,1,579
settle,0.003260,2,1552
guide,0.003221,3,955
space,0.003106,1,755
hand,0.003061,1,511
body,0.003048,7,3405
connect,0.002800,1,707
place,0.002333,3,1656
whatever,0.002292,3,1271
posture,0.002206,1,664
move,0.002096,1,671
safe,0.002060,1,451
okay,0.002042,1,1205
eye,0.001970,1,665
deep,0.001889,2,1807
another,0.001797,1,796
week,0.001763,1,744
relax,0.001729,1,1325
link,0.001437,1,565
anything,0.001421,1,883
care,0.001390,1,1725
let,0.001320,7,2887
love,0.001313,1,1809
back,0.001286,2,1553
right,0.001233,2,2321
today,0.001222,1,882
close,0.001222,1,706
present,0.001192,1,1330
bring,0.001162,1,1269
sit,0.001155,3,1592
day,0.001103,1,1063
welcome,0.000916,1,751
find,0.000871,2,1762
become,0.000846,2,1881
information,0.000819,1,441
around,0.000819,1,1211
need,0.000778,1,1638
good,0.000747,3,2632
moment,0.000564,1,1919
part,0.000525,1,1726
happen,0.000525,1,2196
take,0.000494,3,2368
much,0.000286,1,1749
mind,0.000153,1,4777
even,0.000141,1,1972
time,0.000140,2,3091
think,0.000058,1,6192
feel,0.000046,2,6492
ai-generated,0.000000,1,403
transcript,0.000000,1,406
auto-generated,0.000000,1,403
subtitle,0.000000,1,404
video,0.000000,1,426
meditation,0.000000,4,3673
likely,0.000000,1,498
contain,0.000000,1,437
inaccuracy,0.000000,1,403
follow,0.000000,1,759
talk,0.000000,2,2572
give,0.000000,1,2086
insight,0.000000,1,1714
center,0.000000,2,1193
redwood,0.000000,1,453
city,0.000000,1,512
california,0.000000,1,468
please,0.000000,1,604
visit,0.000000,1,495
website,0.000000,1,471
www,0.000000,1,418
audiodharma,0.000000,1,418
org,0.000000,1,434
