word,tfidf_score,talk_frequency,global_frequency
freely,0.043041,15,53
cup,0.029872,9,50
precept,0.026123,8,93
grant,0.018166,5,22
catalog,0.016698,3,5
approval,0.013763,3,11
strawberry,0.012069,2,4
contentment,0.010830,5,284
line,0.010539,7,215
total,0.010491,3,28
refrain,0.009957,3,62
2of5,0.009953,2,10
relationship,0.009579,11,488
cookie,0.009175,2,24
somebody,0.009172,6,343
mine,0.008873,5,229
smoothly,0.008867,2,10
chin,0.008595,2,10
buy,0.007995,3,70
credit,0.007931,2,14
sticky,0.007931,2,14
action,0.006982,5,320
nun,0.006869,2,65
journalist,0.006835,1,1
sinuous,0.006835,1,1
consumption,0.006835,1,1
preclude,0.006835,1,1
inequality,0.006835,1,1
inveterate,0.006835,1,1
icky,0.006835,1,1
glare,0.006835,1,1
legion,0.006835,1,1
negligence,0.006835,1,1
cedary,0.006835,1,1
icy,0.006835,1,1
steal,0.006751,2,50
delight,0.006484,5,291
doe,0.006425,14,839
eat,0.006152,3,131
whoosh,0.006034,1,2
marisa,0.006034,1,2
amand,0.006034,1,2
thoughtlessness,0.006034,1,2
nobody,0.005974,2,57
grateful,0.005893,2,40
fail,0.005893,2,50
heat,0.005815,2,44
hit,0.005815,2,67
offer,0.005787,12,668
accept,0.005689,3,136
shihab,0.005566,1,3
nye,0.005566,1,3
sharply,0.005566,1,3
midday,0.005566,1,4
hirshfield,0.005566,1,3
fragrance,0.005566,1,10
tiny,0.005525,2,49
calf,0.005234,1,7
harshly,0.005234,1,4
reverberate,0.005234,1,5
immaterial,0.005234,1,5
imperative,0.005234,1,10
withhold,0.005234,1,6
consequence,0.005150,2,60
ear,0.005093,2,65
balance,0.005073,3,231
mother,0.005037,2,96
food,0.004994,3,192
easeful,0.004983,2,68
st,0.004976,1,5
theravadan,0.004976,1,5
jane,0.004976,1,7
unwanted,0.004976,1,5
naomi,0.004766,1,6
loosely,0.004766,1,6
cheat,0.004766,1,6
approve,0.004766,1,7
availability,0.004766,1,6
noon,0.004434,1,11
originally,0.004434,1,12
economic,0.004434,1,10
misunderstand,0.004434,1,8
animosity,0.004434,1,12
thigh,0.004298,1,9
suspend,0.004298,1,10
coolness,0.004298,1,15
bend,0.004298,1,9
fortunately,0.004298,1,9
belong,0.004214,2,103
shoulder,0.004189,3,207
jar,0.004176,1,20
market,0.004176,1,11
slap,0.004176,1,16
desire,0.004104,4,739
curve,0.004066,1,12
conventional,0.004066,1,24
artist,0.004066,1,13
didn't,0.004002,5,507
clench,0.003965,1,18
poem,0.003959,2,393
free,0.003873,10,730
imaginary,0.003873,1,18
farmer,0.003873,1,41
cheek,0.003787,1,22
elbow,0.003787,1,32
enable,0.003708,1,18
discipline,0.003708,1,19
couldn't,0.003698,2,105
air,0.003668,2,168
toe,0.003633,1,19
tightly,0.003633,1,29
belly,0.003589,3,266
string,0.003563,1,24
capture,0.003563,1,21
attract,0.003563,1,28
beautiful,0.003510,4,541
