word,tfidf_score,talk_frequency,global_frequency
patience,0.067947,59,331
patient,0.024941,18,116
diana,0.021034,22,353
clark,0.019945,19,298
audience,0.018013,13,146
member,0.013754,14,183
deadline,0.013515,5,6
unglamorous,0.012236,4,4
enthusiasm,0.009652,5,15
courage,0.009563,7,90
lumbricus,0.009177,3,3
terrestris,0.009177,3,3
strive,0.008529,7,89
energy,0.008253,17,443
push,0.007767,16,319
effort,0.007737,12,341
dense,0.007131,4,22
worm,0.007041,3,7
difficulty,0.006365,8,219
gizmo,0.006118,2,2
email,0.005794,4,33
passivity,0.005791,3,15
abbot,0.005791,3,21
impatient,0.005629,3,17
integral,0.005623,4,31
apply,0.005614,7,166
somebody,0.005509,8,354
impatience,0.005482,3,70
patiently,0.005406,2,3
shortcut,0.005406,2,3
phone,0.005116,4,64
rosemary,0.005111,3,35
equanimity,0.004966,7,460
scale,0.004723,3,33
wahtola,0.004723,3,30
trommer,0.004723,3,34
electronic,0.004694,2,7
axle,0.004694,2,17
dark,0.004657,4,58
outcome,0.004640,3,39
blue,0.004561,3,68
okay,0.004545,20,1165
carrier,0.004465,2,6
pay,0.004385,7,224
cultivate,0.004347,8,465
wait,0.004292,7,228
exhaust,0.004280,3,32
xyz,0.004277,2,7
gardener,0.004277,2,7
tunnel,0.004277,2,8
aversion,0.004141,7,488
work,0.004112,28,1379
spacious,0.004003,4,110
fast,0.003930,4,97
spaciousness,0.003894,4,215
constancy,0.003861,2,14
balance,0.003797,5,233
project,0.003757,4,106
dang,0.003753,2,17
ego,0.003743,3,81
instead,0.003604,9,463
yep,0.003565,2,22
react,0.003537,4,100
pace,0.003483,2,17
quality,0.003450,9,627
road,0.003418,3,119
mile,0.003407,2,16
disconnect,0.003346,3,94
devotion,0.003336,2,37
giant,0.003270,2,27
stone,0.003270,2,25
count,0.003212,3,311
relation,0.003208,2,32
fix,0.003201,5,286
gap,0.003149,2,28
obvious,0.003109,4,152
gift,0.003109,4,147
fine,0.003085,4,150
manufacturer,0.003059,1,1
barge,0.003059,1,1
striver,0.003059,1,1
wagoner,0.003059,1,1
mournfully,0.003059,1,1
puffy,0.003059,1,1
counterbalance,0.003059,1,1
quantifiable,0.003059,1,1
commodity,0.003059,1,1
rummage,0.003059,1,1
purse,0.003059,1,1
growl,0.003059,1,1
flagellate,0.003059,1,1
panacea,0.003059,1,1
wormlike,0.003059,1,1
burrow,0.003059,1,1
porosity,0.003059,1,1
grayness,0.003059,1,1
arduous,0.003059,1,1
isn't,0.003034,7,407
intend,0.002991,2,31
despair,0.002943,2,52
season,0.002897,2,36
automatically,0.002811,2,33
it'll,0.002769,3,101
respect,0.002734,4,234
restlessness,0.002732,2,75
wan,0.002703,1,2
overexert,0.002703,1,2
burnout,0.002703,1,2
brood,0.002703,1,2
sylvia,0.002703,1,2
boorstein,0.002703,1,2
checkout,0.002703,1,2
disorganize,0.002703,1,2
hobby,0.002703,1,2
weighty,0.002703,1,2
matt,0.002703,1,2
pause,0.002698,3,198
personality,0.002659,2,53
completely,0.002623,5,257
stability,0.002524,3,171
rugged,0.002495,1,3
f,0.002495,1,6
grit,0.002495,1,5
lyric,0.002495,1,3
crush,0.002495,1,3
compact,0.002495,1,4
compress,0.002495,1,3
hype,0.002495,1,3
stubborn,0.002495,1,6
openness,0.002425,3,140
particular,0.002418,7,447
intentionally,0.002409,2,42
hadn't,0.002409,2,50
problem,0.002350,4,297
deplete,0.002347,1,5
exit,0.002347,1,6
unknowingly,0.002347,1,7
disengage,0.002347,1,4
acronym,0.002347,1,6
rag,0.002347,1,6
perseverance,0.002347,1,6
resignation,0.002347,1,9
query,0.002347,1,4
earthworm,0.002347,1,10
tread,0.002347,1,4
bully,0.002347,1,4
sale,0.002347,1,9
willingness,0.002303,2,72
everybody,0.002296,3,201
monastery,0.002279,2,113
decade,0.002279,2,52
fuel,0.002279,2,91
helpful,0.002278,5,579
dedicate,0.002254,2,56
comment,0.002243,3,195
shove,0.002232,1,6
fruition,0.002232,1,8
disenchantment,0.002232,1,10
delicate,0.002232,1,5
desperate,0.002232,1,5
list,0.002176,3,270
require,0.002176,3,156
certainly,0.002174,4,213
abide,0.002163,2,155
endeavor,0.002139,1,6
dull,0.002139,1,10
bill,0.002139,1,10
glorify,0.002139,1,8
numb,0.002139,1,15
flux,0.002139,1,11
recognize,0.002121,7,670
either,0.002098,4,231
sure,0.002069,4,258
indicator,0.002060,1,9
highway,0.002060,1,7
tanya,0.002060,1,20
ticket,0.002060,1,9
28th,0.002060,1,7
repair,0.002060,1,18
barely,0.001991,1,9
figuratively,0.001991,1,9
consistent,0.001991,1,10
bolster,0.001991,1,8
notice,0.001989,9,1221
expectation,0.001947,2,112
trust,0.001934,3,287
pocket,0.001930,1,11
meanwhile,0.001930,1,10
teeth,0.001930,1,16
picture,0.001912,2,121
often,0.001891,12,1099
flourish,0.001876,1,39
foggy,0.001876,1,10
relate,0.001861,4,334
idea,0.001855,16,1650
right,0.001853,26,2207
winter,0.001827,1,14
exaggerate,0.001827,1,16
brighten,0.001827,1,36
number,0.001826,3,220
slow,0.001826,3,167
freedom,0.001793,5,667
decide,0.001784,2,128
summer,0.001783,1,14
raft,0.001783,1,40
subtly,0.001783,1,12
constriction,0.001783,1,16
fabricate,0.001783,1,21
urgency,0.001783,1,16
poem,0.001769,2,405
guess,0.001769,2,122
protect,0.001754,2,111
change,0.001752,8,1444
tempt,0.001742,1,15
thrive,0.001742,1,15
perfect,0.001739,2,128
hang,0.001739,2,103
least,0.001725,3,207
expect,0.001725,2,103
chair,0.001711,2,106
turn,0.001708,7,694
creativity,0.001704,1,22
failure,0.001704,1,26
headache,0.001704,1,15
non-reactivity,0.001704,1,20
assert,0.001704,1,23
scenario,0.001668,1,17
articulate,0.001668,1,18
energize,0.001668,1,25
arm,0.001643,2,123
kick,0.001635,1,19
paramis,0.001635,1,23
perfection,0.001635,1,30
situation,0.001630,3,331
supportive,0.001630,2,133
tremendous,0.001604,2,113
discontent,0.001604,1,33
discourage,0.001604,1,21
infinite,0.001604,1,28
livelihood,0.001604,1,46
hear,0.001596,6,871
waste,0.001574,1,23
south,0.001574,1,24
upper,0.001574,1,21
direction,0.001574,3,258
orient,0.001567,2,217
ago,0.001563,3,272
hasn't,0.001547,1,20
drain,0.001547,1,21
opposite,0.001542,2,129
ease,0.001533,4,552
strong,0.001522,4,468
soil,0.001520,1,48
they'd,0.001520,1,27
whoever,0.001520,1,27
retreat,0.001519,3,401
allow,0.001507,14,1537
check,0.001496,2,168
different,0.001492,24,1948
course,0.001452,6,704
big,0.001432,5,672
sometime,0.001427,1,26
initially,0.001427,1,28
promote,0.001427,1,40
activity,0.001406,3,455
lesson,0.001406,1,52
space,0.001403,4,715
general,0.001398,2,170
song,0.001386,1,49
hour,0.001377,2,200
harm,0.001377,2,466
regularly,0.001366,1,33
hip,0.001366,1,31
prove,0.001366,1,43
need,0.001363,16,1595
entirely,0.001348,1,36
vitality,0.001348,1,54
loosen,0.001348,1,41
glass,0.001348,1,57
regular,0.001330,1,33
spring,0.001330,1,39
line,0.001328,2,225
interest,0.001320,4,529
break,0.001318,2,199
gosh,0.001312,1,43
tap,0.001312,1,34
recommend,0.001295,1,38
fresh,0.001295,1,41
virtue,0.001295,1,106
imply,0.001295,1,40
grateful,0.001295,1,42
tell,0.001290,4,588
love,0.001290,9,1767
amount,0.001290,2,177
year,0.001285,5,848
story,0.001280,4,1019
contrast,0.001279,1,42
cloud,0.001233,1,83
deny,0.001233,1,46
quick,0.001218,1,43
reactive,0.001218,1,64
demand,0.001218,1,46
doe,0.001206,6,882
steadiness,0.001204,1,105
whenever,0.001177,1,44
whereas,0.001177,1,49
fantastic,0.001177,1,55
dharma,0.001174,4,854
stop,0.001167,3,475
specifically,0.001164,1,55
blame,0.001164,1,108
rush,0.001164,1,58
path,0.001150,3,912
thank,0.001146,18,1205
act,0.001142,2,347
medium,0.001139,1,82
honor,0.001139,1,82
tend,0.001134,2,229
show,0.001133,3,553
excite,0.001127,1,63
compare,0.001127,1,77
bodily,0.001127,1,102
online,0.001115,1,59
thousand,0.001115,1,69
well,0.001110,10,1359
jhana,0.001104,1,276
absolutely,0.001104,1,68
already,0.001102,2,261
maintain,0.001093,1,82
grow,0.001084,3,511
plant,0.001082,1,96
seed,0.001082,1,92
organize,0.001082,1,154
monastic,0.001082,1,111
differently,0.001082,1,56
head,0.001072,2,273
cycle,0.001060,1,78
leaf,0.001060,1,65
personally,0.001060,1,61
dependent,0.001050,1,93
mood,0.001040,1,92
wrong,0.001034,2,335
growth,0.001030,1,77
observe,0.001030,1,123
engage,0.001027,2,332
increase,0.001020,1,92
versus,0.001020,1,89
empty,0.001010,1,98
oppose,0.001010,1,87
laughter,0.001010,1,76
curious,0.001010,1,94
real,0.001006,2,233
consider,0.001006,2,288
bite,0.001004,12,1548
reactivity,0.001001,1,147
late,0.000999,2,277
zen,0.000992,1,139
half,0.000992,1,102
question,0.000983,3,863
element,0.000973,1,183
social,0.000965,1,127
agitation,0.000965,1,107
terrible,0.000965,1,125
certain,0.000959,4,636
pattern,0.000956,1,134
acknowledge,0.000956,1,99
agitate,0.000948,1,110
early,0.000944,2,292
matter,0.000944,2,294
car,0.000939,1,143
unpleasant,0.000939,1,233
specific,0.000939,1,93
travel,0.000939,1,111
session,0.000931,1,94
society,0.000931,1,137
explain,0.000931,1,96
meaningful,0.000931,1,96
compassion,0.000931,2,697
simply,0.000924,2,312
far,0.000924,2,364
meditate,0.000923,3,518
surprise,0.000923,1,90
root,0.000923,1,148
strength,0.000923,1,102
goodness,0.000918,2,481
actually,0.000913,6,1100
move,0.000909,4,644
create,0.000909,3,542
forget,0.000907,1,94
stable,0.000907,1,109
similar,0.000907,1,83
reason,0.000905,2,282
concentrate,0.000899,1,123
deal,0.000899,1,114
set,0.000898,2,326
quickly,0.000892,1,91
appreciate,0.000887,3,591
wisdom,0.000886,2,548
send,0.000884,1,123
quietly,0.000884,1,96
anybody,0.000884,1,119
nature,0.000879,2,401
they've,0.000877,1,101
little,0.000873,21,2399
clearly,0.000867,2,412
depend,0.000862,1,112
tightness,0.000855,1,117
wind,0.000855,1,191
else,0.000852,3,564
literally,0.000848,1,98
identify,0.000848,1,149
thing,0.000845,48,4930
step,0.000842,2,432
support,0.000836,4,974
whether,0.000824,2,318
couldn't,0.000821,1,109
uncomfortable,0.000821,1,207
always,0.000820,4,744
person,0.000820,4,1121
slowly,0.000815,1,108
haven't,0.000808,1,101
wonder,0.000808,1,144
bring,0.000808,6,1216
sometimes,0.000805,16,1916
mean,0.000796,8,1488
aren't,0.000796,1,136
lose,0.000795,2,427
happen,0.000789,13,2108
job,0.000777,1,198
avoid,0.000771,1,175
call,0.000766,6,1079
young,0.000759,1,165
unfold,0.000759,1,172
start,0.000758,8,1533
want,0.000757,22,3076
surface,0.000754,1,165
case,0.000754,1,172
worry,0.000754,1,158
must,0.000748,1,157
contact,0.000737,1,229
chest,0.000737,1,144
movement,0.000734,2,458
won't,0.000731,1,139
q,0.000715,1,125
distract,0.000709,1,156
stick,0.000709,1,193
new,0.000707,2,553
peaceful,0.000701,2,418
aware,0.000701,2,634
run,0.000699,1,154
stay,0.000694,3,831
meet,0.000691,2,631
possibility,0.000679,1,170
image,0.000679,1,210
saw,0.000674,1,192
anger,0.000674,1,358
hand,0.000670,2,492
book,0.000669,1,260
practitioner,0.000669,1,207
ground,0.000659,1,233
drive,0.000654,1,200
provide,0.000654,1,214
would,0.000644,8,2015
clarity,0.000640,1,256
force,0.000636,1,220
family,0.000636,1,272
bear,0.000636,1,240
yet,0.000631,1,243
morning,0.000630,2,409
ever,0.000626,1,187
wow,0.000626,1,216
term,0.000626,1,267
connect,0.000620,2,675
pleasant,0.000617,1,351
try,0.000617,6,1303
action,0.000613,1,348
upon,0.000609,1,207
outside,0.000609,1,201
foot,0.000609,1,235
whatever,0.000607,7,1217
object,0.000604,1,302
people,0.000602,15,3365
long,0.000597,6,956
use,0.000596,5,1209
sense,0.000593,18,2996
learn,0.000591,3,795
fill,0.000583,1,239
choose,0.000579,1,260
build,0.000579,1,240
awaken,0.000567,1,437
available,0.000559,1,226
might,0.000559,15,2176
rest,0.000527,2,559
still,0.000522,3,813
end,0.000521,8,1122
wise,0.000517,1,454
hold,0.000517,3,1031
able,0.000514,2,633
stand,0.000514,1,296
natural,0.000510,1,343
enter,0.000510,1,382
fall,0.000506,1,287
help,0.000495,3,874
many,0.000490,5,1111
bad,0.000489,1,459
home,0.000489,1,262
pull,0.000485,1,329
usually,0.000482,1,249
cause,0.000475,1,397
though,0.000459,1,247
yes,0.000459,1,405
desire,0.000456,1,769
you've,0.000446,1,359
much,0.000442,14,1701
read,0.000437,1,430
kindness,0.000437,1,557
speak,0.000433,1,446
life,0.000429,13,2847
spend,0.000424,1,301
offer,0.000418,2,708
everything,0.000406,2,910
arise,0.000406,2,1081
probably,0.000403,1,351
minute,0.000403,1,359
shift,0.000400,1,466
another,0.000398,2,772
friend,0.000395,1,564
small,0.000392,1,401
quite,0.000390,2,708
teacher,0.000383,1,568
full,0.000378,1,346
somehow,0.000372,1,323
focus,0.000367,1,608
didn't,0.000359,1,522
around,0.000353,4,1175
towards,0.000348,1,507
quiet,0.000345,1,636
word,0.000335,4,1388
back,0.000333,5,1512
experience,0.000328,6,3143
wonderful,0.000328,1,512
peace,0.000320,1,647
lot,0.000318,5,1561
care,0.000315,2,1655
every,0.000315,1,507
leave,0.000310,1,490
wish,0.000286,1,585
look,0.000279,3,1479
nice,0.000277,1,565
happy,0.000276,2,879
present,0.000273,2,1253
buddhist,0.000268,1,856
take,0.000264,15,2295
moment,0.000255,4,1860
mindfulness,0.000253,1,1000
even,0.000252,17,1909
posture,0.000248,1,615
practice,0.000246,14,3819
make,0.000245,10,2463
body,0.000244,5,3309
point,0.000242,2,1157
safe,0.000229,1,439
world,0.000219,4,2443
welcome,0.000209,2,714
next,0.000207,1,637
good,0.000201,7,2521
relax,0.000195,1,1265
great,0.000191,1,940
buddha,0.000184,1,1904
put,0.000182,1,820
enough,0.000180,1,764
part,0.000177,3,1640
mind,0.000176,10,4619
important,0.000172,1,839
think,0.000167,25,6043
anything,0.000165,1,842
others,0.000158,1,1078
attention,0.000154,1,1283
let,0.000152,7,2758
teach,0.000149,1,1490
may,0.000149,2,2232
together,0.000147,1,1037
find,0.000146,3,1716
become,0.000142,3,1805
today,0.000136,1,852
feel,0.000136,51,6307
time,0.000127,19,2921
without,0.000123,1,995
day,0.000119,1,1015
open,0.000113,1,1244
information,0.000095,1,421
begin,0.000095,1,1452
sit,0.000089,2,1521
place,0.000088,1,1613
