word,tfidf_score,talk_frequency,global_frequency
speech,0.033804,15,186
soccer,0.031856,5,8
timely,0.020165,4,11
trust,0.019757,13,287
harmful,0.016651,6,83
7am,0.014421,2,2
2025-09-10,0.014421,2,2
jock,0.014421,2,2
precept,0.013658,4,97
voice,0.012940,6,114
crux,0.012743,2,3
revenge,0.011761,2,6
view,0.011125,10,729
team,0.010937,3,71
player,0.009101,2,18
stage,0.008856,4,131
reveal,0.008824,3,57
true,0.008529,8,418
secret,0.008031,2,18
critic,0.007708,2,52
space,0.007440,9,715
lean,0.007423,3,81
gigantic,0.007210,1,1
wislawa,0.007210,1,1
szymborska,0.007210,1,1
prize-winning,0.007210,1,1
premeditation,0.007210,1,1
ill-prepared,0.007210,1,1
loathe,0.007210,1,1
hasty,0.007210,1,1
ham-acting,0.007210,1,1
fright,0.007210,1,1
extenuate,0.007210,1,1
unexpectedness,0.007210,1,1
hoarse,0.007210,1,1
slap-dash,0.007210,1,1
makeshift,0.007210,1,1
accommodation,0.007210,1,1
farthest,0.007210,1,1
premiere,0.007210,1,1
factualness,0.007210,1,1
sturm,0.007210,1,1
und,0.007210,1,1
drang,0.007210,1,1
finishing-someone-sentence,0.007210,1,1
maria,0.007167,2,75
sound,0.007151,7,494
influence,0.007077,3,87
refrain,0.006937,2,63
belong,0.006642,3,105
run,0.006589,4,154
discussion,0.006584,3,91
harm,0.006493,4,466
alteration,0.006371,1,2
improvise,0.006371,1,2
pitiful,0.006371,1,2
quiz,0.006371,1,2
misinterpret,0.006371,1,2
mismanagement,0.006371,1,2
seduction,0.006371,1,4
nobody,0.006268,2,58
hang,0.006149,3,103
although,0.006029,2,44
sentence,0.005883,2,47
rehearsal,0.005880,1,3
improvisation,0.005880,1,3
raincoat,0.005880,1,3
galaxy,0.005880,1,6
self-reflection,0.005880,1,3
grandson,0.005880,1,3
alive,0.005780,4,205
fair,0.005613,2,47
forever,0.005613,2,68
easefully,0.005532,1,4
conceal,0.005532,1,7
humiliate,0.005532,1,5
script,0.005532,1,5
halfway,0.005532,1,4
lure,0.005532,1,6
entice,0.005532,1,4
nobel,0.005262,1,6
rotate,0.005262,1,5
clash,0.005262,1,5
persuade,0.005262,1,8
doe,0.005211,11,882
correctly,0.005041,1,6
guy,0.004901,2,110
performance,0.004855,1,9
rehearse,0.004855,1,8
punish,0.004855,1,11
stupid,0.004855,1,10
gracefully,0.004693,1,8
barely,0.004693,1,9
surprisingly,0.004693,1,10
seduce,0.004693,1,10
stem,0.004550,1,14
chin,0.004550,1,10
untangle,0.004550,1,15
gossip,0.004550,1,14
offend,0.004550,1,10
polish,0.004423,1,12
cruel,0.004423,1,12
prop,0.004423,1,11
graceful,0.004423,1,12
ethical,0.004351,2,204
straatmann,0.004307,1,11
privilege,0.004307,1,13
button,0.004307,1,11
self-criticism,0.004307,1,21
machine,0.004202,1,19
