word,tfidf_score,talk_frequency,global_frequency
awaken,0.023783,17,437
complexity,0.015831,4,26
dew,0.015097,2,2
samvega,0.015097,2,2
explicit,0.012893,3,17
baseball,0.012312,2,4
speak,0.011765,11,446
pep,0.011583,2,5
calculation,0.011017,2,6
one-on-one,0.009826,2,11
fruit,0.009713,3,51
aspiration,0.009713,3,75
progress,0.009589,3,45
frequency,0.009528,2,16
holy,0.008595,2,24
cruelty,0.008233,2,21
sixth,0.008233,2,17
tricky,0.008233,2,20
complication,0.008069,2,23
visual,0.007915,2,24
explicitly,0.007915,2,21
18th-century,0.007549,1,1
kobayashi,0.007549,1,1
issa,0.007549,1,1
to-the-point,0.007549,1,1
soberly,0.007549,1,1
11-year-old,0.007549,1,1
inning,0.007549,1,1
runner,0.007549,1,1
forthright,0.007549,1,1
inflection,0.007549,1,1
decisively,0.007549,1,1
rearrangement,0.007549,1,1
breed,0.007549,1,1
self-driven,0.007549,1,1
kaleidoscopic,0.007549,1,1
counterfactual,0.007549,1,1
heaviness,0.007503,2,41
awake,0.007409,3,84
self,0.006938,6,1143
measure,0.006774,3,92
group,0.006698,4,255
haiku,0.006670,1,2
uniformly,0.006670,1,2
strangely,0.006670,1,2
vividly,0.006670,1,2
universality,0.006670,1,2
abrasiveness,0.006670,1,2
deliverance,0.006670,1,3
mischief,0.006670,1,2
disclosure,0.006670,1,2
calibrate,0.006670,1,2
jung,0.006670,1,2
displacement,0.006670,1,2
deform,0.006670,1,2
vega-frey,0.006670,1,2
tinker,0.006670,1,2
modification,0.006670,1,2
chunk,0.006670,1,2
accoutrement,0.006670,1,2
suspension,0.006670,1,2
temperamentally,0.006670,1,3
ambivalent,0.006670,1,2
complex,0.006476,2,41
sorrow,0.006234,2,51
antenna,0.006156,1,6
nephew,0.006156,1,3
characterization,0.006156,1,3
jesse,0.006156,1,3
revere,0.006156,1,4
drench,0.006156,1,9
chogyam,0.006156,1,3
trungpa,0.006156,1,8
rinpoche,0.006156,1,9
narrowly,0.006156,1,3
cautious,0.006156,1,5
strive,0.006013,2,89
bottom,0.005811,2,55
nonviolence,0.005792,1,6
robust,0.005792,1,4
maximize,0.005792,1,5
minimize,0.005792,1,5
mythical,0.005792,1,4
exquisite,0.005792,1,4
transaction,0.005792,1,6
strike,0.005684,2,57
patience,0.005684,2,331
love,0.005659,16,1767
honor,0.005623,2,82
converge,0.005509,1,5
brutal,0.005509,1,6
unshakable,0.005509,1,5
wield,0.005509,1,5
complacency,0.005509,1,7
desperate,0.005509,1,5
transactional,0.005509,1,8
self-model,0.005509,1,15
furniture,0.005509,1,5
restart,0.005509,1,5
24th,0.005509,1,8
benefit,0.005364,4,270
worth,0.005338,2,77
covetousness,0.005278,1,9
undefended,0.005278,1,6
brahmavihara,0.005278,1,14
utterly,0.005278,1,6
bat,0.005278,1,10
pro,0.005278,1,6
confront,0.005278,1,7
alter,0.005278,1,7
carl,0.005278,1,6
burmese,0.005278,1,9
sayadaw,0.005278,1,11
envision,0.005278,1,7
barter,0.005278,1,6
causality,0.005278,1,10
draw,0.005181,2,95
opportunity,0.005136,3,176
yogi,0.005082,1,10
japanese,0.005082,1,20
fan,0.005082,1,7
tab,0.005082,1,9
assault,0.005082,1,8
shinzen,0.005082,1,8
overflow,0.005082,1,8
incidental,0.005082,1,15
line,0.004914,3,225
impersonal,0.004913,1,11
con,0.004913,1,8
consist,0.004913,1,10
trajectory,0.004913,1,12
erode,0.004913,1,9
elevate,0.004913,1,9
relinquish,0.004764,1,11
fame,0.004764,1,17
equally,0.004764,1,13
yet,0.004671,3,243
sufficient,0.004630,1,12
nonetheless,0.004630,1,15
cast,0.004630,1,12
conception,0.004630,1,15
motif,0.004630,1,12
dominate,0.004630,1,11
rearrange,0.004630,1,14
inherit,0.004630,1,12
compassion,0.004593,4,697
condition,0.004593,5,695
huge,0.004516,2,107
tragic,0.004509,1,14
imagery,0.004509,1,23
quantum,0.004509,1,15
vague,0.004509,1,13
folk,0.004401,2,125
helplessness,0.004399,1,20
necessity,0.004399,1,17
heart-mind,0.004399,1,23
fundamentally,0.004399,1,20
alienate,0.004399,1,13
dense,0.004399,1,22
urgency,0.004399,1,16
mystery,0.004399,1,18
majesty,0.004399,1,18
self-view,0.004399,1,15
reverence,0.004399,1,29
poem,0.004364,2,405
problem,0.004348,3,297
temporarily,0.004298,1,18
poignancy,0.004298,1,19
thoroughly,0.004204,1,16
effect,0.004153,2,165
genuine,0.004116,1,16
suffer,0.004106,7,1724
pour,0.004035,1,25
broadcast,0.004035,1,17
toe,0.004035,1,19
whisper,0.003958,1,27
conversation,0.003896,2,196
specie,0.003885,1,25
dignity,0.003885,1,27
obvious,0.003836,2,152
suggestion,0.003817,1,22
silently,0.003817,1,26
weave,0.003817,1,35
shy,0.003817,1,22
logic,0.003817,1,27
teacher,0.003784,4,568
rob,0.003752,1,36
acquire,0.003752,1,34
thread,0.003631,1,53
