word,tfidf_score,talk_frequency,global_frequency
precept,0.024852,7,97
intoxication,0.024514,4,7
surely,0.015753,3,10
carelessness,0.015038,2,2
bail,0.015038,2,2
not-wanting,0.015038,2,2
refrain,0.014426,4,63
choice,0.013295,6,149
impair,0.013284,2,4
heart-minds,0.013284,2,3
bye,0.012257,2,4
boat,0.012029,3,34
sensual,0.011033,4,108
enhance,0.010964,2,6
mortal,0.010964,2,7
intoxicant,0.010502,2,15
heedlessness,0.010502,2,10
alter,0.010502,2,7
desire,0.010143,9,743
contentment,0.009431,4,294
cultivate,0.009369,7,462
leg,0.008565,4,106
choose,0.008505,6,259
shoe,0.008357,2,31
precede,0.008357,2,20
principle,0.008187,3,122
pleasure,0.008147,6,717
he'd,0.008019,2,23
neither,0.007937,3,78
true,0.007776,7,415
pay,0.007732,5,219
shore,0.007584,2,101
non-heedlessness,0.007519,1,1
inebriate,0.007519,1,1
enhancement,0.007519,1,1
not-wants,0.007519,1,1
midas,0.007519,1,1
sens,0.007340,3,146
inhabit,0.007100,2,32
dhammapada,0.006889,2,41
unpleasant,0.006885,3,233
hip,0.006695,2,31
atthakavagga,0.006642,1,2
kama,0.006642,1,2
sidestep,0.006642,1,2
self-focused,0.006642,1,2
never-departing,0.006642,1,2
shortcut,0.006642,1,3
clearly,0.006429,6,403
although,0.006345,2,43
presence,0.006323,4,216
designate,0.006129,1,3
servant,0.006129,1,9
crush,0.006129,1,3
displeasure,0.006129,1,4
thoughtless,0.006129,1,3
hirshfield,0.006129,1,3
hoof,0.006129,1,3
knee,0.006038,2,73
air,0.006013,3,170
pleasant,0.006008,4,351
energy,0.005883,5,443
commandment,0.005764,1,4
overpower,0.005764,1,4
lead,0.005594,5,538
alcohol,0.005482,1,7
snake,0.005482,1,13
brutal,0.005482,1,6
jane,0.005482,1,7
require,0.005428,3,153
broadly,0.005251,1,10
sensitization,0.005251,1,6
dull,0.005251,1,10
iron,0.005251,1,7
metal,0.005251,1,6
corrupt,0.005251,1,7
control,0.005146,3,279
countless,0.005056,1,7
leak,0.005056,1,13
cart,0.005056,1,17
