word,tfidf_score,talk_frequency,global_frequency
sexual,0.051346,15,49
sexuality,0.038716,8,17
wife,0.027385,8,41
lao,0.022620,4,9
tzu,0.022620,4,9
misconduct,0.017450,4,19
compulsion,0.016954,4,23
precepts,0.016555,5,87
taoism,0.015950,3,7
commitments,0.014519,3,10
couples,0.013895,2,2
files,0.013895,2,2
steaming,0.013895,2,2
nazareth,0.013895,2,2
confucius,0.013895,2,2
jade,0.013895,2,2
senses,0.013659,6,140
partners,0.012716,3,15
sensual,0.012345,5,111
repulsion,0.012264,2,3
excuses,0.012264,2,3
lone,0.012264,2,3
nurturing,0.011528,3,16
daoism,0.011310,2,4
bodies,0.010653,5,95
jesus,0.010633,2,5
refrain,0.010450,3,31
responsibility,0.010450,3,27
tao,0.010108,2,22
chinese,0.010097,3,29
dhammapada,0.009482,3,67
refraining,0.009316,2,30
preceded,0.009316,2,12
diminished,0.008725,2,11
thich,0.008477,2,15
nhat,0.008477,2,15
hanh,0.008477,2,15
addiction,0.008253,2,16
protect,0.008195,3,50
determined,0.007685,2,15
noise,0.007371,2,25
siddhartha,0.007371,2,19
hoofs,0.006947,1,1
arouses,0.006947,1,1
faithfulness,0.006947,1,1
harassment,0.006947,1,1
scandal,0.006947,1,1
trafficking,0.006947,1,1
whoosh,0.006947,1,1
feminist,0.006947,1,1
ironed,0.006947,1,1
mended,0.006947,1,1
obeys,0.006947,1,1
housewife,0.006947,1,1
fishwife,0.006947,1,1
stares,0.006947,1,1
kettle,0.006947,1,1
suckling,0.006947,1,1
babe,0.006947,1,1
fried,0.006947,1,1
mists,0.006947,1,1
poached,0.006947,1,1
cedar,0.006947,1,1
waxwing,0.006947,1,1
piny,0.006947,1,1
boughs,0.006947,1,1
thrusts,0.006947,1,1
shouts,0.006947,1,1
sighs,0.006947,1,1
moans,0.006947,1,1
cane,0.006947,1,1
chrysanthemum,0.006947,1,1
earthbound,0.006947,1,1
families,0.006846,2,32
protected,0.006846,2,27
gautama,0.006731,2,25
harm,0.006667,4,337
follows,0.006622,2,28
founder,0.006229,2,37
philosophical,0.006140,2,45
tsunami,0.006132,1,2
intimidation,0.006132,1,2
epstein,0.006132,1,2
prevented,0.006132,1,2
approved,0.006132,1,2
maid,0.006132,1,5
soothes,0.006132,1,2
whistle,0.006132,1,2
budbill,0.006132,1,3
deemed,0.006132,1,2
melancholy,0.006132,1,2
goose,0.006132,1,8
fisherman,0.006132,1,2
shaft,0.006132,1,2
autumn,0.006132,1,2
sensuous,0.006132,1,2
reputed,0.006132,1,2
fantasies,0.006054,2,50
mostly,0.006002,3,95
wants,0.005979,4,217
poem,0.005899,3,341
integrity,0.005740,2,54
attraction,0.005655,1,21
cheat,0.005655,1,3
withholding,0.005655,1,3
misplaced,0.005655,1,3
ada,0.005655,1,7
limón,0.005655,1,7
admonition,0.005655,1,3
rolled,0.005655,1,3
honors,0.005655,1,4
chamber,0.005655,1,4
softly,0.005598,2,44
actions,0.005558,3,170
energy,0.005544,5,428
air,0.005511,3,170
principle,0.005463,2,75
led,0.005336,2,58
abuse,0.005317,1,4
girls,0.005317,1,4
replaced,0.005317,1,4
fixes,0.005317,1,4
cries,0.005317,1,4
rise,0.005215,2,72
corrupted,0.005054,1,8
ox,0.005054,1,12
departing,0.005054,1,5
indulge,0.005054,1,5
punish,0.005054,1,8
mythical,0.005054,1,6
gray,0.005054,1,5
te,0.005054,1,15
ching,0.005054,1,15
compassionate,0.004886,2,74
bellies,0.004840,1,6
determines,0.004840,1,7
controlled,0.004840,1,7
sensuality,0.004840,1,9
standards,0.004840,1,7
constitutes,0.004840,1,6
hurtful,0.004840,1,6
vegetables,0.004840,1,13
ecstatic,0.004840,1,8
scriptures,0.004738,2,56
sweet,0.004738,2,86
cart,0.004658,1,11
david,0.004658,1,19
flies,0.004658,1,7
beard,0.004658,1,7
waits,0.004658,1,12
vietnamese,0.004658,1,7
thiền,0.004658,1,7
children,0.004598,2,100
wheels,0.004501,1,10
preserve,0.004501,1,11
item,0.004501,1,13
precept,0.004501,1,12
upcoming,0.004501,1,8
diminishing,0.004501,1,10
fish,0.004501,1,14
bloom,0.004501,1,8
plum,0.004501,1,8
afraid,0.004424,2,103
chin,0.004363,1,10
cleaned,0.004363,1,9
positions,0.004363,1,10
rice,0.004363,1,16
boundary,0.004239,1,12
rises,0.004239,1,14
stars,0.004239,1,18
activist,0.004239,1,11
straatmann,0.004126,1,11
elbows,0.004126,1,17
unable,0.004126,1,14
mornings,0.004126,1,12
hole,0.004126,1,29
grieving,0.004126,1,22
flesh,0.004126,1,11
stir,0.004126,1,15
bad,0.004096,3,262
particularly,0.004073,2,101
aware,0.004029,5,593
toes,0.004024,1,15
quoting,0.004024,1,13
shadow,0.004024,1,18
protecting,0.004024,1,13
vow,0.003930,1,27
prevent,0.003930,1,19
ignored,0.003930,1,13
harmed,0.003930,1,19
softening,0.003916,3,223
desire,0.003916,3,555
earth,0.003865,2,241
covers,0.003843,1,15
roles,0.003843,1,20
boat,0.003843,1,31
enjoy,0.003800,2,113
maintaining,0.003762,1,19
pleasurable,0.003762,1,29
honoring,0.003762,1,21
deity,0.003762,1,20
condition,0.003705,2,160
trip,0.003686,1,23
pond,0.003686,1,31
involves,0.003674,2,114
restless,0.003614,1,28
religions,0.003614,1,21
