word,tfidf_score,talk_frequency,global_frequency
thanissaro,0.018188,33,39
long-term,0.014352,24,32
desire,0.012863,101,723
bhikkhu,0.012528,33,66
discernment,0.011752,30,70
unskillful,0.009111,24,61
questioner,0.008738,28,228
goal,0.008190,31,125
path,0.007701,73,795
monkey,0.006820,15,68
cow,0.006666,14,59
hawk,0.006578,11,26
non-becoming,0.006530,9,10
elephant,0.006290,10,42
skillful,0.006256,23,130
truth,0.006178,40,487
nibbana,0.005786,13,41
you've,0.005644,46,345
got,0.005370,49,534
eon,0.005353,8,11
spear,0.005353,8,10
basically,0.005258,18,94
raft,0.005237,11,38
dhamma,0.005093,13,129
stepmother,0.005079,7,8
analysis,0.005001,11,25
relinquishment,0.004960,9,16
karma,0.004946,14,75
chess,0.004932,6,6
wealth,0.004860,12,42
overriding,0.004784,8,13
effort,0.004775,27,326
noble,0.004721,21,263
buddha,0.004712,91,1614
universe,0.004694,14,65
milk,0.004684,7,13
fabrication,0.004684,7,9
quail,0.004581,8,55
concentration,0.004572,23,223
short-term,0.004403,7,10
rebirth,0.004394,9,43
lute,0.004353,6,8
gatekeeper,0.004353,6,14
passage,0.004285,9,32
prince,0.004260,8,60
skill,0.004253,13,67
develop,0.004227,23,191
alligator,0.004110,5,5
term,0.003976,23,256
intent,0.003906,8,19
rid,0.003888,15,123
king,0.003886,11,478
young,0.003854,17,130
goal-oriented,0.003628,5,6
horn,0.003628,5,6
neglect,0.003588,6,11
view,0.003506,25,631
awakening,0.003494,18,283
decide,0.003366,9,53
monk,0.003308,13,211
abhaya,0.003288,4,4
hanuman,0.003288,4,4
finally,0.003258,16,148
factor,0.003232,12,114
evaluation,0.003195,6,13
gain,0.003194,10,80
chatter,0.003145,5,8
canon,0.003134,8,53
focus,0.003125,24,359
persistence,0.003097,6,21
aim,0.003053,7,23
craving,0.003024,13,250
focused,0.002998,13,134
total,0.002938,7,28
bad,0.002929,18,261
commit,0.002929,6,19
question,0.002886,32,825
vegetable,0.002863,5,13
ancestral,0.002863,5,15
aside,0.002825,11,109
pursuing,0.002756,5,12
perception,0.002720,10,207
lie,0.002716,9,72
resolve,0.002699,7,40
result,0.002694,10,96
okay,0.002687,45,1126
dhammas,0.002676,4,7
principle,0.002657,9,122
quality,0.002639,26,620
critic,0.002616,6,52
ananda,0.002581,5,26
he's,0.002543,13,305
calm,0.002520,21,594
imperative,0.002516,4,10
ghost,0.002516,4,28
becoming,0.002511,19,298
suffering,0.002493,35,1427
hey,0.002473,6,29
consciousness,0.002468,8,129
deterministic,0.002466,3,3
mozart,0.002466,3,3
aggravate,0.002466,3,3
mannequin,0.002466,3,3
khon,0.002466,3,3
power,0.002443,12,213
lifetime,0.002441,8,71
reliable,0.002430,6,33
food,0.002424,12,189
maintain,0.002408,7,51
sensuality,0.002392,4,8
twisting,0.002392,4,8
canyon,0.002392,4,15
prevent,0.002381,5,18
twist,0.002325,5,18
cook,0.002325,5,21
ultimate,0.002313,6,35
bus,0.002290,4,13
mainstream,0.002290,4,10
lead,0.002278,14,363
playing,0.002210,7,68
tech,0.002205,4,15
directed,0.002179,6,44
club,0.002177,3,6
cowherd,0.002177,3,10
recommends,0.002177,3,4
tank,0.002177,3,4
sunbeam,0.002177,3,4
tree,0.002174,10,196
consequence,0.002160,7,60
train,0.002160,7,64
woman,0.002136,7,155
teenager,0.002130,4,14
sword,0.002130,4,23
idle,0.002130,4,14
