word,tfidf_score,talk_frequency,global_frequency
gate,0.039601,17,33
gatekeeper,0.028809,8,14
aboutness,0.028809,8,9
calmly,0.013253,8,107
mecca,0.012216,3,3
month-long,0.010317,4,14
surface,0.009855,10,175
claustrophobic,0.009391,3,8
source,0.009300,10,362
clutter,0.008144,2,2
reptilian,0.008144,2,2
spatial,0.007738,3,17
survive,0.006837,3,29
concern,0.006748,9,290
womb,0.006565,3,44
enrich,0.005957,2,6
capacity,0.005733,9,423
cognize,0.005710,2,15
mammalian,0.005710,2,8
stomach,0.005710,2,7
journey,0.005657,4,124
ability,0.005505,7,246
caringly,0.005500,2,8
cathedral,0.005500,2,11
nervous,0.005425,3,55
careful,0.005391,5,134
sens,0.005208,4,153
afraid,0.005208,4,117
violent,0.005159,2,15
within,0.004931,12,561
profound,0.004786,5,225
tighten,0.004749,3,63
lifetime,0.004598,3,72
warn,0.004558,2,18
harmony,0.004284,3,148
brain,0.004163,3,112
space,0.004102,9,755
compel,0.004074,2,25
islam,0.004072,1,1
tranquilizer,0.004072,1,1
thievery,0.004072,1,1
neighborly,0.004072,1,1
lemonade,0.004072,1,1
mannerism,0.004072,1,1
profundity,0.004072,1,1
surface-sensing,0.004072,1,1
cross-purpose,0.004072,1,1
hollywood,0.004072,1,1
ketchup,0.004072,1,1
pushover,0.004072,1,1
synopsis,0.004072,1,1
system,0.004070,5,317
retreat,0.004063,6,433
eye,0.004048,14,665
mindfulness,0.003983,12,1055
calm,0.003974,8,853
filter,0.003944,2,32
advantage,0.003944,2,36
spacious,0.003906,3,114
crazy,0.003826,2,30
bore,0.003717,2,40
prevent,0.003666,2,41
apparently,0.003617,2,43
weary,0.003601,1,2
graphic,0.003601,1,2
elevator,0.003601,1,14
vipassana,0.003523,2,88
metaphor,0.003390,3,155
deep,0.003326,24,1807
downtown,0.003326,1,3
overactive,0.003326,1,3
chemical,0.003326,1,3
violate,0.003326,1,5
shirt,0.003326,1,4
nurture,0.003313,2,45
sentence,0.003313,2,48
skin,0.003275,2,62
catch,0.003220,6,488
reference,0.003210,3,161
wall,0.003202,2,67
park,0.003166,2,57
hatred,0.003162,3,214
construct,0.003132,2,118
thief,0.003130,1,17
mammal,0.003130,1,4
selfishness,0.003130,1,5
generous,0.003002,2,97
live,0.002984,14,1316
overactivated,0.002979,1,5
sensuality,0.002979,1,8
official,0.002979,1,5
pleasure,0.002958,4,727
alcohol,0.002855,1,8
ceiling,0.002855,1,9
innate,0.002855,1,9
sensitivity,0.002775,2,110
instruction,0.002770,3,221
cooky,0.002750,1,28
tactile,0.002750,1,14
interference,0.002750,1,8
track,0.002750,2,99
rich,0.002699,2,76
backward,0.002659,1,8
hormone,0.002659,1,8
flight,0.002659,1,14
lottery,0.002659,1,10
half,0.002651,2,104
note,0.002627,2,113
spot,0.002627,2,119
nice,0.002602,7,579
differentiate,0.002579,1,9
remorse,0.002579,1,15
netflix,0.002508,1,13
nail,0.002508,1,12
surroundings,0.002508,1,10
persistence,0.002508,1,22
world,0.002499,35,2570
