word,tfidf_score,talk_frequency,global_frequency
loss,0.059166,41,127
earring,0.032432,9,11
straatman,0.026826,9,49
hollowness,0.020374,5,5
maria,0.018344,9,75
sad,0.016775,10,58
egret,0.016640,5,9
glass,0.012666,7,57
depression,0.012229,6,29
cabinet,0.012224,3,3
herb,0.012224,3,3
grief,0.010706,8,143
poem,0.010592,9,411
questioner,0.010409,7,258
trip,0.010191,5,31
brother,0.010191,5,39
grieve,0.009571,5,48
whistle,0.009397,3,6
favorite,0.009301,6,59
ocean,0.009203,6,88
treasure,0.009123,4,37
break,0.008793,10,206
pond,0.008439,4,33
computer,0.008439,4,25
poetry,0.008292,4,93
useless,0.008256,3,13
calligraphy,0.008150,2,2
attachment,0.007553,7,262
sail,0.007528,3,30
miss,0.007435,5,71
dullness,0.007334,3,23
skipper,0.007207,2,5
save,0.007050,4,81
reincarnation,0.006656,2,11
beach,0.006570,3,24
pain,0.006462,10,518
attach,0.006291,5,124
analyze,0.006015,3,33
non-attachment,0.005961,2,9
complaint,0.005713,2,7
grim,0.005504,2,8
painful,0.005452,4,105
loosen,0.005428,3,41
die,0.005354,5,224
book,0.005351,6,272
house,0.005258,4,121
lose,0.005186,10,450
pocket,0.005162,2,11
everything,0.004966,19,957
ah,0.004948,4,126
sadness,0.004916,3,64
piece,0.004721,5,232
analysis,0.004561,2,25
dear,0.004507,3,128
anymore,0.004417,4,109
green,0.004380,2,20
hurt,0.004283,4,143
openness,0.004283,4,143
resign,0.004075,1,1
washer,0.004075,1,1
curiously,0.004075,1,1
not-thereness,0.004075,1,1
heron,0.004075,1,1
haha,0.004075,1,1
saintly,0.004075,1,1
henchman,0.004075,1,1
terrorize,0.004075,1,1
bottomlessness,0.004075,1,1
ii,0.004075,1,1
60-some,0.004075,1,1
business,0.004010,2,24
half,0.003979,3,104
wasn't,0.003930,6,310
tell,0.003814,9,647
yesterday,0.003804,4,167
sorry,0.003668,2,33
song,0.003619,2,51
stroll,0.003604,1,2
immensely,0.003604,1,2
champagne,0.003604,1,2
reframing,0.003604,1,3
budbill,0.003604,1,2
unload,0.003604,1,2
emote,0.003604,1,2
paternal,0.003604,1,2
castigate,0.003604,1,2
okay,0.003598,12,1205
decide,0.003589,3,129
tear,0.003571,2,39
nobody,0.003525,2,59
expect,0.003446,3,105
shut,0.003437,2,46
phone,0.003396,2,65
grateful,0.003396,2,46
exact,0.003396,2,42
didn't,0.003334,7,543
cite,0.003328,1,3
income,0.003328,1,4
menlo,0.003328,1,3
hirshfield,0.003328,1,3
loan,0.003328,1,8
purple,0.003328,1,4
grandson,0.003328,1,3
soothe,0.003277,2,55
warm,0.003262,3,128
beautiful,0.003133,6,592
laundry,0.003132,1,4
humorous,0.003132,1,4
sticker,0.003132,1,5
emperor,0.003132,1,5
bully,0.003132,1,4
grandfather,0.003132,1,4
cliff,0.003132,1,6
lighten,0.003132,1,4
insignificant,0.003132,1,4
laptop,0.003132,1,5
suddenly,0.003068,2,53
story,0.003011,7,1137
brief,0.003004,2,102
hold,0.002987,13,1072
sailboat,0.002981,1,14
dye,0.002981,1,5
gorgeous,0.002981,1,5
jane,0.002981,1,7
delicious,0.002981,1,7
file,0.002981,1,6
require,0.002874,3,160
isn't,0.002857,5,419
stun,0.002857,1,7
marriage,0.002857,1,9
snap,0.002857,1,6
apartment,0.002857,1,8
recur,0.002857,1,7
apart,0.002831,2,79
leaf,0.002804,2,67
impermanence,0.002777,2,145
courageous,0.002752,1,14
nevertheless,0.002752,1,9
department,0.002752,1,8
soar,0.002752,1,11
papanca,0.002752,1,35
stupid,0.002752,1,10
sure,0.002747,4,267
david,0.002661,1,16
stickiness,0.002661,1,14
notice,0.002651,9,1251
lack,0.002629,2,99
real,0.002620,4,245
monday,0.002606,2,72
disappear,0.002606,2,125
terrible,0.002583,2,126
enthusiasm,0.002581,1,15
anxiety,0.002560,2,105
picture,0.002516,2,124
usually,0.002515,4,260
sort,0.002478,3,289
specific,0.002453,2,97
huh,0.002445,1,11
righteous,0.002445,1,17
fish,0.002445,1,29
sand,0.002445,1,15
grain,0.002445,1,13
winter,0.002445,1,14
self-criticism,0.002445,1,21
yes,0.002415,4,418
guest,0.002385,1,15
able,0.002384,7,658
memory,0.002354,2,152
light,0.002350,4,502
dig,0.002331,1,28
myth,0.002331,1,44
lately,0.002331,1,14
advise,0.002331,1,14
proliferation,0.002331,1,29
unhappiness,0.002331,1,21
obsess,0.002331,1,16
clearly,0.002318,4,423
read,0.002318,4,444
bag,0.002281,1,25
bay,0.002281,1,17
yell,0.002281,1,18
pass,0.002279,2,155
angry,0.002261,2,186
important,0.002250,10,881
literally,0.002244,2,102
assign,0.002234,1,23
lovely,0.002209,2,123
air,0.002192,2,172
daughter,0.002190,1,33
already,0.002175,3,272
lend,0.002149,1,19
string,0.002149,1,24
tree,0.002125,2,215
pair,0.002110,1,45
shade,0.002110,1,19
south,0.002110,1,24
fist,0.002110,1,55
replace,0.002110,1,22
attract,0.002110,1,29
fantasize,0.002073,1,26
dead,0.002073,1,29
leave,0.002041,5,511
heaviness,0.002038,1,41
impossible,0.002038,1,28
extremely,0.002038,1,24
finally,0.002031,2,156
describe,0.002005,3,289
rely,0.002005,1,36
they'd,0.002005,1,28
tongue,0.002005,1,30
contemplate,0.001973,1,34
reflection,0.001944,2,215
dry,0.001943,1,40
husband,0.001943,1,42
paper,0.001914,1,36
depress,0.001914,1,27
still,0.001895,8,827
old,0.001888,2,202
slip,0.001860,1,33
fault,0.001860,1,51
opportunity,0.001848,2,180
image,0.001835,2,211
shake,0.001834,1,36
fell,0.001809,1,33
brightness,0.001809,1,64
restlessness,0.001809,1,76
context,0.001796,2,209
possibility,0.001796,2,176
reason,0.001786,3,296
report,0.001786,1,38
shop,0.001786,1,48
poet,0.001786,1,52
enjoy,0.001784,2,198
saw,0.001784,2,198
wisely,0.001763,1,34
emptiness,0.001763,1,85
material,0.001740,1,54
importance,0.001740,1,36
kindness,0.001738,3,566
characterize,0.001719,1,40
access,0.001698,1,48
white,0.001698,1,61
mean,0.001695,13,1547
wonderful,0.001695,4,545
slide,0.001677,1,81
pretend,0.001677,1,52
add,0.001675,2,300
always,0.001674,6,759
pay,0.001640,2,235
lift,0.001639,1,58
stretch,0.001639,1,61
sudden,0.001639,1,65
shift,0.001634,3,471
joy,0.001634,3,946
carry,0.001629,2,221
sink,0.001620,1,54
happen,0.001619,21,2196
bright,0.001602,1,70
heavy,0.001602,1,58
grab,0.001602,1,77
enlighten,0.001602,1,55
walk,0.001589,3,579
wear,0.001584,1,72
park,0.001584,1,57
among,0.001584,1,62
tighten,0.001584,1,63
buy,0.001584,1,72
midst,0.001567,1,56
blame,0.001550,1,109
dark,0.001550,1,59
honest,0.001550,1,71
watch,0.001542,2,264
window,0.001518,1,74
mother,0.001518,1,97
exercise,0.001502,1,68
search,0.001502,1,72
war,0.001502,1,77
vision,0.001502,1,180
place,0.001484,13,1656
ear,0.001457,1,77
conscious,0.001443,1,70
loud,0.001443,1,65
intimate,0.001443,1,62
conclusion,0.001443,1,58
i'd,0.001419,3,454
unknown,0.001415,1,51
floor,0.001415,1,79
slightly,0.001402,1,65
away,0.001400,8,1076
ago,0.001392,2,279
rock,0.001389,1,83
parent,0.001389,1,82
mood,0.001363,1,96
country,0.001363,1,100
interpret,0.001363,1,83
man,0.001363,1,142
tie,0.001363,1,77
tonight,0.001338,1,105
oppose,0.001338,1,90
particularly,0.001326,1,98
confuse,0.001326,1,74
single,0.001314,1,90
spirit,0.001314,1,108
question,0.001310,3,888
bad,0.001301,2,467
course,0.001296,4,733
fact,0.001284,2,255
member,0.001280,1,189
