word,tfidf_score,talk_frequency,global_frequency
observe,0.031054,16,121
attentional,0.027386,9,47
faculty,0.017274,7,74
vipassana,0.017274,7,87
prefix,0.015966,4,13
comprehension,0.012975,4,34
river,0.012466,7,347
v,0.010798,3,17
mindfulness,0.010603,22,952
recognition,0.010404,7,213
cognitive,0.010293,4,52
wash,0.009490,4,51
watch,0.008949,8,243
aware,0.008782,13,590
shore,0.008630,3,101
awareness,0.008487,17,1247
vi,0.007685,2,10
root,0.007058,4,143
outdoors,0.006810,2,27
sensation,0.006747,12,867
rerun,0.006642,2,17
simple,0.006471,12,704
lead,0.006059,7,527
visual,0.005968,2,24
clear,0.005882,11,560
establish,0.005765,3,69
capacity,0.005588,6,384
stabilize,0.005147,2,66
anupassana,0.005054,1,2
anu,0.005054,1,2
greenery,0.005054,1,2
well-practiced,0.005054,1,2
samadhi,0.005043,6,1514
remove,0.004935,2,40
wave,0.004931,3,162
distinguish,0.004685,2,50
bonfire,0.004662,1,3
indistinct,0.004662,1,3
distinctly,0.004662,1,3
emphasis,0.004532,3,114
actively,0.004517,2,46
outdoor,0.004384,1,5
aloof,0.004384,1,4
fireplace,0.004384,1,4
higher-order,0.004384,1,4
nothing,0.004373,7,464
translate,0.004281,4,243
present,0.004231,16,1195
intimate,0.004173,2,57
oscillate,0.004168,1,5
handful,0.004168,1,7
easygoing,0.004168,1,5
scenery,0.004168,1,5
physicality,0.003991,1,8
endlessly,0.003991,1,6
sampajanna,0.003991,1,8
monitor,0.003991,1,6
awake,0.003843,2,78
tactile,0.003842,1,14
particularity,0.003842,1,11
sens,0.003806,2,139
perception,0.003806,2,207
relax,0.003728,10,1230
thinker,0.003713,1,13
blend,0.003713,1,13
originally,0.003713,1,12
bench,0.003713,1,15
figure,0.003670,3,218
buddhism,0.003645,4,515
thigh,0.003599,1,9
detach,0.003599,1,12
fire,0.003595,2,144
understand,0.003591,12,1194
alongside,0.003497,1,13
generalize,0.003497,1,13
flow,0.003488,4,564
recognize,0.003430,6,653
collective,0.003405,1,12
experientially,0.003405,1,13
play,0.003356,3,271
secular,0.003321,1,76
raw,0.003321,1,14
distant,0.003321,1,19
coordinate,0.003321,1,28
holistic,0.003321,1,22
perspective,0.003316,2,191
act,0.003283,3,316
comparable,0.003244,1,15
refer,0.003176,2,104
nonverbal,0.003172,1,33
beach,0.003172,1,22
direct,0.003141,3,270
overview,0.003105,1,23
lend,0.003105,1,16
combination,0.003105,1,21
wherever,0.003072,2,101
vibrate,0.003043,1,19
breathe,0.002985,9,2454
glow,0.002984,1,29
continuously,0.002929,1,26
vibration,0.002877,1,26
diffuse,0.002877,1,32
motion,0.002877,1,33
calm,0.002873,4,801
appear,0.002855,2,133
onward-leading,0.002827,1,55
support,0.002800,7,928
analyze,0.002780,1,33
orientation,0.002745,2,192
discus,0.002735,1,28
entangle,0.002651,1,37
simply,0.002616,3,302
verbal,0.002611,1,39
general,0.002600,2,168
emphasize,0.002600,2,159
operate,0.002580,2,256
outward,0.002537,1,36
technique,0.002537,1,48
body,0.002503,27,3238
accomplish,0.002502,1,44
dynamic,0.002468,1,46
able,0.002453,5,610
softness,0.002435,1,37
rest,0.002431,5,550
presence,0.002428,2,213
fix,0.002410,2,275
outwards,0.002403,1,48
divide,0.002403,1,55
expand,0.002374,2,183
tension,0.002341,3,604
intimacy,0.002314,1,44
liberate,0.002259,1,57
park,0.002259,1,50
category,0.002232,1,73
seem,0.002230,4,478
invite,0.002188,2,316
dark,0.002181,1,57
friendliness,0.002181,1,177
generous,0.002157,1,92
welfare,0.002157,1,99
ease,0.002139,3,533
smell,0.002110,1,78
forest,0.002087,1,108
tradition,0.002079,2,330
difference,0.002064,2,226
settle,0.002056,6,1501
benefit,0.002049,2,253
perceive,0.002022,1,99
anywhere,0.002022,1,62
classic,0.002022,1,62
unify,0.002001,1,90
leaf,0.002001,1,63
particular,0.001965,3,433
unknown,0.001960,1,50
prepare,0.001941,1,77
ahead,0.001922,1,76
except,0.001922,1,71
natural,0.001904,2,335
consider,0.001904,2,273
fall,0.001890,2,279
wonderful,0.001889,3,485
fit,0.001885,1,83
location,0.001885,1,87
current,0.001866,1,116
monday,0.001866,1,67
describe,0.001863,2,273
result,0.001849,1,98
introduce,0.001831,1,75
distinction,0.001831,1,96
spaciousness,0.001814,1,214
contraction,0.001797,1,91
absorb,0.001797,1,130
naturally,0.001797,1,83
disappear,0.001781,1,125
liberation,0.001765,1,113
belong,0.001765,1,103
enough,0.001751,5,733
taste,0.001749,1,148
steady,0.001733,1,168
art,0.001733,1,139
attention,0.001732,6,1261
helpful,0.001731,2,562
role,0.001717,1,122
adjust,0.001717,1,92
stable,0.001687,1,108
clearly,0.001656,2,387
strain,0.001629,1,131
together,0.001628,6,1021
broad,0.001615,1,118
english,0.001602,1,111
night,0.001588,1,173
nourish,0.001588,1,119
touch,0.001577,3,493
join,0.001562,1,113
ancient,0.001562,1,141
stability,0.001562,1,169
satisfy,0.001562,1,136
careful,0.001549,1,122
eventually,0.001536,1,103
individual,0.001536,1,105
gaze,0.001536,1,152
supportive,0.001523,1,131
tree,0.001523,1,196
aren't,0.001511,1,129
