word,tfidf_score,talk_frequency,global_frequency
intelligence,0.093670,41,120
beauty,0.026585,19,167
intelligent,0.024070,8,24
elegant,0.018833,5,13
dancer,0.017156,5,48
beautiful,0.016309,26,558
attentional,0.015720,6,47
faculty,0.012769,6,74
tai,0.012014,3,8
chi,0.012014,3,8
ceremony,0.011167,4,26
tea,0.010936,5,52
beautifully,0.010922,4,22
arm,0.010650,8,121
hurry,0.010106,5,81
hijack,0.008790,3,17
intelligently,0.008680,2,4
present-moment,0.008375,3,24
consideration,0.008147,5,65
drink,0.007890,4,63
intentionality,0.007568,3,30
cup,0.007185,3,50
awareness,0.007183,17,1263
satisfy,0.006656,5,141
japanese,0.006608,2,20
reference,0.006549,5,148
figure,0.006336,6,219
purpose,0.006243,6,278
spatial,0.006192,2,17
mental,0.006122,7,347
graceful,0.006018,2,12
engage,0.005865,7,323
rerun,0.005716,2,17
consider,0.005699,7,281
strain,0.005504,4,134
intentional,0.005465,3,58
use,0.005398,28,1194
activity,0.005305,7,448
stance,0.005240,2,20
fantasize,0.005045,2,25
expression,0.004955,4,128
note,0.004796,3,108
dance,0.004640,2,45
aware,0.004552,8,622
operate,0.004450,4,257
review,0.004437,2,37
choice,0.004344,3,149
essentializing,0.004340,1,2
attentionally,0.004340,1,2
peace-producing,0.004340,1,2
expressive,0.004340,1,2
chado,0.004340,1,2
un-beautiful,0.004340,1,2
question,0.004247,8,842
experiment,0.004093,2,49
unself-conscious,0.004005,1,3
reconstruction,0.004005,1,3
catastrophize,0.004005,1,3
sunrise,0.004005,1,3
gracefulness,0.004005,1,4
usage,0.004005,1,3
elegance,0.004005,1,3
capacity,0.003928,5,402
grab,0.003809,2,77
composite,0.003767,1,4
recruit,0.003767,1,6
resent,0.003767,1,4
forward-leading,0.003767,1,6
activate,0.003766,2,86
present,0.003752,17,1235
tire,0.003724,2,82
act,0.003705,4,338
breathe,0.003635,13,2491
attentive,0.003605,2,52
creatively,0.003582,1,9
curiosity,0.003493,2,104
empower,0.003431,1,8
beg,0.003431,1,8
differ,0.003431,1,6
generic,0.003304,1,7
