word,tfidf_score,talk_frequency,global_frequency
sean,0.022175,7,7
dread,0.019966,10,18
protective,0.012911,5,9
nervous,0.012699,9,54
oakes,0.012671,4,4
fear,0.011180,24,506
energy,0.010435,21,443
somatic,0.010297,5,18
exposure,0.009715,4,7
mood,0.009648,9,92
feit,0.009503,3,3
dosa,0.009503,3,3
therapy,0.009216,5,24
system,0.009137,14,299
dangerous,0.008979,6,34
moha,0.008395,3,8
flight,0.008237,4,14
strategy,0.007991,5,31
lodge,0.007747,3,6
aversive,0.007482,5,34
hindrance,0.007360,7,198
asian,0.007287,3,6
remote,0.007287,3,6
sati,0.007053,6,94
type,0.006819,8,182
quality,0.006745,17,625
emotion,0.006647,13,388
sampajanna,0.006638,3,8
memory,0.006376,7,149
lobha,0.006336,2,2
janussoni,0.006336,2,2
hair-raising,0.006336,2,2
shrine,0.006336,2,2
deactivation,0.006336,2,2
conduct,0.006284,4,32
danger,0.005941,5,73
hatred,0.005871,7,198
overcome,0.005724,4,58
bhayabherava,0.005597,2,3
typology,0.005597,2,3
equinox,0.005597,2,4
seal,0.005597,2,5
raga,0.005597,2,3
go-to,0.005597,2,3
awe-inspiring,0.005597,2,3
participant,0.005402,3,39
contact,0.005343,7,225
list,0.005262,7,269
invoke,0.005164,2,4
response,0.005114,6,198
pleasant,0.005071,8,351
text,0.004883,5,130
ill,0.004883,5,142
south,0.004881,3,24
restless,0.004881,3,29
disappoint,0.004881,3,25
homage,0.004858,2,7
unpleasant,0.004839,5,233
energetic,0.004795,3,29
weave,0.004795,3,35
deal,0.004713,5,110
european,0.004620,2,6
forest,0.004555,4,123
bless,0.004508,4,119
fight,0.004508,4,103
majjhima,0.004489,3,30
greed,0.004476,6,247
situational,0.004425,2,8
twig,0.004425,2,7
buddha,0.004405,23,1883
class,0.004246,4,116
hip,0.004233,3,31
narrative,0.004233,3,46
mindfulness,0.004231,16,990
aspect,0.004209,8,271
phd,0.004119,2,14
alternate,0.004119,2,10
personality,0.004119,3,53
delusion,0.004030,5,219
produce,0.004012,3,47
heartbreak,0.003993,2,22
physical,0.003973,6,212
mental,0.003927,7,352
brahmin,0.003881,2,48
emotional,0.003803,6,228
northern,0.003779,2,15
dullness,0.003779,2,23
torpor,0.003779,2,26
name,0.003709,7,307
folk,0.003706,4,124
ancestor,0.003686,2,19
sloth,0.003686,2,29
flesh,0.003686,2,13
purity,0.003686,2,21
category,0.003645,3,75
forward,0.003631,7,229
lust,0.003601,2,17
trauma,0.003601,2,22
contemporary,0.003522,2,28
party,0.003522,2,22
bodily,0.003489,3,102
nikaya,0.003452,3,69
passion,0.003449,2,36
summary,0.003449,2,20
basic,0.003437,4,132
low,0.003437,4,140
preserve,0.003380,2,22
combination,0.003380,2,22
sensory,0.003380,2,33
ascetic,0.003380,2,27
relation,0.003315,2,32
state,0.003278,10,843
foundation,0.003275,4,165
draw,0.003248,3,95
co-producing,0.003168,1,1
prequel,0.003168,1,1
teaser,0.003168,1,1
pomo,0.003168,1,1
prana,0.003168,1,1
atapi,0.003168,1,1
x3,0.003168,1,1
post-european,0.003168,1,1
cross-tradition,0.003168,1,1
autonomic,0.003168,1,1
neurobiological,0.003168,1,1
approach-avoidance,0.003168,1,1
neurobiology,0.003168,1,1
physiologically,0.003168,1,1
instinctually,0.003168,1,1
somaticized,0.003168,1,1
structurally,0.003168,1,1
unawakened,0.003168,1,1
unpurified,0.003168,1,1
unethically,0.003168,1,1
specially,0.003168,1,1
portentous,0.003168,1,1
14th,0.003168,1,1
8th,0.003168,1,1
uposatha,0.003168,1,1
peacock,0.003168,1,1
misinformation,0.003168,1,1
grief,0.003154,3,137
emotionally,0.003142,2,27
reactivity,0.003124,3,146
analyze,0.003090,2,33
chant,0.003040,2,47
translation,0.003038,3,108
core,0.002956,3,130
awaken,0.002949,5,432
doubt,0.002930,3,164
north,0.002862,2,35
situation,0.002845,5,322
stable,0.002828,3,108
restlessness,0.002822,2,75
15-20,0.002798,1,2
tailbone,0.002798,1,2
ardency,0.002798,1,3
namo,0.002798,1,3
tassa,0.002798,1,3
bhagavato,0.002798,1,2
