word,tfidf_score,talk_frequency,global_frequency
brahma,0.028174,9,77
metta,0.024391,13,453
viharas,0.020153,6,42
lovingkindness,0.017017,3,6
non-aversion,0.015702,3,9
loving-kindness,0.015010,8,185
uncontrived,0.012844,2,2
ease,0.011938,15,551
1of,0.011345,2,5
sufi,0.011345,2,4
non-separation,0.010468,2,9
interconnectedness,0.010468,2,5
anguish,0.010468,2,6
mudita,0.010273,3,82
vihara,0.009846,2,6
tribe,0.009846,2,6
subject,0.009735,4,109
table,0.009550,3,31
salzberg,0.008636,2,10
sharon,0.008348,2,14
upekkha,0.007659,2,17
none,0.007468,3,50
fundamental,0.007384,3,52
injustice,0.007298,2,18
patience,0.007221,3,331
karuna,0.007138,2,36
openness,0.006738,4,140
radiate,0.006643,3,112
empathy,0.006594,2,89
mariel,0.006422,1,1
stman,0.006422,1,1
unselfish,0.006422,1,1
hysteresis,0.006422,1,1
procedure,0.006422,1,1
forster,0.006422,1,1
horribly,0.006422,1,1
dreamy,0.006422,1,1
all-inclusive,0.006422,1,1
undeserving,0.006422,1,1
tonight,0.006210,3,105
discus,0.006160,2,28
ignorance,0.006064,2,46
wish,0.005958,10,583
embrace,0.005884,2,59
ah,0.005777,3,125
outward,0.005717,2,36
shun,0.005672,1,2
frugal,0.005672,1,2
rabbi,0.005672,1,2
rule,0.005563,2,58
bear,0.005480,4,235
dream,0.005419,2,55
sorrow,0.005284,2,51
hafiz,0.005234,1,7
mystic,0.005234,1,3
discriminate,0.005234,1,3
reprove,0.005234,1,5
omit,0.005234,1,3
unborn,0.005234,1,4
pure-hearted,0.005234,1,7
grandmother,0.005234,1,3
cloak,0.005234,1,4
mosquito,0.005234,1,3
spider,0.005234,1,8
lightness,0.005219,2,80
everything,0.005175,12,900
room,0.005142,6,434
learner,0.004923,1,9
turmoil,0.004923,1,5
discrimination,0.004923,1,4
mighty,0.004923,1,5
despise,0.004923,1,5
short,0.004819,3,133
mother,0.004762,2,96
true,0.004744,5,415
child,0.004708,3,212
flatten,0.004682,1,6
unburden,0.004682,1,5
drowsiness,0.004682,1,7
grandchild,0.004682,1,7
kindness,0.004609,5,545
heart,0.004583,19,1679
arrive,0.004565,3,158
connect,0.004560,7,661
abide,0.004519,2,155
deceive,0.004485,1,9
upwards,0.004485,1,6
unbounded,0.004485,1,11
morality,0.004318,1,15
elate,0.004318,1,12
romantic,0.004318,1,7
recollection,0.004318,1,15
totality,0.004318,1,7
acknowledgment,0.004318,1,8
repress,0.004318,1,13
bodhicitta,0.004318,1,10
walk,0.004253,5,549
book,0.004234,3,252
love,0.004196,14,1742
compound,0.004174,1,10
e,0.004174,1,14
intention,0.004171,3,260
afraid,0.004140,2,103
spirit,0.004102,2,107
chin,0.004046,1,10
unconditional,0.004046,1,13
stem,0.004046,1,14
conceited,0.004046,1,10
boundless,0.004046,1,16
cherish,0.004046,1,15
ill,0.003955,2,142
occupy,0.003933,1,10
flexible,0.003933,1,11
proud,0.003933,1,11
celebration,0.003933,1,12
indulge,0.003933,1,13
market,0.003933,1,11
belong,0.003920,2,105
straatmann,0.003829,1,11
mythic,0.003829,1,15
downward,0.003829,1,12
bodhisattva,0.003829,1,21
safety,0.003818,2,118
include,0.003804,5,393
restful,0.003735,1,15
surf,0.003735,1,15
scary,0.003735,1,12
isolate,0.003735,1,15
sucitto,0.003735,1,20
read,0.003660,4,427
overly,0.003649,1,19
sympathetic,0.003649,1,24
may,0.003583,23,2204
elbow,0.003569,1,32
knock,0.003569,1,21
unseen,0.003569,1,14
farmer,0.003569,1,42
night,0.003567,2,174
divine,0.003494,1,25
generosity,0.003452,2,257
joy,0.003428,4,929
tall,0.003424,1,16
die,0.003369,2,216
wonder,0.003369,2,144
straightforward,0.003359,1,22
duty,0.003297,1,36
sublime,0.003297,1,26
joyful,0.003297,1,29
rest,0.003257,6,558
ideal,0.003239,1,25
gladness,0.003239,1,48
maria,0.003183,1,75
quote,0.003138,2,150
bad,0.003102,3,456
harsh,0.003080,1,31
dangerous,0.003080,1,33
silly,0.003080,1,30
view,0.003058,3,679
humble,0.003032,1,24
weak,0.003032,1,36
deserve,0.003032,1,33
attack,0.003032,1,35
buddhism,0.003015,3,528
uncertainty,0.002986,1,36
incredibly,0.002986,1,33
entangle,0.002986,1,37
men,0.002986,1,61
equanimity,0.002952,2,460
space,0.002952,4,711
appreciative,0.002942,1,83
famous,0.002942,1,31
skilled,0.002942,1,33
simply,0.002908,3,309
hour,0.002908,2,193
irritation,0.002900,1,40
courage,0.002900,1,89
group,0.002865,2,246
hip,0.002859,1,31
gradually,0.002859,1,43
poet,0.002819,1,49
entirely,0.002819,1,36
celebrate,0.002819,1,59
ask,0.002797,4,676
nature,0.002785,3,397
zone,0.002781,1,38
