word,tfidf_score,talk_frequency,global_frequency
citta,0.042807,16,22
memory,0.028609,25,148
messiness,0.021114,6,7
tanya,0.016052,6,20
additive,0.015943,4,4
track,0.015168,11,90
add,0.013948,17,288
subtractive,0.011957,3,3
dissect,0.011957,3,3
brain,0.009460,7,110
susan,0.009157,3,15
pre-verbal,0.007972,2,2
delicately,0.007972,2,2
punnavaddho,0.007972,2,2
field,0.007609,9,251
simplify,0.007273,4,46
surround,0.007273,4,35
heart-mind,0.007113,3,21
courtroom,0.007038,2,3
ionic,0.007038,2,4
chloride,0.007038,2,4
minuscule,0.007038,2,4
buoyancy,0.007038,2,4
salt,0.006937,3,22
sodium,0.006492,2,5
preserve,0.006356,3,22
block,0.006291,4,68
contract,0.006200,5,96
pain,0.006116,10,503
magnetic,0.006105,2,5
adaptive,0.006105,2,6
imprint,0.006105,2,5
contradiction,0.006105,2,6
atom,0.006105,2,7
d,0.006105,2,8
disperse,0.006105,2,7
medium,0.006007,4,78
consciousness,0.006007,4,129
ajahn,0.005750,4,108
essential,0.005623,3,34
mass,0.005558,2,8
molecule,0.005558,2,8
mix,0.005455,3,29
neuron,0.005351,2,10
proliferate,0.005351,2,12
resistance,0.005149,4,122
proceed,0.005012,2,10
detail,0.004960,4,105
diminish,0.004956,3,57
rearrange,0.004870,2,14
vital,0.004870,2,13
article,0.004742,2,15
choose,0.004639,6,246
sucitto,0.004625,2,20
possess,0.004625,2,15
poem,0.004617,4,393
impact,0.004577,4,127
tone,0.004556,3,100
substance,0.004517,2,16
rosemary,0.004417,2,35
matter,0.004345,7,286
notice,0.004343,15,1190
bond,0.004237,2,32
perceive,0.004223,3,99
apart,0.004179,3,76
predict,0.004156,2,24
trommer,0.004079,2,34
delusion,0.004073,4,215
resist,0.004054,3,92
change,0.004015,14,1414
awake,0.004014,3,78
wise,0.004007,6,432
persist,0.004006,2,22
usefulness,0.003986,1,1
misconstrue,0.003986,1,1
georgia,0.003986,1,1
o'keeffe,0.003986,1,1
leah,0.003986,1,1
purpura,0.003986,1,1
interrelationship,0.003986,1,1
restore,0.003986,1,1
jonah,0.003986,1,1
lehrer,0.003986,1,1
henri,0.003986,1,1
bergson,0.003986,1,1
tricycle,0.003986,1,1
constraint,0.003986,1,1
transubstantiation,0.003986,1,1
tinge,0.003986,1,1
blocker,0.003986,1,1
sooner,0.003871,2,24
care,0.003840,18,1588
inhabit,0.003809,2,31
stuff,0.003793,4,183
entangle,0.003691,2,37
north,0.003584,2,35
shut,0.003533,2,39
apprehend,0.003519,1,2
traumatic,0.003519,1,2
cellular,0.003519,1,2
organizational,0.003519,1,2
synthesize,0.003519,1,2
storehouse,0.003519,1,4
resilient,0.003519,1,2
compost,0.003519,1,3
water,0.003489,5,487
guess,0.003463,3,117
metta,0.003463,3,453
star,0.003436,2,47
busy,0.003404,3,93
carry,0.003307,4,199
love,0.003272,18,1737
non-harming,0.003262,2,70
thoughtful,0.003246,1,3
compass,0.003246,1,6
gauge,0.003246,1,3
enmesh,0.003246,1,4
honeyball,0.003246,1,9
recreate,0.003246,1,4
alchemy,0.003246,1,3
sham,0.003246,1,3
tree,0.003182,3,196
answer,0.003162,4,245
hatred,0.003156,3,197
past,0.003139,4,227
heart,0.003137,21,1666
separate,0.003055,3,144
split,0.003052,1,4
neuroscientist,0.003052,1,4
revisit,0.003052,1,5
digest,0.003052,1,4
haunt,0.003052,1,6
naturalist,0.003052,1,6
simply,0.003036,5,302
rush,0.003003,2,58
level,0.003003,4,282
storyline,0.002902,1,5
update,0.002902,1,5
magazine,0.002902,1,5
fragile,0.002902,1,5
transmute,0.002902,1,10
organize,0.002815,2,153
dissolve,0.002786,2,83
mind-heart,0.002779,1,7
numb,0.002779,1,15
soup,0.002779,1,6
meet,0.002736,6,600
lean,0.002730,2,80
wholeness,0.002703,2,147
participate,0.002703,2,117
stream,0.002676,2,107
wire,0.002675,1,8
offline,0.002675,1,8
soften,0.002651,6,544
perception,0.002650,2,207
version,0.002650,2,96
member,0.002624,2,171
amorphous,0.002585,1,8
prediction,0.002585,1,9
torture,0.002585,1,11
erode,0.002585,1,9
messy,0.002585,1,9
shape,0.002574,2,76
restraint,0.002506,1,11
nope,0.002506,1,14
clue,0.002506,1,10
sweetheart,0.002506,1,19
fire,0.002503,2,144
quality,0.002501,5,620
mindful,0.002461,3,257
future,0.002461,3,217
bring,0.002446,14,1164
inside,0.002444,5,429
force,0.002443,3,219
dialogue,0.002435,1,18
puzzle,0.002435,1,71
mud,0.002435,1,16
ah,0.002413,2,109
true,0.002393,4,389
argument,0.002371,1,18
writer,0.002371,1,22
necessity,0.002371,1,16
symbol,0.002371,1,17
lotus,0.002371,1,25
imagery,0.002371,1,23
choice,0.002350,2,148
subtly,0.002312,1,12
creation,0.002259,1,17
battle,0.002259,1,38
organ,0.002259,1,18
trauma,0.002259,1,22
distort,0.002259,1,27
