word,tfidf_score,talk_frequency,global_frequency
empathy,0.032883,10,89
tenderness,0.023453,8,57
karuna,0.021367,6,36
she'd,0.019633,5,18
viharas,0.013401,4,42
brahma,0.012484,4,77
nod,0.011780,3,12
compassion,0.011661,12,675
heartbroken,0.011348,2,3
hostile,0.011186,3,16
hit,0.010935,4,67
steel,0.010467,2,5
dementia,0.010467,2,4
ada,0.010467,2,5
limon,0.010467,2,5
daughter,0.010459,3,31
vessel,0.009843,2,9
hungry,0.009689,3,51
suffer,0.009228,18,1632
energy,0.008941,9,441
tender,0.007991,3,49
heart,0.007947,33,1666
hospice,0.007853,2,24
truly,0.007699,3,42
isolate,0.007457,2,15
container,0.007283,2,18
compassionate,0.007105,3,71
break,0.007025,5,188
vow,0.006973,2,29
movement,0.006932,9,450
woman,0.006880,3,170
scar,0.006832,2,24
he'd,0.006832,2,23
bed,0.006739,3,62
gather,0.006714,5,319
recall,0.006701,2,22
laugh,0.006701,2,42
storti,0.006427,1,1
etch,0.006427,1,1
remedy,0.006427,1,1
burnish,0.006427,1,1
hieroglyph,0.006427,1,1
souvenir,0.006427,1,1
facile,0.006427,1,1
gornstein,0.006427,1,1
dizziness,0.006427,1,1
venom,0.006427,1,1
bleak,0.006427,1,1
stepfather,0.006427,1,1
grill,0.006427,1,1
maria,0.006348,2,75
husband,0.006141,2,41
flow,0.005874,6,564
jittery,0.005674,1,2
self-focused,0.005674,1,2
id,0.005674,1,2
tag,0.005674,1,2
cardiology,0.005674,1,2
litter,0.005674,1,2
cockroach,0.005674,1,2
bud,0.005674,1,2
emptiness,0.005467,2,85
cry,0.005396,2,55
commitment,0.005327,2,56
type,0.005260,3,178
tentative,0.005234,1,3
openhearted,0.005234,1,5
russian,0.005234,1,4
russia,0.005234,1,3
debbie,0.005234,1,3
snore,0.005234,1,3
snippet,0.005234,1,3
buddy,0.005234,1,3
pizza,0.005234,1,3
sustain,0.005071,2,141
pain,0.004931,5,503
muster,0.004921,1,4
ebb,0.004921,1,7
cough,0.004921,1,6
breadth,0.004921,1,4
joan,0.004921,1,5
halifax,0.004921,1,5
formerly,0.004921,1,4
changeable,0.004679,1,5
tenderly,0.004679,1,5
totally,0.004636,2,92
i'd,0.004551,6,426
sensitivity,0.004492,2,95
nasty,0.004481,1,6
department,0.004481,1,7
lash,0.004481,1,9
smoothness,0.004314,1,9
locate,0.004314,1,8
useless,0.004314,1,13
con,0.004169,1,8
toss,0.004169,1,11
restaurant,0.004169,1,9
near,0.004073,2,112
violent,0.004041,1,15
toward,0.004036,2,152
action,0.003939,3,320
gently,0.003911,5,398
straatmann,0.003823,1,11
artist,0.003823,1,13
pile,0.003823,1,19
pack,0.003823,1,14
brilliant,0.003729,1,12
poem,0.003722,2,393
memory,0.003690,2,148
underestimate,0.003642,1,17
warn,0.003642,1,16
stillness,0.003627,2,179
soft,0.003605,3,246
night,0.003566,2,173
black,0.003561,1,20
determination,0.003561,1,20
front,0.003536,2,114
hand,0.003534,5,474
tell,0.003479,5,560
ourself,0.003416,1,21
blade,0.003416,1,20
story,0.003396,5,988
head,0.003375,3,267
explanation,0.003350,1,22
grace,0.003350,1,22
blood,0.003288,1,30
dish,0.003288,1,25
cat,0.003288,1,38
everybody,0.003231,2,196
energetic,0.003230,1,29
table,0.003174,1,31
piece,0.003106,2,218
instance,0.003070,1,35
selfish,0.003070,1,30
coffee,0.003070,1,39
dog,0.003070,1,41
sorry,0.003022,1,29
gentleness,0.003022,1,34
arrive,0.003010,2,158
source,0.002987,2,340
smooth,0.002976,1,33
volunteer,0.002932,1,57
overcome,0.002889,1,58
somebody,0.002875,2,343
hi,0.002848,1,36
red,0.002848,1,46
tear,0.002848,1,36
entirely,0.002809,1,36
phone,0.002770,1,61
softness,0.002734,1,37
isn't,0.002708,3,392
white,0.002698,1,59
sadness,0.002664,1,60
sorrow,0.002630,1,51
bias,0.002598,1,50
tiny,0.002598,1,49
leave,0.002588,4,469
sort,0.002568,2,276
alert,0.002536,1,48
sink,0.002506,1,54
jaw,0.002506,1,48
whose,0.002477,1,43
stop,0.002475,3,457
write,0.002457,2,238
dark,0.002449,1,57
stay,0.002448,5,814
favorite,0.002421,1,58
tire,0.002421,1,82
sleep,0.002421,1,69
show,0.002419,3,525
allow,0.002411,11,1508
willingness,0.002394,1,72
interact,0.002394,1,55
fade,0.002368,1,64
mother,0.002368,1,96
massage,0.002368,1,98
street,0.002368,1,86
touch,0.002361,4,493
easeful,0.002343,1,68
vision,0.002343,1,179
final,0.002318,1,66
friendly,0.002318,1,122
recently,0.002318,1,55
cut,0.002293,1,58
anywhere,0.002270,1,62
completely,0.002266,2,248
fascinate,0.002246,1,63
space,0.002206,3,704
fantasy,0.002201,1,87
painful,0.002201,1,98
afternoon,0.002179,1,67
anyway,0.002158,1,71
listen,0.002138,2,385
face,0.002138,2,251
