word,tfidf_score,talk_frequency,global_frequency
mudita,0.062321,21,85
joy,0.025546,32,965
pair,0.021831,6,22
viharas,0.020113,7,74
sympathetic,0.019743,8,61
glasses,0.018687,5,27
brahma,0.018685,7,120
tender,0.017715,7,49
comparison,0.015386,4,14
house,0.014190,7,109
envious,0.014063,3,8
envy,0.013267,4,43
tony,0.012252,2,2
hoagland,0.012252,2,2
fire,0.010885,5,119
clap,0.010814,2,3
infectious,0.010814,2,3
fires,0.010165,3,25
sink,0.009383,3,23
oliver,0.009376,2,8
comparing,0.009055,3,28
delight,0.009031,6,201
mary,0.008913,2,10
pockets,0.008534,2,7
covetousness,0.008534,2,9
kills,0.008534,2,7
worthy,0.008487,3,33
valued,0.008215,2,13
metta,0.007801,4,361
burned,0.007693,2,11
songs,0.007693,2,16
burning,0.007277,2,19
softened,0.007277,2,15
jealousy,0.006633,2,40
maxine,0.006126,1,1
conjugated,0.006126,1,1
geraniums,0.006126,1,1
buzz,0.006126,1,1
corona,0.006126,1,1
fermenting,0.006126,1,1
listlessness,0.006126,1,1
van,0.006126,1,1
outbuildings,0.006126,1,1
overjoyed,0.006126,1,1
untrimmable,0.006126,1,1
examinations,0.006126,1,1
song,0.006037,2,34
biggest,0.005839,2,32
american,0.005688,3,81
happy,0.005688,19,791
trap,0.005658,2,37
impulse,0.005658,2,36
cultivate,0.005608,4,206
happily,0.005492,2,35
appreciative,0.005492,2,99
pronoun,0.005407,1,3
phil,0.005407,1,2
bees,0.005407,1,2
suspiciously,0.005407,1,2
perfume,0.005407,1,2
forbid,0.005407,1,2
humankind,0.005407,1,2
warlike,0.005407,1,2
morrison,0.005407,1,3
gardeners,0.005407,1,2
horrors,0.005407,1,2
haystack,0.005407,1,2
acclamation,0.005407,1,2
extravagant,0.005407,1,2
drab,0.005407,1,2
witty,0.005407,1,2
ironic,0.005407,1,2
award,0.005407,1,2
pulitzer,0.005407,1,2
outward,0.005339,2,37
sermon,0.005266,2,32
appreciation,0.005069,3,205
appreciate,0.005013,7,409
stiff,0.004986,1,3
boyfriend,0.004986,1,3
blaze,0.004986,1,4
enmity,0.004986,1,5
improved,0.004986,1,4
dreadful,0.004986,1,3
phrases,0.004936,2,85
grammar,0.004688,1,4
selfishness,0.004688,1,5
optimism,0.004688,1,4
presentations,0.004688,1,5
favorite,0.004651,2,57
poet,0.004547,2,82
continue,0.004538,5,256
heart,0.004521,17,1499
ease,0.004504,6,526
brown,0.004456,1,8
eyed,0.004456,1,8
soaring,0.004456,1,6
gorgeous,0.004456,1,5
magnificent,0.004456,1,7
balances,0.004456,1,5
needle,0.004456,1,10
paying,0.004448,2,66
greater,0.004444,3,216
breathe,0.004437,5,408
dependent,0.004309,2,93
surely,0.004267,1,10
troubling,0.004267,1,8
addresses,0.004267,1,6
afford,0.004267,1,6
blend,0.004267,1,6
instruct,0.004267,1,6
passing,0.004220,2,91
yeah,0.004181,4,767
judgment,0.004177,2,104
prone,0.004107,1,8
meaningless,0.004107,1,8
prayers,0.004107,1,17
smiles,0.003969,1,12
verb,0.003969,1,10
exceptional,0.003969,1,8
national,0.003969,1,11
transcendent,0.003969,1,12
chin,0.003847,1,10
president,0.003847,1,14
statements,0.003847,1,11
happiness,0.003782,5,846
toward,0.003757,2,156
curve,0.003737,1,11
boredom,0.003737,1,20
enemies,0.003737,1,11
sympathy,0.003737,1,13
disagree,0.003737,1,11
subtlety,0.003737,1,11
prize,0.003737,1,14
straatmann,0.003638,1,11
sinking,0.003638,1,14
elbows,0.003638,1,17
girl,0.003638,1,62
windows,0.003638,1,13
delighting,0.003638,1,16
ill,0.003591,2,144
indifference,0.003548,1,20
garden,0.003548,1,15
leads,0.003498,2,173
poem,0.003467,2,341
meantime,0.003465,1,15
passion,0.003465,1,30
loved,0.003437,2,111
compassion,0.003419,4,717
wash,0.003388,1,19
attracted,0.003388,1,24
increasing,0.003388,1,16
judgmental,0.003317,1,23
fearful,0.003317,1,22
oh,0.003299,7,1324
pleasure,0.003278,3,644
cat,0.003250,1,34
computer,0.003250,1,23
japanese,0.003250,1,35
flood,0.003187,1,109
grass,0.003187,1,43
opportunity,0.003187,2,127
walks,0.003128,1,25
hair,0.003128,1,22
shine,0.003128,1,40
hatred,0.003109,2,212
place,0.003104,12,1275
better,0.003073,6,611
lips,0.003071,1,29
weekend,0.003071,1,23
karuna,0.003071,1,42
daily,0.003035,2,156
trapped,0.003018,1,26
political,0.003018,1,34
husband,0.003018,1,39
stop,0.002999,3,308
may,0.002973,20,2142
hips,0.002968,1,25
fingers,0.002968,1,23
essentially,0.002968,1,26
sending,0.002968,1,38
