word,tfidf_score,talk_frequency,global_frequency
equanimity,0.023398,16,458
uppeka,0.019320,3,3
viharas,0.016751,5,42
openhearted,0.015725,3,5
brahma,0.015599,5,75
intention,0.015126,11,259
electronic,0.014784,3,7
intending,0.013458,3,11
sage,0.012517,3,14
middle,0.011658,10,212
totally,0.011566,5,92
glitch,0.011368,2,3
levine,0.010484,2,7
disrepute,0.010484,2,7
exalted,0.010484,2,5
loving,0.010477,6,126
immeasurable,0.009370,2,11
despair,0.009359,3,46
filled,0.009355,5,102
abundant,0.008972,2,9
stephen,0.008636,2,55
impersonal,0.008344,2,11
blown,0.008344,2,10
fame,0.008088,2,17
tender,0.007981,3,48
upekkha,0.007650,2,17
manipulate,0.007460,2,13
sympathetic,0.007286,2,24
watch,0.007227,4,121
barrier,0.007124,2,23
standing,0.007044,4,112
wind,0.006456,3,155
macbeth's,0.006440,1,1
mercury,0.006440,1,1
retrograde,0.006440,1,1
over-elation,0.006440,1,1
shorten,0.006440,1,1
elation,0.006440,1,1
prattle,0.006440,1,1
tatramajjhattata,0.006440,1,1
majjha,0.006440,1,1
ta,0.006440,1,1
poise,0.006440,1,1
buffeted,0.006440,1,1
sensitizing,0.006440,1,1
unswayed,0.006440,1,1
maria,0.006346,2,75
sink,0.006346,2,25
wanting,0.006213,6,391
suffering,0.006139,11,1427
heart,0.005983,24,1600
joy,0.005965,7,923
fault,0.005948,2,43
break,0.005818,3,90
ah,0.005818,3,109
triumph,0.005684,1,2
gasp,0.005684,1,2
catalog,0.005684,1,4
battered,0.005684,1,2
tatra,0.005684,1,3
clap,0.005684,1,3
kindness,0.005682,6,530
balance,0.005613,3,148
broken,0.005612,2,42
praise,0.005612,2,48
blame,0.005536,2,66
opening,0.005413,5,283
sorrow,0.005254,2,51
day's,0.005242,1,4
whispered,0.005242,1,3
vengeful,0.005242,1,3
lady,0.005242,1,3
deconstruct,0.005242,1,4
garbage,0.005242,1,3
incorporates,0.005242,1,3
diminishment,0.005242,1,6
willingly,0.005242,1,3
losing,0.005189,2,47
hostility,0.005189,2,69
gain,0.005004,2,80
self-interest,0.004928,1,5
insistent,0.004928,1,4
survived,0.004928,1,6
undisturbed,0.004928,1,5
conditioned,0.004780,2,89
happening,0.004723,10,915
insult,0.004685,1,8
mercy,0.004685,1,6
stirred,0.004685,1,5
well-developed,0.004685,1,5
arise,0.004561,5,350
loss,0.004529,2,123
skip,0.004486,1,11
mass,0.004486,1,8
intend,0.004486,1,6
tending,0.004486,1,6
undefended,0.004486,1,6
linked,0.004318,1,7
casual,0.004318,1,10
elated,0.004318,1,12
truck,0.004318,1,7
flaw,0.004318,1,10
impermanence,0.004304,2,144
steady,0.004180,2,148
disturbance,0.004172,1,15
torn,0.004172,1,8
seem,0.004094,3,165
tragedy,0.004044,1,12
meanwhile,0.004044,1,10
destroyed,0.004044,1,9
burned,0.004044,1,11
pocket,0.004044,1,11
despite,0.004044,1,13
transparent,0.004044,1,17
kornfield,0.004044,1,13
ill,0.003987,2,130
pas,0.003950,2,88
pain,0.003932,4,502
celebration,0.003929,1,12
internet,0.003929,1,16
showing,0.003914,2,95
arises,0.003845,4,349
allows,0.003845,4,325
straatmann,0.003825,1,11
resilience,0.003825,1,15
sucitto,0.003825,1,18
inhabit,0.003825,1,14
centered,0.003775,2,143
sway,0.003730,1,14
poem,0.003709,2,393
person,0.003669,8,1004
nothing,0.003647,5,452
cruelty,0.003643,1,19
crisis,0.003643,1,31
virtuous,0.003643,1,28
concentrating,0.003643,1,16
rapture,0.003643,1,32
jack,0.003643,1,18
combination,0.003562,1,20
touched,0.003552,2,110
pleasure,0.003498,3,693
described,0.003492,2,100
grace,0.003487,1,20
pass,0.003487,1,23
occurred,0.003487,1,15
inclusive,0.003487,1,24
observation,0.003487,1,18
overview,0.003487,1,23
accompanied,0.003487,1,18
discontent,0.003487,1,29
worthwhile,0.003416,1,17
branch,0.003416,1,35
depressed,0.003416,1,17
mudita,0.003416,1,82
seeing,0.003408,6,801
wrong,0.003395,3,317
wash,0.003350,1,22
worldly,0.003350,1,38
minor,0.003229,1,29
finally,0.003190,2,148
power,0.003190,2,213
blue,0.003173,1,67
protected,0.003173,1,27
clearer,0.003173,1,25
must,0.003115,2,154
source,0.003090,2,307
poor,0.003069,1,31
season,0.003069,1,34
matter,0.003038,3,278
oh,0.003001,6,1322
required,0.002974,1,29
discovery,0.002974,1,54
seemed,0.002930,1,36
construct,0.002930,1,52
dhammapada,0.002930,1,41
disappears,0.002930,1,42
radiate,0.002887,1,37
fear,0.002862,3,489
hip,0.002846,1,31
outward,0.002846,1,36
chasing,0.002846,1,45
directed,0.002846,1,44
variety,0.002846,1,33
heat,0.002846,1,39
breathe,0.002799,3,408
clearly,0.002778,3,386
experiencing,0.002771,2,172
present,0.002761,9,1154
emptiness,0.002731,1,85
describes,0.002660,1,45
pali,0.002628,2,216
cold,0.002627,1,52
react,0.002627,1,37
truly,0.002594,1,40
moved,0.002594,1,49
lake,0.002594,1,125
everything,0.002591,6,836
protect,0.002563,1,49
love,0.002544,7,1487
ease,0.002479,3,509
honest,0.002473,1,65
opinion,0.002473,1,115
solid,0.002445,1,69
sign,0.002445,1,71
appears,0.002390,1,49
quality,0.002386,3,620
unfolding,0.002364,1,59
passing,0.002338,1,86
