word,tfidf_score,talk_frequency,global_frequency
attachment,0.036163,32,217
biological,0.028051,12,33
dharmology,0.024795,6,6
grasp,0.023024,18,134
biology,0.021044,7,12
attach,0.014335,11,108
bundle,0.013854,5,24
palestinian,0.012398,3,3
colloquial,0.010942,3,4
outsource,0.010942,3,6
appearance,0.010549,5,41
ai,0.009019,3,14
data,0.008599,4,48
logo,0.008265,2,2
potluck,0.007785,3,20
money,0.007585,5,75
mirror,0.007520,4,37
israeli,0.007295,2,3
saran,0.007295,2,3
survival,0.007013,3,15
clothe,0.006918,4,48
cling,0.006744,10,532
israel,0.006727,2,4
theology,0.006727,2,5
truncate,0.006727,2,4
heal,0.006337,5,103
instinct,0.006330,3,35
suitcase,0.006325,2,8
problematic,0.006216,3,27
consciousness,0.006204,4,129
repetitive,0.006012,2,14
identity,0.006002,4,150
intelligence,0.005908,3,111
cognize,0.005757,2,15
wrap,0.005558,3,42
cognition,0.005542,2,9
aggregate,0.005542,2,21
healthy,0.005435,7,265
divide,0.005257,3,54
buddhist,0.005239,14,807
pleasure,0.005237,7,694
proud,0.005190,2,10
month-long,0.005190,2,14
intense,0.005122,3,47
recondition,0.004909,2,12
wear,0.004874,3,67
buy,0.004817,3,70
odd,0.004787,2,15
collect,0.004761,3,69
memory,0.004719,4,148
bay,0.004675,2,16
victim,0.004675,2,22
addiction,0.004475,2,24
conversation,0.004408,4,173
bond,0.004385,2,32
collection,0.004385,2,52
area,0.004293,6,260
parent,0.004270,3,78
horrible,0.004220,2,26
concept,0.004195,4,242
october,0.004133,1,1
amiss,0.004133,1,1
bap,0.004133,1,1
exemplify,0.004133,1,1
food-wise,0.004133,1,1
rent,0.004133,1,1
employment,0.004133,1,1
spa,0.004133,1,1
social,0.004102,3,112
protest,0.004072,2,30
zen,0.004062,3,134
food,0.004062,4,189
orientation,0.003997,4,188
buddhism,0.003987,6,507
concern,0.003911,5,260
society,0.003910,3,129
idea,0.003897,24,1572
hike,0.003877,2,49
meaningful,0.003837,3,88
didn't,0.003835,8,505
comfort,0.003802,3,114
red,0.003652,2,46
activist,0.003647,1,2
colloquially,0.003647,1,2
pry,0.003647,1,2
t-shirt,0.003647,1,2
racism,0.003647,1,4
peculiar,0.003647,1,2
hundredth,0.003647,1,2
aesthetic,0.003647,1,2
self-identity,0.003647,1,2
onto,0.003634,3,95
they've,0.003602,3,95
perspective,0.003570,3,191
common,0.003557,4,164
screen,0.003552,2,57
global,0.003552,2,71
english,0.003539,3,107
psychology,0.003505,2,47
responsible,0.003505,2,38
story,0.003455,8,987
collector,0.003364,1,5
overeat,0.003364,1,3
hoard,0.003364,1,3
sufficiency,0.003364,1,4
inordinate,0.003364,1,3
storyteller,0.003364,1,3
tremendous,0.003334,3,106
heavy,0.003330,2,50
retreat,0.003322,5,389
period,0.003306,3,112
limit,0.003306,3,173
skin,0.003289,2,61
personal,0.003172,3,156
smartphone,0.003162,1,5
horrific,0.003162,1,5
savior,0.003162,1,4
firewood,0.003162,1,12
teacher,0.003158,6,532
sati,0.003102,2,89
positive,0.003068,2,64
jewish,0.003006,1,8
11th,0.003006,1,5
terminology,0.003006,1,5
needy,0.003006,1,5
non-dual,0.003006,1,6
google,0.003006,1,6
study,0.002974,3,174
