word,tfidf_score,talk_frequency,global_frequency
generosity,0.059696,42,257
generous,0.030052,15,92
instinct,0.020279,8,52
disposition,0.017764,5,19
obligation,0.015368,5,16
caregiving,0.012943,4,39
warm-hearted,0.011556,3,7
dedication,0.011447,5,42
torso,0.010815,7,118
neck,0.010486,5,55
positive,0.009494,5,79
access,0.008807,4,47
short-change,0.008612,2,4
non-harming,0.008592,4,72
social,0.008443,5,124
airport,0.007704,2,13
benefit,0.007431,8,270
mammalian,0.007380,2,8
intelligence,0.007373,3,120
cookie,0.007106,2,24
delight,0.006935,7,297
ground,0.006874,6,221
tap,0.006868,3,33
global,0.006778,3,74
young,0.006513,5,165
head,0.006456,7,270
child,0.006413,5,213
smile,0.006399,4,150
muscle,0.006233,4,112
mostly,0.006024,4,103
leg,0.005974,4,107
lovingly,0.005873,2,21
low,0.005732,4,140
wonderful,0.005684,10,504
pet,0.005528,2,25
shoulder,0.005363,5,211
rightful,0.005282,1,1
squarely,0.005282,1,1
ever-so-slight,0.005282,1,1
toddler,0.005282,1,1
housebound,0.005282,1,1
self-effacing,0.005282,1,1
anxiously,0.005282,1,1
segment,0.005282,1,1
err,0.005282,1,1
sway,0.005239,2,26
kid,0.005113,3,104
require,0.005052,4,154
capacity,0.005043,6,403
dip,0.004915,2,34
source,0.004828,4,355
small,0.004806,7,393
ethical,0.004799,3,203
interrelational,0.004666,1,2
overtly,0.004666,1,2
theravadin,0.004666,1,3
sad,0.004404,2,55
whole-body,0.004306,1,3
shorten,0.004306,1,3
calculate,0.004306,1,3
emotion,0.004263,5,388
gaze,0.004230,3,156
erect,0.004050,1,4
rationally,0.004050,1,4
flow,0.004026,5,570
neighbor,0.003963,2,63
act,0.003963,4,344
balance,0.003908,3,233
cooperative,0.003852,1,9
cooperate,0.003852,1,7
pillow,0.003852,1,13
generously,0.003852,1,5
tenderly,0.003852,1,5
belly,0.003769,4,266
floor,0.003759,2,75
custom,0.003690,1,6
stun,0.003690,1,7
deliver,0.003690,1,6
bake,0.003690,1,7
bet,0.003690,1,6
narrow,0.003610,2,87
emphasize,0.003567,3,169
tour,0.003553,1,12
cooky,0.003553,1,28
live,0.003478,12,1197
backrest,0.003434,1,11
privately,0.003434,1,11
flight,0.003434,1,14
hormone,0.003434,1,8
reverse,0.003329,1,9
care,0.003324,12,1613
partly,0.003316,2,86
goodwill,0.003265,3,504
force,0.003265,3,220
rootedness,0.003236,1,12
skull,0.003236,1,19
europe,0.003236,1,11
attitude,0.003218,3,296
foot,0.003171,3,232
cross-legged,0.003151,1,13
arc,0.003151,1,30
traditionally,0.003151,1,11
requirement,0.003151,1,14
mutual,0.003151,1,21
gentle,0.003126,3,267
usual,0.003090,2,109
anyone,0.003090,2,120
betray,0.003074,1,12
suffuse,0.003003,1,31
straighten,0.003003,1,16
roam,0.003003,1,34
rational,0.002937,1,20
victim,0.002937,1,23
stability,0.002913,2,169
embody,0.002889,2,146
biological,0.002875,1,35
appreciation,0.002866,2,209
pleasure,0.002847,3,719
careful,0.002843,2,126
