word,tfidf_score,talk_frequency,global_frequency
accompany,0.072074,36,131
accompaniment,0.035378,9,20
self-healing,0.022936,5,11
compassion,0.021599,25,676
suffer,0.021388,48,1695
caregiving,0.020683,6,39
passion,0.015316,5,36
care-giving,0.014914,3,6
distress,0.014160,7,86
listen,0.013085,14,392
source,0.012858,10,355
profound,0.012111,9,215
compassionately,0.011355,3,11
com,0.011255,2,2
self-heal,0.011255,2,2
calm,0.009795,14,810
reassure,0.008518,3,30
depth,0.008444,4,58
christ,0.008207,2,6
compassionate,0.008177,4,75
sensitivity,0.007847,4,96
stabilize,0.007627,3,66
presence,0.007111,6,216
heal,0.006939,4,107
latin,0.006894,2,11
feature,0.006714,2,17
downward,0.006714,2,12
psychophysical,0.006257,2,16
someone,0.006106,11,638
imperceptible,0.005628,1,1
self-transformation,0.005628,1,1
self-growth,0.005628,1,1
self-liberate,0.005628,1,1
self-freeing,0.005628,1,1
incapacitate,0.005628,1,1
band-aid,0.005628,1,1
stably,0.005628,1,1
core,0.005251,3,130
breathe,0.005162,16,2491
meaningful,0.005158,3,93
stable,0.005024,3,108
unplanned,0.004971,1,2
subsume,0.004971,1,2
balm,0.004971,1,2
attentively,0.004971,1,2
calmly,0.004878,2,63
touch,0.004719,9,497
fix,0.004706,4,284
capable,0.004691,2,40
stability,0.004655,3,169
attend,0.004617,3,131
fundamental,0.004317,2,52
recipe,0.004315,1,4
challenge,0.004222,4,307
surface,0.004163,3,164
central,0.004132,2,74
homeless,0.004104,1,5
easeful,0.004088,2,69
bone,0.004046,2,64
caringly,0.003931,1,7
performance,0.003785,1,9
sweet,0.003700,2,96
listener,0.003658,1,15
resistance,0.003632,2,123
increasingly,0.003547,1,12
armor,0.003547,1,14
care,0.003541,12,1613
agitation,0.003533,2,107
attentiveness,0.003447,1,14
amazingly,0.003447,1,10
belong,0.003439,2,105
root,0.003408,2,146
otherwise,0.003408,2,98
art,0.003379,2,144
story-making,0.003357,1,15
trouble,0.003349,2,93
recognize,0.003331,6,668
gentle,0.003330,3,267
brilliant,0.003275,1,12
non-reactive,0.003275,1,14
blanket,0.003275,1,13
wave,0.003264,2,162
deep,0.003223,16,1709
accident,0.003199,1,14
attention,0.003134,11,1275
wind,0.003129,2,191
elbow,0.003129,1,32
meantime,0.003129,1,16
soften,0.003123,5,549
skillfully,0.003063,1,19
attachment,0.003004,2,244
commonly,0.003002,1,18
transformative,0.003002,1,22
room,0.002991,4,435
supportive,0.002980,2,133
openness,0.002956,2,140
lung,0.002945,1,28
stir,0.002945,1,31
extremely,0.002839,1,23
miracle,0.002839,1,58
others,0.002816,10,1077
demonstrate,0.002791,1,30
spirituality,0.002791,1,41
alone,0.002733,2,147
appropriate,0.002712,2,175
convey,0.002701,1,26
adult,0.002618,1,29
poor,0.002618,1,35
rightness,0.002618,1,32
essential,0.002579,1,38
well-wishing,0.002579,1,48
shake,0.002542,1,33
that'll,0.002542,1,33
emphasize,0.002533,2,169
witness,0.002507,1,48
gradual,0.002472,1,62
acceptance,0.002472,1,66
glass,0.002472,1,57
zone,0.002439,1,38
tap,0.002439,1,33
share,0.002412,3,462
provide,0.002388,2,214
humanity,0.002376,1,50
layer,0.002346,1,62
phenomenal,0.002346,1,49
inner,0.002343,3,485
system,0.002319,2,299
peacefully,0.002317,1,48
pressure,0.002302,2,263
dramatic,0.002288,1,46
sadness,0.002288,1,62
action,0.002269,2,346
medicine,0.002261,1,84
lift,0.002261,1,57
basis,0.002234,1,56
hold,0.002234,7,1026
briefly,0.002208,1,52
ride,0.002183,1,75
solve,0.002183,1,77
lake,0.002158,1,132
liberate,0.002158,1,63
activate,0.002158,1,86
ability,0.002157,2,240
learn,0.002149,6,781
soft,0.002141,2,246
seem,0.002115,4,500
wish,0.002097,4,583
vision,0.002066,1,179
inside,0.002052,3,441
attentive,0.002044,1,53
intimate,0.002044,1,58
disconnect,0.002044,1,94
street,0.002023,1,91
belly,0.002008,2,266
identity,0.001982,1,156
water,0.001979,2,493
momentum,0.001962,1,87
cycle,0.001962,1,77
active,0.001962,1,65
struggle,0.001962,1,67
slight,0.001942,1,63
lean,0.001942,1,80
offer,0.001938,5,696
space,0.001932,3,712
growth,0.001904,1,76
person,0.001901,5,1105
establish,0.001868,1,71
except,0.001850,1,74
zen,0.001816,1,139
spirit,0.001799,1,107
absorb,0.001766,1,131
strange,0.001766,1,72
partly,0.001766,1,86
topic,0.001753,2,267
car,0.001750,1,138
pas,0.001704,1,94
simply,0.001703,2,309
fear,0.001655,2,506
human,0.001652,3,556
mean,0.001648,9,1471
earth,0.001618,1,235
throughout,0.001618,1,99
simple,0.001586,3,721
rather,0.001573,3,543
else,0.001560,3,562
tension,0.001540,2,608
english,0.001527,1,122
generosity,0.001514,1,257
present,0.001512,6,1238
fourth,0.001502,1,158
uncomfortable,0.001502,1,207
function,0.001502,1,123
encounter,0.001490,1,115
judgment,0.001478,1,179
tremendous,0.001478,1,112
emphasis,0.001478,1,116
hurt,0.001478,1,138
relax,0.001462,4,1245
difficulty,0.001455,1,219
preoccupation,0.001432,1,207
silence,0.001432,1,201
personal,0.001410,1,163
mindfulness,0.001409,3,990
rid,0.001399,1,176
condition,0.001379,2,691
gently,0.001368,2,406
power,0.001366,1,219
require,0.001346,1,154
chance,0.001346,1,153
food,0.001346,1,198
grow,0.001328,2,508
place,0.001298,8,1599
run,0.001286,1,153
general,0.001276,1,170
operate,0.001276,1,257
possibility,0.001276,1,163
opportunity,0.001276,1,173
ordinary,0.001267,1,192
somebody,0.001267,1,352
free,0.001263,4,748
respect,0.001257,1,232
harm,0.001257,1,466
ground,0.001220,1,221
anything,0.001208,4,831
field,0.001194,1,255
morning,0.001183,2,399
expand,0.001168,1,186
within,0.001165,2,533
goodwill,0.001159,1,504
support,0.001152,3,960
shoulder,0.001143,1,211
attitude,0.001143,1,296
imagine,0.001137,2,466
without,0.001132,5,982
slow,0.001126,1,164
pleasant,0.001126,1,351
people,0.001125,15,3319
degree,0.001102,1,230
connection,0.001094,1,216
fill,0.001078,1,233
right,0.001066,8,2158
tend,0.001048,1,225
direct,0.001033,1,272
translate,0.001018,1,258
difference,0.001011,1,233
situation,0.001011,1,322
cultivate,0.001004,1,462
put,0.000999,3,810
certainly,0.000997,1,211
normal,0.000990,1,183
associate,0.000990,1,234
may,0.000973,7,2204
almost,0.000956,2,563
wrong,0.000955,1,333
sure,0.000955,1,256
fully,0.000941,1,299
aspect,0.000935,1,271
consider,0.000928,1,283
forward,0.000921,1,229
real,0.000915,1,233
emotion,0.000908,1,388
want,0.000900,14,3042
capacity,0.000895,1,403
push,0.000889,1,318
begin,0.000886,5,1436
course,0.000883,2,696
difficult,0.000883,1,329
cause,0.000876,1,395
self,0.000864,1,1140
useful,0.000858,1,284
look,0.000856,5,1467
far,0.000852,1,361
fronsdal,0.000828,1,294
eye,0.000821,2,635
light,0.000816,1,468
kindness,0.000810,1,545
speak,0.000810,1,438
read,0.000804,1,427
change,0.000798,2,1441
isn't,0.000792,1,406
step,0.000792,1,419
whether,0.000759,1,315
today,0.000756,3,842
realize,0.000748,1,412
walk,0.000742,1,552
another,0.000738,2,767
close,0.000736,3,674
bring,0.000736,3,1197
instead,0.000731,1,462
probably,0.000731,1,351
friend,0.000726,1,562
return,0.000726,1,278
involve,0.000721,1,423
relationship,0.000721,1,498
beautiful,0.000715,1,559
show,0.000700,1,545
great,0.000695,2,937
somehow,0.000679,1,321
guide,0.000679,3,898
enough,0.000673,2,750
include,0.000664,1,397
settle,0.000652,2,1517
meet,0.000634,1,610
word,0.000626,4,1369
need,0.000626,4,1576
link,0.000624,2,522
open,0.000623,3,1220
form,0.000615,1,450
hand,0.000610,1,491
everyone,0.000606,1,457
nothing,0.000596,1,479
gil,0.000592,1,437
allow,0.000586,3,1528
peace,0.000582,1,645
different,0.000581,5,1936
understand,0.000577,2,1224
try,0.000568,3,1286
leave,0.000564,1,488
sit,0.000563,7,1503
continue,0.000551,1,423
sensation,0.000551,1,884
dharma,0.000546,1,842
big,0.000533,1,662
dharmette,0.000529,1,323
clear,0.000511,1,577
world,0.000511,5,2405
buddhist,0.000495,1,833
awareness,0.000486,1,1263
whatever,0.000478,3,1202
year,0.000478,1,830
posture,0.000462,1,608
become,0.000443,5,1773
idea,0.000428,2,1638
safe,0.000426,1,430
heart,0.000421,2,1680
move,0.000418,1,640
notice,0.000403,1,1217
mind,0.000395,12,4578
next,0.000384,1,621
long,0.000372,2,943
body,0.000365,4,3281
end,0.000357,3,1107
week,0.000344,1,717
might,0.000321,5,2167
important,0.000319,1,824
keep,0.000316,1,817
live,0.000309,1,1197
experience,0.000298,3,3121
help,0.000298,1,866
would,0.000295,2,2002
often,0.000285,1,1090
sometimes,0.000282,3,1897
make,0.000275,6,2446
together,0.000275,1,1029
work,0.000268,1,1360
love,0.000262,1,1743
happy,0.000255,1,873
life,0.000246,4,2821
moment,0.000232,2,1854
thank,0.000232,2,1197
point,0.000223,1,1149
day,0.000220,1,1006
use,0.000220,1,1198
part,0.000216,2,1621
well,0.000208,1,1348
welcome,0.000192,1,707
find,0.000183,2,1691
information,0.000177,1,415
many,0.000177,1,1092
sense,0.000177,3,2977
start,0.000174,1,1524
around,0.000165,1,1159
good,0.000161,3,2501
bite,0.000148,1,1541
little,0.000145,2,2387
practice,0.000132,4,3793
let,0.000122,3,2733
feel,0.000120,24,6274
back,0.000119,1,1504
much,0.000118,2,1676
lot,0.000116,1,1541
u,0.000105,6,3385
thing,0.000099,3,4908
think,0.000088,7,5995
even,0.000083,3,1894
take,0.000066,2,2267
time,0.000038,3,2880
ai-generated,0.000000,1,383
transcript,0.000000,1,386
auto-generated,0.000000,1,383
subtitle,0.000000,1,384
video,0.000000,1,405
meditation,0.000000,10,3504
likely,0.000000,1,475
contain,0.000000,1,414
inaccuracy,0.000000,1,383
follow,0.000000,1,724
talk,0.000000,4,2454
give,0.000000,4,1917
insight,0.000000,1,1683
center,0.000000,1,1120
redwood,0.000000,2,431
city,0.000000,2,489
california,0.000000,2,443
please,0.000000,1,570
visit,0.000000,1,473
website,0.000000,1,450
www,0.000000,1,398
audiodharma,0.000000,1,398
org,0.000000,1,414
