word,tfidf_score,talk_frequency,global_frequency
empathy,0.074320,16,89
groovy,0.045390,5,5
cost,0.030865,6,24
empathic,0.029444,5,14
jehnny,0.027234,3,3
beth,0.027234,3,3
strummer,0.027234,3,3
protect,0.023662,9,107
political,0.018248,4,34
jarmusch,0.018156,2,2
affectively,0.018156,2,2
interviewer,0.016030,2,3
savage,0.016030,2,3
cue,0.015801,3,17
jim,0.015801,3,33
joe,0.014786,2,9
aesthetic,0.014786,2,4
film,0.013904,2,7
tab,0.012187,2,9
interview,0.012187,2,9
art,0.010992,4,139
collective,0.010801,2,12
model,0.010497,3,75
politics,0.010288,2,18
poignancy,0.010288,2,19
sister,0.010061,2,26
lineage,0.009124,2,27
brother,0.009124,2,38
slow-burn,0.009078,1,1
strangeness,0.009078,1,1
tarnish,0.009078,1,1
disenchant,0.009078,1,1
artistic,0.009078,1,1
cleanliness,0.009078,1,1
elude,0.009078,1,1
crucially,0.009078,1,1
self-directed,0.009078,1,1
geocentric,0.009078,1,1
heliocentric,0.009078,1,1
egocentric,0.009078,1,1
solipsistic,0.009078,1,1
perspective-taking,0.009078,1,1
topographical,0.009078,1,1
high-resolution,0.009078,1,1
rodeo,0.009078,1,1
map,0.008817,2,41
consciously,0.008162,2,31
optimal,0.008015,1,2
forum,0.008015,1,2
governance,0.008015,1,2
forage,0.008015,1,2
filmmaker,0.008015,1,2
unmistakably,0.008015,1,2
grandiosity,0.008015,1,2
resonant,0.008015,1,2
unbroken,0.008015,1,3
sangha,0.007957,3,236
dharma,0.007827,9,838
father,0.007723,2,55
expand,0.007531,4,183
ungovernability,0.007393,1,3
elegance,0.007393,1,3
rally,0.007393,1,5
vaguely,0.007393,1,3
universe,0.007339,2,67
truly,0.007250,2,42
job,0.006958,3,194
gee,0.006952,1,5
flu,0.006952,1,6
pep,0.006952,1,5
indifferent,0.006952,1,4
motivate,0.006841,2,57
distance,0.006765,2,59
willingness,0.006765,2,72
mother,0.006691,2,96
fidelity,0.006610,1,7
ghost,0.006610,1,29
empathetic,0.006610,1,5
clash,0.006610,1,5
trivial,0.006610,1,6
brutal,0.006610,1,6
arouse,0.006610,1,5
abide,0.006346,2,155
shelter,0.006330,1,6
15th,0.006330,1,6
sensitization,0.006330,1,6
neurosis,0.006330,1,7
control,0.006281,3,267
country,0.006156,2,94
reiterate,0.006094,1,9
superficial,0.006094,1,7
desperately,0.006094,1,7
york,0.005889,1,12
restaurant,0.005889,1,9
sentient,0.005889,1,13
tremble,0.005889,1,10
elevation,0.005889,1,10
sibling,0.005889,1,14
afford,0.005708,1,10
correlate,0.005708,1,10
embarrass,0.005708,1,9
spouse,0.005708,1,9
harmonize,0.005546,1,11
effectively,0.005546,1,11
sufficient,0.005546,1,12
goodness,0.005451,4,474
role,0.005447,2,122
govern,0.005400,1,15
artist,0.005400,1,13
distant,0.005267,1,19
mystery,0.005267,1,18
awe,0.005267,1,32
admit,0.005030,1,19
vedana,0.005030,1,153
wednesday,0.005030,1,21
across,0.004953,2,151
conducive,0.004925,1,21
movie,0.004826,1,27
dismissive,0.004826,1,21
dramatically,0.004826,1,17
die,0.004792,2,205
confident,0.004733,1,24
whatsoever,0.004733,1,19
creature,0.004733,1,23
