word,tfidf_score,talk_frequency,global_frequency
caregiving,0.043068,13,39
palestinian,0.022047,5,11
israeli,0.020737,5,11
anukampa,0.019357,6,29
care,0.019356,68,1612
instinct,0.018164,7,52
trash,0.014551,4,14
care-giving,0.014336,3,6
source,0.012436,10,353
shoe,0.012026,4,31
inclination,0.011716,5,49
compassion,0.011600,14,676
ordinary,0.011025,9,191
respect,0.010861,9,232
associate,0.010442,11,234
disturbance,0.010227,3,18
attachment,0.010177,7,243
environment,0.010030,5,61
natural,0.009791,11,343
karuna,0.009019,3,36
undisturbed,0.007888,2,7
untroubled,0.007888,2,7
israel,0.007888,2,8
non-clinging,0.007785,3,58
door,0.007095,5,154
operate,0.006125,5,257
sati,0.006018,3,94
welfare,0.005953,3,105
chaplaincy,0.005887,2,176
conversation,0.005676,4,183
attitude,0.005523,5,294
value,0.005443,5,226
semantic,0.005410,1,1
a-n-u-k-a-m-p-a,0.005410,1,1
subjugate,0.005410,1,1
israeli-palestinian,0.005410,1,1
muna,0.005410,1,1
shaheen,0.005410,1,1
concern,0.004991,5,278
trouble,0.004825,3,93
touchstone,0.004779,1,2
benevolent,0.004779,1,4
kindhearted,0.004779,1,2
long-lasting,0.004779,1,2
fulder,0.004779,1,2
effective,0.004686,2,42
clean,0.004545,3,148
palette,0.004409,1,3
contend,0.004409,1,3
content,0.004397,3,171
someone,0.004286,8,625
impulse,0.004243,2,66
inconsequential,0.004147,1,4
activist,0.004147,1,4
longtime,0.004147,1,4
activate,0.004147,2,86
conflict,0.004101,2,320
motivate,0.004101,2,57
fifth,0.004056,2,52
ease,0.004023,6,551
intentional,0.004012,2,58
universally,0.003944,1,6
easygoing,0.003944,1,5
non-attachment,0.003944,1,9
mediate,0.003944,1,6
activism,0.003944,1,5
maintain,0.003886,2,81
woman,0.003846,2,171
primary,0.003846,3,163
community,0.003846,3,357
seldom,0.003778,1,7
sidewalk,0.003778,1,20
department,0.003778,1,7
jewish,0.003778,1,9
homepage,0.003778,1,7
circumstance,0.003769,2,88
unit,0.003638,1,10
nuanced,0.003638,1,10
mindfulness,0.003627,8,983
base,0.003620,3,217
powerful,0.003593,3,165
location,0.003588,2,87
intensive,0.003516,1,8
creek,0.003516,1,12
disrespect,0.003516,1,8
stephen,0.003516,1,56
heart,0.003455,17,1679
partly,0.003393,2,86
goodwill,0.003338,3,504
naturally,0.003332,2,87
society,0.003332,2,135
imagine,0.003267,6,466
gaza,0.003226,1,13
saturday,0.003226,1,11
attune,0.003161,2,117
loving-kindness,0.003161,2,185
scatter,0.003147,1,41
elder,0.003147,1,18
hostile,0.003147,1,16
breathe,0.003079,10,2491
thrive,0.003074,1,15
temporarily,0.003074,1,18
immediacy,0.003074,1,15
compulsion,0.003074,1,27
propose,0.003074,1,15
spontaneously,0.003074,1,22
issue,0.003056,2,111
simple,0.003036,6,721
scenario,0.003006,1,16
encompass,0.003006,1,17
bar,0.003006,1,23
host,0.003006,1,27
basic,0.002956,2,131
english,0.002956,2,119
visualize,0.002944,1,22
public,0.002944,1,26
barrier,0.002944,1,24
generosity,0.002908,2,257
simplicity,0.002908,2,262
local,0.002885,1,24
contribution,0.002885,1,21
board,0.002885,1,25
paint,0.002885,1,27
ancient,0.002884,2,148
hatred,0.002861,2,198
hospital,0.002830,1,44
pet,0.002830,1,25
scar,0.002830,1,25
manifestation,0.002830,1,23
pick,0.002816,2,123
peace,0.002810,5,643
involve,0.002783,4,418
phase,0.002778,1,25
obstacle,0.002728,1,30
mess,0.002728,1,26
evidence,0.002728,1,49
calm,0.002682,4,810
whoever,0.002682,1,27
register,0.002682,1,35
usually,0.002614,3,240
grind,0.002603,2,162
profound,0.002603,2,212
capacity,0.002595,3,402
disturb,0.002595,1,30
speed,0.002595,1,28
suffer,0.002580,6,1686
internally,0.002554,1,42
worthy,0.002554,1,32
greed,0.002544,2,247
gentleness,0.002478,1,37
mix,0.002478,1,29
necessarily,0.002468,2,149
opportunity,0.002450,2,173
inform,0.002408,1,36
anger,0.002396,2,354
therefore,0.002375,1,33
importance,0.002343,1,33
dedication,0.002343,1,42
assumption,0.002343,1,48
kindness,0.002329,3,545
material,0.002312,1,52
mature,0.002312,1,60
underlie,0.002312,1,66
humanity,0.002282,1,50
produce,0.002282,1,47
program,0.002282,1,101
temple,0.002254,1,70
divide,0.002254,1,58
hurry,0.002226,1,81
support,0.002223,6,955
fairly,0.002198,1,45
bias,0.002198,1,50
actively,0.002146,1,46
hostility,0.002121,1,72
whereas,0.002097,1,48
manage,0.002097,1,50
category,0.002073,1,75
fundamental,0.002073,1,52
friendliness,0.002073,1,177
discover,0.002069,2,310
ability,0.002069,2,240
motivation,0.002028,1,75
central,0.002006,1,73
exercise,0.002006,1,60
translate,0.001968,2,256
imagination,0.001964,1,96
compassionate,0.001964,1,75
friendly,0.001964,1,122
intimate,0.001964,1,58
positive,0.001943,1,79
final,0.001923,1,70
internal,0.001923,1,89
neither,0.001903,1,78
fascinate,0.001903,1,63
lens,0.001903,1,70
treat,0.001903,1,66
active,0.001903,1,64
personally,0.001866,1,61
area,0.001858,2,268
towards,0.001837,3,494
significant,0.001829,1,73
consider,0.001793,2,281
form,0.001781,3,448
forward,0.001780,2,224
special,0.001777,1,83
anxiety,0.001760,1,93
influence,0.001760,1,87
cling,0.001755,2,545
translation,0.001744,1,107
monday,0.001744,1,69
fact,0.001730,2,242
car,0.001696,1,137
buddhism,0.001693,2,528
range,0.001651,1,96
buddha,0.001641,5,1874
others,0.001630,6,1076
deal,0.001622,1,108
preoccupy,0.001608,1,121
fear,0.001598,2,503
reason,0.001598,2,276
adjust,0.001594,1,96
rhythm,0.001594,1,111
alternative,0.001581,1,118
sangha,0.001581,1,237
they've,0.001554,1,99
mostly,0.001554,1,100
important,0.001539,5,822
expect,0.001528,1,102
broad,0.001528,1,120
generally,0.001515,1,100
low,0.001478,1,139
across,0.001478,1,152
people,0.001446,20,3299
buddhist,0.001432,3,830
encounter,0.001431,1,115
emphasis,0.001431,1,115
relax,0.001411,4,1244
orient,0.001397,1,199
sutta,0.001397,1,324
separate,0.001397,1,144
job,0.001375,1,196
happiness,0.001371,2,860
teacher,0.001361,2,560
worry,0.001343,1,155
surface,0.001332,1,164
child,0.001322,1,212
week,0.001313,4,717
study,0.001312,1,175
somehow,0.001311,2,318
require,0.001302,1,153
guide,0.001292,6,898
piece,0.001282,1,222
include,0.001282,2,393
bite,0.001282,9,1538
course,0.001278,3,693
mention,0.001272,1,157
