word,tfidf_score,talk_frequency,global_frequency
bundle,0.051411,25,49
son,0.014531,11,95
womb,0.013510,8,44
attachment,0.013465,16,257
audience,0.012880,9,146
appearance,0.012780,8,49
fabrication,0.012121,5,14
rahula,0.011964,6,18
attach,0.010766,11,122
vinnana,0.010307,4,6
cognition,0.010282,5,14
conceit,0.009952,8,73
consciousness,0.009414,8,139
member,0.009133,9,183
option,0.009022,7,56
intelligence,0.008842,6,120
concept,0.008628,11,260
factory,0.008376,3,6
inner,0.008266,19,489
die,0.008218,10,223
language,0.008050,12,189
hair,0.007988,5,29
positive,0.007981,7,79
teenager,0.007976,4,18
growth,0.007444,7,77
fabricate,0.007365,4,21
palestinian,0.007272,3,13
aid,0.007196,4,23
israeli,0.006917,3,13
corollary,0.006917,3,8
breakthrough,0.006917,3,7
cultivate,0.006735,12,465
negative,0.006635,6,80
buddha,0.006447,34,1904
deleterious,0.006319,2,2
destroy,0.005985,4,41
source,0.005775,8,357
grain,0.005663,3,13
womb-like,0.005584,2,3
14-year-old,0.005584,2,3
fronsdal,0.005488,12,298
alternative,0.005435,6,125
father,0.005284,4,60
october,0.005154,2,4
penultimate,0.005154,2,4
alms,0.005066,3,25
capacity,0.005050,10,405
penetration,0.004848,2,7
cat,0.004793,3,41
monastery,0.004707,4,113
round,0.004633,3,34
unification,0.004561,4,101
bowl,0.004489,3,56
israel,0.004418,2,11
metaphor,0.004381,5,153
essential,0.004356,3,38
penetrate,0.004356,3,37
dependent,0.004337,4,93
story,0.004297,13,1019
dad,0.004255,2,10
agreement,0.004113,2,10
priest,0.004113,2,35
you'll,0.004070,7,231
factor,0.004022,4,125
typical,0.003988,2,14
conceited,0.003988,2,10
develop,0.003983,8,367
gil,0.003936,12,442
liberation,0.003881,4,118
state,0.003875,12,850
self,0.003872,8,1143
abandon,0.003776,3,85
gaza,0.003775,2,13
product,0.003775,2,14
addict,0.003775,2,19
grow,0.003732,10,511
concentrate,0.003716,4,123
grab,0.003690,3,77
evoke,0.003648,3,71
enlightenment,0.003648,3,73
lake,0.003648,3,132
impact,0.003623,4,132
