word,tfidf_score,talk_frequency,global_frequency
compose,0.045515,14,51
orient,0.025951,17,217
kalama,0.020846,6,27
criterion,0.017808,5,56
rely,0.017778,6,35
kalamas,0.017403,4,12
basketball,0.012505,3,12
gather,0.012386,10,333
true,0.011460,13,418
sutta,0.010855,7,324
intro,0.010423,3,26
scatter,0.010183,3,42
somewhat,0.009752,5,75
logic,0.009043,3,27
teacher,0.008965,12,568
inference,0.008702,2,6
competence,0.008702,2,7
basket,0.008336,2,11
scripture,0.008028,2,11
authority,0.007988,3,38
practically,0.007761,2,9
farm,0.007525,2,12
town,0.007385,3,61
text,0.007322,4,133
spiritual,0.007067,6,586
intentional,0.006661,3,58
oneself,0.006468,5,190
task,0.005963,3,77
popcorn,0.005962,1,1
blender,0.005962,1,1
free-throw,0.005962,1,1
artwork,0.005962,1,1
recompose,0.005962,1,1
anti-dogmatic,0.005962,1,1
folktale,0.005962,1,1
self-reliant,0.005962,1,1
antiquity,0.005962,1,1
doctrinally,0.005962,1,1
pragmatically,0.005962,1,1
k-a-l-a-m-a,0.005962,1,1
lineage,0.005926,2,29
intuition,0.005926,2,25
consider,0.005881,6,288
belief,0.005699,4,290
sweep,0.005561,2,46
truth,0.005525,5,532
spin,0.005479,2,43
accessible,0.005479,2,34
source,0.005448,4,357
art,0.005396,3,144
hoop,0.005268,1,2
rein,0.005268,1,2
denomination,0.005268,1,2
illogical,0.005268,1,3
existentially,0.005268,1,2
companion,0.005253,2,59
fee,0.005253,2,42
discern,0.005182,2,39
feed,0.005049,2,49
buddha,0.005009,14,1904
goodwill,0.004883,4,527
aikido,0.004862,1,4
martial,0.004862,1,4
blindly,0.004862,1,3
punchline,0.004862,1,3
rug,0.004862,1,4
discourse,0.004749,2,93
speaker,0.004749,2,74
basis,0.004695,2,59
encounter,0.004689,3,119
statement,0.004641,2,62
partner,0.004589,2,62
definitive,0.004574,1,4
dilemma,0.004574,1,5
oral,0.004574,1,4
competent,0.004574,1,4
regain,0.004351,1,5
derive,0.004351,1,7
jump,0.004303,2,62
ingredient,0.004168,1,9
predominate,0.004168,1,6
confirmation,0.004168,1,11
clever,0.004168,1,10
truthful,0.004168,1,7
productive,0.004168,1,7
orientation,0.004117,3,226
track,0.004092,2,94
throw,0.004092,2,98
dependent,0.004092,2,93
wrong,0.004032,4,335
psychologically,0.004014,1,7
reorient,0.004014,1,9
prepare,0.004013,2,80
beneficial,0.004013,2,104
ready,0.003967,3,183
youtube,0.003901,2,82
casual,0.003880,1,11
spirit,0.003795,2,108
teach,0.003766,13,1490
evaluation,0.003762,1,14
homework,0.003762,1,9
thigh,0.003657,1,10
tv,0.003657,1,10
similar,0.003536,2,83
machine,0.003474,1,19
invite,0.003459,3,321
discover,0.003410,3,313
read,0.003403,4,430
craft,0.003394,1,13
rather,0.003322,6,550
shoot,0.003320,1,38
web,0.003251,1,22
low,0.003227,2,141
accept,0.003201,2,144
tomorrow,0.003200,3,191
multiple,0.003186,1,25
commonly,0.003186,1,18
device,0.003186,1,23
spiritually,0.003186,1,24
benefit,0.003177,3,270
gaze,0.003151,2,159
blade,0.003126,1,21
breathe,0.003087,9,2506
theme,0.003077,2,126
movie,0.003069,1,30
pop,0.003014,1,26
phenomenally,0.003014,1,20
priority,0.003014,1,25
traditional,0.003014,1,26
path,0.002988,4,912
offer,0.002850,7,708
pull,0.002838,3,329
aim,0.002823,1,38
dance,0.002823,1,45
