word,tfidf_score,talk_frequency,global_frequency
camel,0.042565,11,11
fish,0.025537,11,29
mara,0.023624,12,169
elephant,0.019609,8,102
hafiz,0.015802,5,7
heaviness,0.015485,8,41
thirst,0.014298,6,20
ain't,0.013688,4,5
damn,0.013688,4,5
diana,0.013032,11,372
poem,0.012294,11,411
ride,0.012170,8,75
clark,0.011649,9,312
self-care,0.011608,5,22
freedom,0.009739,22,691
lightness,0.009558,6,80
trust,0.008870,11,294
questioner,0.008472,6,258
thirsty,0.007581,3,12
expectation,0.007423,6,113
dukkha,0.007383,8,415
acknowledge,0.007294,6,100
control,0.007020,8,287
climb,0.006965,3,25
curiosity,0.006920,5,105
persian,0.006844,2,3
poet,0.006783,4,52
heavy,0.006085,4,58
poof,0.005661,2,7
canon,0.005536,3,56
thorough,0.005426,2,7
befriend,0.005426,2,10
wild,0.005155,3,50
flame,0.005054,2,17
fix,0.004838,6,292
oftentimes,0.004766,2,14
screen,0.004723,3,69
instead,0.004558,9,478
helpful,0.004555,8,597
require,0.004548,5,160
desert,0.004531,2,18
gentle,0.004454,6,277
thoroughly,0.004332,2,16
crave,0.004295,4,285
disappointment,0.004243,2,20
false,0.004159,2,23
daughter,0.004159,2,33
playful,0.004081,2,24
suffer,0.004056,14,1751
actual,0.004032,3,87
laugh,0.004007,2,44
14th-century,0.003870,1,1
wink,0.003870,1,1
assuage,0.003870,1,1
non-freedom,0.003870,1,1
vulture,0.003870,1,1
legging,0.003870,1,1
swimsuit,0.003870,1,1
alpine,0.003870,1,1
quick-dry,0.003870,1,1
personification,0.003870,1,1
donut-eating,0.003870,1,1
people-please,0.003870,1,1
deacon,0.003870,1,1
dresser,0.003870,1,1
lipstick,0.003870,1,1
antithesis,0.003870,1,1
oppose,0.003813,3,90
isn't,0.003799,7,419
relief,0.003778,3,107
pattern,0.003679,3,134
hike,0.003636,2,51
gentleness,0.003583,2,37
spectrum,0.003532,2,45
smile,0.003524,3,152
represent,0.003524,3,111
curated,0.003422,1,2
reclaim,0.003422,1,2
matty,0.003422,1,6
weingast,0.003422,1,6
14-year-old,0.003422,1,3
donut,0.003422,1,2
companion,0.003391,2,60
aspiration,0.003348,2,75
hang,0.003247,3,108
symbolize,0.003160,1,3
cop,0.003160,1,5
inspirational,0.003160,1,3
stretch,0.003112,2,61
boundary,0.003112,2,66
pali,0.003052,4,240
difficulty,0.003004,3,229
hand,0.002988,7,511
october,0.002975,1,5
endear,0.002975,1,5
tanha,0.002975,1,5
rabbit,0.002975,1,6
splash,0.002975,1,5
tame,0.002975,1,8
t-shirt,0.002975,1,4
sermon,0.002975,1,7
accidentally,0.002975,1,4
aren't,0.002959,3,143
concept,0.002937,3,260
ocean,0.002913,2,88
opposite,0.002894,3,134
truth,0.002889,4,536
therigatha,0.002831,1,6
notice,0.002797,10,1251
change,0.002797,10,1471
available,0.002792,4,235
clearly,0.002751,5,423
momentum,0.002714,2,91
terrify,0.002713,1,10
bleed,0.002713,1,6
sigh,0.002713,1,16
non-self,0.002713,1,9
obstruction,0.002713,1,10
journey,0.002688,2,124
towards,0.002637,6,518
horrify,0.002613,1,7
flee,0.002613,1,15
biology,0.002613,1,14
passively,0.002613,1,8
name,0.002574,4,325
distraction,0.002565,2,76
dryness,0.002527,1,15
collectedness,0.002527,1,9
anticipate,0.002527,1,8
completeness,0.002527,1,9
c,0.002527,1,11
counter,0.002527,1,12
experience,0.002507,36,3247
lack,0.002496,2,99
train,0.002488,3,352
amount,0.002470,3,179
terrible,0.002453,2,126
partial,0.002451,1,14
cause,0.002405,4,416
hold,0.002400,11,1072
otherwise,0.002390,2,98
naturally,0.002369,2,90
tense,0.002330,2,132
shouldn't,0.002330,2,100
nod,0.002322,1,13
bath,0.002322,1,14
impose,0.002322,1,13
slap,0.002322,1,17
uncomfortableness,0.002322,1,19
peak,0.002265,1,20
bank,0.002265,1,13
scratch,0.002265,1,14
anybody,0.002254,2,120
light,0.002231,4,502
reach,0.002217,2,106
clench,0.002214,1,19
leg,0.002182,2,112
contemporary,0.002166,1,28
mechanism,0.002166,1,16
pass,0.002165,2,155
tightness,0.002165,2,119
echo,0.002121,1,19
paradox,0.002121,1,21
girl,0.002121,1,66
uncomfortable,0.002081,2,211
water,0.002080,3,497
equivalent,0.002080,1,23
nibbana,0.002080,1,42
liken,0.002080,1,23
beach,0.002080,1,24
wet,0.002080,1,30
b,0.002080,1,23
wouldn't,0.002049,2,137
smart,0.002041,1,22
handle,0.002041,1,24
noble,0.002034,2,283
openness,0.002034,2,143
stop,0.002012,4,480
unsatisfactoriness,0.002004,1,36
mild,0.002004,1,22
scene,0.002004,1,30
hole,0.002004,1,38
okay,0.001993,7,1205
ago,0.001984,3,279
honestly,0.001969,1,20
manipulate,0.001969,1,21
restless,0.001969,1,30
tall,0.001969,1,24
complete,0.001944,2,162
natural,0.001944,3,354
creature,0.001936,1,27
pursue,0.001936,1,42
condition,0.001915,4,702
turn,0.001908,6,703
total,0.001904,1,31
weekend,0.001904,1,25
ease,0.001902,4,587
show,0.001888,4,572
creative,0.001874,1,39
bad,0.001853,3,467
disturb,0.001845,1,31
try,0.001816,14,1350
didn't,0.001809,4,543
person,0.001804,7,1156
irritation,0.001766,1,40
click,0.001766,1,47
gesture,0.001766,1,44
image,0.001743,2,211
argue,0.001742,1,34
obviously,0.001718,1,34
brightness,0.001718,1,64
promise,0.001696,1,46
irritate,0.001696,1,46
wood,0.001696,1,53
underlie,0.001674,1,66
confusion,0.001674,1,60
drive,0.001670,2,203
unnecessary,0.001653,1,41
bunch,0.001653,1,34
behave,0.001653,1,43
drift,0.001632,1,52
gosh,0.001632,1,45
cross,0.001632,1,110
spend,0.001628,3,309
point,0.001625,11,1189
pretend,0.001593,1,52
capable,0.001593,1,43
bear,0.001590,2,249
wow,0.001590,2,223
speak,0.001584,3,509
philosophy,0.001574,1,52
anchor,0.001574,1,77
commitment,0.001574,1,60
rule,0.001574,1,66
nothing,0.001574,4,514
shoulder,0.001569,2,220
sort,0.001569,2,289
example,0.001562,3,395
cloud,0.001556,1,84
clothe,0.001556,1,54
character,0.001556,1,52
sadness,0.001556,1,64
sudden,0.001556,1,65
often,0.001551,8,1135
carry,0.001547,2,221
wait,0.001547,2,233
tiny,0.001538,1,53
spiritual,0.001536,2,603
start,0.001534,13,1571
grab,0.001521,1,77
truly,0.001521,1,47
label,0.001521,1,84
wide,0.001505,2,297
tighten,0.001504,1,63
wear,0.001504,1,72
unpack,0.001504,1,59
meditate,0.001504,4,538
certain,0.001499,5,649
create,0.001492,4,566
reactive,0.001488,1,69
lake,0.001488,1,133
none,0.001472,1,55
impulse,0.001457,1,73
agree,0.001457,1,59
wish,0.001447,4,604
collect,0.001441,1,74
gravity,0.001441,1,54
harmful,0.001441,1,87
idea,0.001437,10,1693
discover,0.001435,2,325
medium,0.001427,1,87
upset,0.001427,1,54
distance,0.001412,1,63
settledness,0.001412,1,82
bodily,0.001398,1,110
absolutely,0.001398,1,69
seed,0.001384,1,92
ear,0.001384,1,77
plant,0.001370,1,97
recently,0.001357,1,63
woman,0.001357,1,174
movement,0.001357,3,475
constant,0.001344,1,75
weren't,0.001344,1,80
identity,0.001331,1,169
leaf,0.001331,1,67
meet,0.001318,3,671
quiet,0.001309,3,648
sure,0.001305,2,267
exactly,0.001305,2,245
laughter,0.001294,1,76
except,0.001294,1,74
observe,0.001294,1,129
guy,0.001294,1,114
painful,0.001294,1,105
fall,0.001287,2,292
order,0.001287,2,252
tonight,0.001271,1,105
grief,0.001271,1,143
let,0.001262,48,2887
resistance,0.001248,1,126
definitely,0.001248,1,81
energy,0.001244,2,448
everything,0.001241,5,957
monday,0.001237,1,72
translation,0.001237,1,113
course,0.001230,4,733
doe,0.001229,5,916
near,0.001216,1,116
early,0.001211,2,297
habit,0.001205,1,118
spaciousness,0.001205,1,220
discomfort,0.001195,1,135
partly,0.001195,1,90
matter,0.001186,2,303
cling,0.001186,2,643
social,0.001185,1,136
seat,0.001185,1,121
river,0.001185,1,371
hopefully,0.001185,1,88
range,0.001165,1,101
strength,0.001165,1,104
trouble,0.001165,1,94
actually,0.001163,6,1129
leave,0.001163,3,511
believe,0.001162,2,355
huge,0.001155,1,110
though,0.001154,2,257
put,0.001148,5,849
lead,0.001147,2,549
bring,0.001134,7,1269
wisdom,0.001131,2,556
view,0.001131,2,761
reality,0.001127,1,126
society,0.001127,1,146
eat,0.001127,1,142
memory,0.001118,1,152
recognize,0.001111,3,700
open,0.001101,8,1295
read,0.001100,2,444
perfect,0.001100,1,131
stillness,0.001100,1,182
easily,0.001100,1,103
happen,0.001098,15,2196
lay,0.001074,1,146
allow,0.001069,8,1581
cushion,0.001065,1,167
always,0.001060,4,759
nice,0.001060,3,579
night,0.001057,1,180
period,0.001057,1,114
eventually,0.001057,1,106
inner,0.001056,2,540
lovely,0.001049,1,123
type,0.001041,1,190
wherever,0.001041,1,105
warm,0.001033,1,128
remind,0.001033,1,117
english,0.001025,1,134
respond,0.001025,1,164
accept,0.001025,1,151
buddhist,0.001019,3,892
response,0.001017,1,208
wonder,0.001017,1,150
happiness,0.001013,2,869
tree,0.001009,1,215
tight,0.001001,1,146
realize,0.000999,2,433
away,0.000997,6,1076
ancient,0.000994,1,166
beautiful,0.000992,2,592
pick,0.000986,1,129
recognition,0.000986,1,222
remember,0.000985,2,426
friend,0.000985,2,586
short,0.000972,1,137
everybody,0.000972,1,205
strong,0.000958,2,477
directly,0.000957,1,122
rid,0.000957,1,181
expression,0.000957,1,135
path,0.000951,2,1006
avoid,0.000950,1,186
balance,0.000950,1,239
right,0.000946,11,2321
top,0.000943,1,183
check,0.000937,1,174
comment,0.000937,1,200
power,0.000930,1,227
chance,0.000910,1,164
enough,0.000909,4,779
buddha,0.000900,4,1958
i'd,0.000898,2,454
q,0.000897,1,131
occur,0.000877,1,150
distract,0.000877,1,166
necessarily,0.000871,1,157
exist,0.000865,1,172
saw,0.000847,1,198
harm,0.000841,1,500
interest,0.000835,2,547
powerful,0.000835,1,182
break,0.000835,1,206
anger,0.000829,1,375
stress,0.000823,1,312
familiar,0.000823,1,191
effort,0.000806,1,363
peace,0.000805,2,664
yet,0.000801,1,248
ever,0.000801,1,190
anything,0.000793,4,883
arise,0.000788,3,1093
suppose,0.000784,1,193
imagine,0.000781,2,480
number,0.000779,1,222
care,0.000775,4,1725
attitude,0.000774,1,304
bite,0.000772,7,1589
alive,0.000763,1,214
outside,0.000763,1,211
aversion,0.000753,1,495
another,0.000752,3,796
want,0.000748,18,3191
would,0.000746,7,2056
learn,0.000745,3,831
inspire,0.000742,1,260
play,0.000742,1,289
write,0.000737,1,251
watch,0.000732,1,264
behind,0.000732,1,202
problem,0.000732,1,310
great,0.000723,3,964
choose,0.000722,1,282
awaken,0.000712,1,447
else,0.000712,2,579
big,0.000712,2,692
direct,0.000708,1,281
simple,0.000707,2,749
