word,tfidf_score,talk_frequency,global_frequency
criterion,0.034913,8,56
faulty,0.029705,5,8
wise,0.024523,20,461
accent,0.023764,4,10
room,0.016185,17,461
accompany,0.015457,6,134
trash,0.014738,3,14
rely,0.014318,4,36
unethical,0.012214,3,25
respect,0.011303,7,241
praise,0.011070,4,75
kindly,0.010205,4,69
fault,0.009961,3,51
foible,0.009501,2,19
socially,0.008960,2,11
social,0.008908,4,136
private,0.008517,2,29
expansive,0.008392,3,73
friend,0.008332,9,586
opinion,0.008129,3,122
compassionate,0.007883,3,78
street,0.007728,3,94
allowance,0.007274,1,1
well-informed,0.007274,1,1
well-considered,0.007274,1,1
clearly,0.007240,7,423
account,0.007046,2,32
inherently,0.006736,2,36
ethical,0.006625,3,205
simplistically,0.006433,1,2
consult,0.006433,1,6
interrelationship,0.006433,1,2
someone,0.006312,9,675
witness,0.006214,2,58
roll,0.006062,2,44
pretend,0.005989,2,52
lengthy,0.005941,1,3
decision,0.005656,2,55
magnanimous,0.005592,1,6
individualistic,0.005592,1,5
excessively,0.005592,1,4
clerk,0.005592,1,4
lazy,0.005592,1,4
inspire,0.005581,4,260
neighbor,0.005419,2,71
truncate,0.005321,1,6
environment,0.005309,2,65
alone,0.005282,3,154
preference,0.005256,2,68
reaction,0.005203,2,95
news,0.005005,2,77
speak,0.004962,5,509
scripture,0.004913,1,11
swear,0.004913,1,11
kusala,0.004913,1,14
person,0.004845,10,1156
awake,0.004735,2,92
ignore,0.004735,2,78
privately,0.004608,1,12
language,0.004579,3,198
forceful,0.004480,1,10
attentiveness,0.004480,1,14
interpersonal,0.004480,1,22
pilot,0.004480,1,16
impatient,0.004480,1,17
disrespect,0.004480,1,10
shape,0.004454,2,86
unwholesome,0.004416,2,188
culture,0.004343,2,144
decide,0.004271,2,129
kalama,0.004259,1,27
island,0.004259,1,32
route,0.004259,1,14
wisdom,0.004252,4,556
agent,0.004161,1,16
disgust,0.004161,1,29
behind,0.004129,3,202
course,0.004048,7,733
attribute,0.003988,1,23
domain,0.003836,1,36
response,0.003823,2,208
tremendously,0.003766,1,18
twist,0.003766,1,29
manner,0.003766,1,20
upper,0.003766,1,21
recognition,0.003709,2,222
pick,0.003709,2,129
logic,0.003701,1,27
mess,0.003701,1,26
greedy,0.003701,1,26
priority,0.003701,1,25
bother,0.003701,1,33
leave,0.003643,5,511
demonstrate,0.003639,1,30
sway,0.003639,1,26
personal,0.003627,2,170
kitchen,0.003579,1,55
blind,0.003579,1,30
intimately,0.003523,1,23
emotionally,0.003523,1,29
perform,0.003469,1,32
overlook,0.003417,1,28
accurate,0.003368,1,31
automatic,0.003368,1,43
else,0.003347,5,579
interfere,0.003320,1,45
colleague,0.003320,1,36
unskillful,0.003320,1,63
aware,0.003281,4,671
prove,0.003274,1,43
yes,0.003233,3,418
unhealthy,0.003230,1,43
respectful,0.003230,1,34
lie,0.003229,2,189
criticize,0.003188,1,39
companion,0.003188,1,60
dedication,0.003147,1,43
wisely,0.003147,1,34
produce,0.003107,1,47
kindness,0.003103,3,566
wholesome,0.003096,2,435
everyone,0.003071,4,480
fix,0.003032,2,292
independent,0.002995,1,53
family,0.002990,2,278
manifest,0.002959,1,49
calmly,0.002959,1,107
slow,0.002949,2,168
imagine,0.002936,4,480
pay,0.002928,2,235
lightly,0.002925,1,48
store,0.002892,1,56
breathe,0.002871,7,2612
conceit,0.002860,1,75
physically,0.002828,1,52
value,0.002810,2,242
relationship,0.002797,3,522
attain,0.002738,1,71
friendship,0.002738,1,129
inherent,0.002738,1,70
you'll,0.002679,2,238
miss,0.002654,1,71
totally,0.002602,1,98
intimate,0.002576,1,62
grow,0.002569,3,525
buddha,0.002538,6,1958
school,0.002503,1,104
prepare,0.002456,1,82
silent,0.002456,1,120
wrong,0.002452,2,346
natural,0.002436,2,354
oppose,0.002389,1,90
influence,0.002389,1,89
spacious,0.002326,1,114
skillful,0.002326,1,151
strange,0.002305,1,73
capacity,0.002276,2,423
understand,0.002235,6,1281
aside,0.002227,1,116
specific,0.002190,1,97
desire,0.002155,2,785
view,0.002126,2,761
appreciate,0.002120,3,602
meditate,0.002120,3,538
attune,0.002118,1,120
characteristic,0.002101,1,195
quietly,0.002067,1,102
depend,0.002067,1,113
eye,0.002066,4,665
strain,0.002035,1,137
seem,0.002024,3,526
impact,0.002018,1,142
inner,0.001985,2,540
express,0.001971,1,154
uncomfortable,0.001956,1,211
accept,0.001926,1,151
careful,0.001926,1,134
hear,0.001915,3,937
tremendous,0.001912,1,119
live,0.001904,5,1316
supportive,0.001897,1,140
sutta,0.001868,1,329
return,0.001813,2,299
teacher,0.001813,2,581
would,0.001802,9,2056
condition,0.001800,2,702
calm,0.001775,2,853
limit,0.001773,1,207
gently,0.001750,2,426
appropriate,0.001748,1,179
yesterday,0.001698,1,167
guide,0.001689,6,955
occur,0.001650,1,150
include,0.001640,2,477
people,0.001640,18,3497
orientation,0.001638,1,245
necessarily,0.001638,1,157
space,0.001629,2,755
exist,0.001626,1,172
close,0.001601,5,706
line,0.001581,1,230
present,0.001562,5,1330
stress,0.001548,1,312
trust,0.001516,1,294
field,0.001495,1,281
bear,0.001495,1,249
term,0.001485,1,273
nothing,0.001479,2,514
shoulder,0.001474,1,220
gil,0.001468,2,468
goodwill,0.001464,1,540
attitude,0.001454,1,304
mindful,0.001415,1,286
wide,0.001415,1,297
ability,0.001405,1,246
gentle,0.001395,1,277
connection,0.001386,1,230
watch,0.001376,1,264
choose,0.001358,1,282
tomorrow,0.001312,1,195
head,0.001295,1,276
healthy,0.001286,1,329
translate,0.001286,1,279
certainly,0.001286,1,219
tradition,0.001277,1,356
normal,0.001251,1,193
completely,0.001251,1,264
bring,0.001218,4,1269
order,0.001210,1,252
important,0.001205,3,881
engage,0.001193,1,353
push,0.001177,1,321
fully,0.001169,1,323
real,0.001169,1,245
emotion,0.001169,1,397
consider,0.001169,1,301
well-being,0.001154,1,593
pull,0.001146,1,338
certain,0.001128,2,649
anything,0.001118,3,883
care,0.001093,3,1725
compassion,0.001092,1,713
goodness,0.001092,1,490
relate,0.001092,1,344
though,0.001085,1,257
activity,0.001085,1,487
around,0.001073,5,1211
helpful,0.001070,1,597
reason,0.001063,1,296
share,0.001049,1,488
bite,0.001037,5,1589
assume,0.001027,1,250
fronsdal,0.001020,1,319
step,0.000986,1,467
minute,0.000979,1,365
support,0.000978,2,1043
catch,0.000959,1,488
walk,0.000945,1,579
realize,0.000939,1,433
want,0.000937,12,3191
everything,0.000933,2,957
lose,0.000926,1,450
quality,0.000919,1,647
strong,0.000900,1,477
inside,0.000900,1,459
may,0.000895,5,2295
somehow,0.000881,1,340
point,0.000833,3,1189
happen,0.000826,6,2196
peaceful,0.000820,1,433
particular,0.000808,1,474
hand,0.000802,1,511
keep,0.000795,2,854
ask,0.000785,1,723
