word,tfidf_score,talk_frequency,global_frequency
eightfold,0.026692,20,103
stress,0.020391,29,294
asceticism,0.016861,8,19
path,0.011951,29,849
absence,0.010712,9,109
luxury,0.010217,5,15
speech,0.009242,9,184
fold,0.009214,5,24
ascetic,0.008648,5,27
complete,0.008515,10,138
renunciant,0.007928,3,6
awaken,0.007848,13,432
middle,0.007681,13,227
cling,0.007326,14,559
reference,0.006867,8,156
israel,0.006794,3,11
samma,0.006794,3,13
frame,0.006757,5,49
communicate,0.006543,4,31
renunciants,0.006484,2,2
rarified,0.006484,2,2
dissociate,0.006484,2,2
self-indulgence,0.006484,2,2
obstacle,0.006431,4,34
harmful,0.006217,5,83
disconnect,0.005888,5,94
forest,0.005827,5,123
asia,0.005802,3,16
rocket,0.005728,2,3
disassociation,0.005728,2,3
contagious,0.005728,2,3
western,0.005475,4,64
ethos,0.005286,2,4
luxurious,0.005286,2,5
buddhism,0.005049,10,538
palestinian,0.004972,2,13
indulgence,0.004972,2,7
who'd,0.004972,2,5
depth,0.004865,4,58
seriously,0.004823,3,26
questioner,0.004812,4,242
israeli,0.004728,2,13
amazon,0.004728,2,8
study,0.004687,6,181
illness,0.004525,3,34
live,0.004447,25,1197
reject,0.004332,3,47
ancient,0.004292,5,153
major,0.004273,3,36
tea,0.004273,3,55
retreat,0.004247,8,401
jungle,0.004215,2,17
lifestyle,0.004215,2,10
someone,0.004158,13,638
silence,0.004124,5,201
netflix,0.004087,2,12
paraphrase,0.003868,2,19
anyone,0.003793,4,120
chronic,0.003773,2,15
liberate,0.003730,3,63
act,0.003648,6,344
thoroughly,0.003605,2,16
tolerate,0.003605,2,16
host,0.003529,2,29
method,0.003459,2,20
effort,0.003439,5,338
fronsdal,0.003337,7,294
fulfil,0.003331,2,25
faith,0.003324,3,183
engage,0.003301,6,329
country,0.003291,3,97
driver,0.003272,2,30
deliberately,0.003272,2,42
action,0.003268,5,346
ed,0.003242,1,1
acculturate,0.003242,1,1
post-60s,0.003242,1,1
lebanese,0.003242,1,1
hundred-plus,0.003242,1,1
mega-estates,0.003242,1,1
dissociative,0.003242,1,1
patipada,0.003242,1,1
fulcrum,0.003242,1,1
anga,0.003242,1,1
sama-sambuddha,0.003242,1,1
passive-aggressive,0.003242,1,1
enter,0.003231,6,381
neighborhood,0.003216,2,22
current,0.003138,3,120
challenge,0.003040,5,307
state,0.003019,9,843
orientation,0.003008,4,204
context,0.002941,4,185
lie,0.002941,4,173
standard,0.002929,2,32
harm,0.002897,4,466
mental,0.002871,5,352
muscle,0.002869,3,112
counterculture,0.002864,1,2
palestine,0.002864,1,2
scholarship,0.002864,1,2
self-denial,0.002864,1,2
