word,tfidf_score,talk_frequency,global_frequency
holistic,0.062818,20,57
overview,0.045217,15,38
waterfall,0.030291,7,12
river,0.029182,17,368
current,0.028718,16,137
view,0.025235,29,729
eightfold,0.024426,11,153
simultaneously,0.020757,6,27
attachment,0.019529,13,257
tall,0.017742,6,22
caption,0.016920,3,3
metaphorically,0.015189,4,11
shadow,0.015072,5,28
calmly,0.014515,6,69
stand,0.014205,15,296
fear,0.013343,16,522
sweep,0.013152,5,46
freedom,0.012565,19,667
mid-thigh,0.011280,2,2
ground,0.010935,9,233
afraid,0.010769,6,110
desire,0.010079,12,769
preoccupation,0.009953,7,215
fold,0.009227,3,31
agency,0.009043,3,22
shore,0.008409,3,104
momentum,0.007818,4,91
path,0.007774,11,912
delay,0.007595,2,8
catch,0.006791,9,464
straight,0.006662,3,51
coexist,0.006574,2,17
shallow,0.006574,2,25
calm,0.006315,9,820
strong,0.006315,9,468
identify,0.006257,4,149
suffer,0.006135,14,1724
stress,0.006031,5,303
cessation,0.005914,2,48
latency,0.005640,1,1
videoed,0.005640,1,1
upstream,0.005640,1,1
teeter-totter,0.005640,1,1
knee-high,0.005640,1,1
flat,0.005426,2,36
cling,0.005370,6,578
agitate,0.005241,3,110
confidence,0.005195,3,164
swim,0.005184,2,42
float,0.005061,3,116
preoccupy,0.005018,3,124
situation,0.005009,5,331
upriver,0.004984,1,2
goodwill,0.004620,4,527
universal,0.004601,2,56
upright,0.004391,2,66
roar,0.004327,1,4
next,0.004197,11,637
excite,0.004157,2,63
trance,0.004116,1,8
firmly,0.003943,1,6
yesterday,0.003895,3,166
orientation,0.003895,3,226
step,0.003883,5,432
aware,0.003880,6,634
awareness,0.003824,8,1290
culmination,0.003797,1,10
youtube,0.003690,2,82
it'd,0.003671,1,9
limb,0.003671,1,11
samma,0.003671,1,15
stage,0.003463,2,131
carry,0.003415,3,213
strength,0.003403,2,102
whole,0.003270,11,1210
ability,0.003249,3,243
clearly,0.003196,4,412
right,0.003153,24,2207
concern,0.003136,3,281
literally,0.003128,2,98
metaphor,0.003128,2,153
lay,0.003128,2,144
stability,0.003103,2,171
beautifully,0.003076,1,23
sunlight,0.003014,1,20
disagree,0.003014,1,19
walk,0.002975,4,561
saturate,0.002957,1,28
limit,0.002866,2,187
request,0.002852,1,33
empathy,0.002803,1,93
describe,0.002762,3,283
honesty,0.002757,1,27
scan,0.002713,1,37
pull,0.002685,3,329
believe,0.002592,3,342
who've,0.002592,1,33
non-clinging,0.002592,1,61
nice,0.002556,5,565
necessarily,0.002539,2,153
possibility,0.002502,2,170
anxious,0.002485,1,40
language,0.002395,2,189
screen,0.002329,1,63
remarkable,0.002329,1,54
convince,0.002329,1,41
strongly,0.002301,1,43
frame,0.002301,1,51
switch,0.002273,1,46
relatively,0.002273,1,42
deny,0.002273,1,46
philosophy,0.002273,1,52
sun,0.002247,1,68
universe,0.002247,1,69
wide,0.002245,2,262
pali,0.002213,2,234
statement,0.002195,1,62
free,0.002176,7,764
collapse,0.002171,1,55
interpretation,0.002171,1,58
fill,0.002151,2,239
friendliness,0.002147,1,178
trap,0.002147,1,78
big,0.002112,4,672
settledness,0.002101,1,77
danger,0.002101,1,74
opinion,0.002101,1,121
show,0.002089,3,553
consequence,0.002078,1,63
environment,0.002056,1,64
eye,0.002038,5,647
distress,0.002014,1,87
maintain,0.002014,1,82
cultivate,0.002004,2,465
lean,0.001935,1,81
either,0.001934,2,231
mindfulness,0.001864,4,1000
fun,0.001863,1,105
confuse,0.001863,1,71
somewhat,0.001845,1,75
stream,0.001845,1,111
skillful,0.001845,1,144
emotion,0.001828,2,390
lack,0.001828,1,97
fast,0.001811,1,97
