word,tfidf_score,talk_frequency,global_frequency
calmly,0.048895,24,107
inner,0.023913,35,540
holistic,0.021492,9,139
bike,0.013527,4,24
wholesome,0.012787,12,435
effort,0.012522,12,363
eightfold,0.010854,6,231
custodian,0.010015,2,2
handwrite,0.010015,2,2
lottery,0.009811,3,10
debilitate,0.009516,3,13
quality,0.009493,15,647
smooth,0.009273,4,37
act,0.009220,10,369
inspire,0.008645,9,260
train,0.008584,8,352
adept,0.008179,2,4
anytime,0.007922,3,21
action,0.007632,8,430
healthy,0.007081,8,329
serve,0.006957,4,123
win,0.006762,3,84
activity,0.006723,9,487
monitor,0.006541,2,9
caretaker,0.006344,2,12
thumb,0.006344,2,13
responsibility,0.006041,3,55
peacefully,0.006041,3,54
adjust,0.005881,4,102
awareness,0.005810,14,1389
evoke,0.005777,3,74
impulse,0.005655,3,73
identify,0.005558,4,154
arm,0.005387,4,128
craft,0.005382,2,17
gaze,0.005304,4,165
cut,0.005269,3,65
embed,0.005186,2,29
greedy,0.005095,2,26
doings,0.005007,1,1
craftspersons,0.005007,1,1
heart-full,0.005007,1,1
belly-full,0.005007,1,1
pothole,0.005007,1,1
adjustable,0.005007,1,1
manipulative,0.005007,1,1
stub,0.005007,1,1
handicap,0.005007,1,1
wholesomeness,0.004928,2,33
limitation,0.004850,2,52
step,0.004750,7,467
skilled,0.004571,2,35
meet,0.004550,8,671
learn,0.004497,14,831
unhealthy,0.004447,2,43
caretake,0.004428,1,2
craftsperson,0.004428,1,3
vagary,0.004428,1,2
bird-eye,0.004428,1,2
artistic,0.004428,1,2
mental,0.004426,5,368
hand,0.004419,8,511
sacrifice,0.004332,2,53
anger,0.004292,4,375
physical,0.004203,4,219
non-doing,0.004090,1,6
wordplay,0.004090,1,3
asphalt,0.004090,1,3
bumpy,0.004090,1,7
caretaking,0.004090,1,5
pollyannaish,0.004090,1,8
distinguish,0.004075,2,53
upon,0.004004,4,215
develop,0.003917,5,380
skill,0.003894,2,75
elegance,0.003849,1,4
dualistic,0.003849,1,5
willpower,0.003849,1,4
care,0.003762,15,1725
inside,0.003718,6,459
path,0.003692,6,1006
calm,0.003666,6,853
unhurried,0.003663,1,9
exquisite,0.003663,1,5
settledness,0.003655,2,82
miss,0.003655,2,71
disengage,0.003511,1,6
upwelling,0.003511,1,8
primary,0.003407,3,179
greed,0.003407,3,263
caringly,0.003382,1,8
enhance,0.003382,1,8
whole,0.003334,13,1332
visitor,0.003270,1,11
dichotomy,0.003270,1,8
distinction,0.003202,2,102
teeny,0.003172,1,11
contingent,0.003084,1,13
tense,0.003015,2,132
goodness,0.003008,4,490
seventh,0.003004,1,14
nope,0.003004,1,16
factor,0.002990,2,139
meaningful,0.002965,2,102
enliven,0.002932,1,15
override,0.002932,1,21
pen,0.002932,1,23
able,0.002929,7,658
aversion,0.002921,3,495
artist,0.002865,1,16
shallow,0.002865,1,26
clearly,0.002848,4,423
fill,0.002823,3,250
suffuse,0.002803,1,32
busy,0.002801,2,102
rough,0.002745,1,18
satisfy,0.002693,2,150
mentally,0.002691,1,19
decrease,0.002691,1,18
beautifully,0.002691,1,24
elbow,0.002691,1,34
lovingly,0.002691,1,23
nourish,0.002673,2,138
sixth,0.002641,1,19
noble,0.002632,2,283
beautiful,0.002567,4,592
thrill,0.002548,1,28
complain,0.002548,1,43
perpetuate,0.002548,1,23
explanation,0.002548,1,24
adjustment,0.002505,1,21
instruct,0.002505,1,23
engage,0.002464,3,353
avoid,0.002460,2,186
excitement,0.002425,1,35
someplace,0.002425,1,28
drain,0.002425,1,26
comment,0.002424,2,200
scan,0.002388,1,38
calmness,0.002388,1,42
flat,0.002388,1,37
grow,0.002358,4,525
ignorance,0.002352,1,47
capacity,0.002350,3,423
concentration,0.002320,2,247
ultimate,0.002318,1,38
peaceful,0.002258,4,433
urge,0.002224,1,45
undermine,0.002224,1,36
spin,0.002224,1,47
enjoy,0.002192,2,198
accomplish,0.002166,1,59
everyone,0.002114,4,480
primarily,0.002112,1,40
enjoyable,0.002112,1,42
language,0.002102,2,198
ongoing,0.002086,1,42
tap,0.002086,1,38
capable,0.002061,1,43
add,0.002058,2,300
definition,0.002037,1,52
phenomenal,0.002037,1,52
goodwill,0.002016,2,540
clothe,0.002014,1,54
sadness,0.002014,1,64
medicine,0.002014,1,85
dramatic,0.002014,1,48
joy,0.002008,3,946
possible,0.001991,4,542
strongly,0.001991,1,47
actively,0.001926,1,51
reactive,0.001926,1,69
recognize,0.001916,4,700
write,0.001908,2,251
alert,0.001905,1,53
honest,0.001905,1,71
watch,0.001895,2,264
side,0.001895,2,297
harmful,0.001865,1,87
motivate,0.001865,1,60
road,0.001865,1,120
whose,0.001865,1,48
discover,0.001857,2,325
generous,0.001846,1,97
else,0.001843,4,579
compassionate,0.001809,1,78
money,0.001809,1,79
attentive,0.001791,1,58
prefer,0.001773,1,61
final,0.001773,1,72
engagement,0.001773,1,62
kindly,0.001756,1,69
positive,0.001756,1,84
woman,0.001756,1,174
refuge,0.001739,1,175
worth,0.001739,1,91
circumstance,0.001723,1,91
flower,0.001723,1,88
significant,0.001691,1,76
inspiration,0.001691,1,128
track,0.001691,1,99
support,0.001683,5,1043
potential,0.001675,1,87
increase,0.001675,1,93
order,0.001665,2,252
faith,0.001660,1,188
grief,0.001645,1,143
mindfulness,0.001633,4,1055
somewhat,0.001630,1,77
confuse,0.001630,1,74
life,0.001613,30,3018
well-being,0.001588,2,593
sensitive,0.001587,1,101
special,0.001587,1,89
health,0.001587,1,104
wholeness,0.001573,1,179
peace,0.001562,3,664
picture,0.001546,1,124
anything,0.001539,6,883
hopefully,0.001533,1,88
aside,0.001533,1,116
contract,0.001520,1,107
repeat,0.001520,1,86
unwholesome,0.001520,1,188
buddhism,0.001514,2,578
speech,0.001507,1,226
confidence,0.001507,1,168
believe,0.001504,2,355
relate,0.001504,2,344
art,0.001495,1,150
surprise,0.001495,1,93
fear,0.001464,2,539
similar,0.001458,1,87
react,0.001458,1,101
someone,0.001448,3,675
change,0.001448,4,1471
characteristic,0.001446,1,195
judge,0.001446,1,117
role,0.001446,1,145
guess,0.001435,1,125
kindness,0.001424,2,566
expect,0.001412,1,105
isn't,0.001405,2,419
clean,0.001401,1,151
torso,0.001389,1,132
angry,0.001389,1,186
soon,0.001379,1,148
suggest,0.001368,1,97
low,0.001357,1,143
lovely,0.001357,1,123
careful,0.001326,1,134
slowly,0.001326,1,111
define,0.001326,1,140
generosity,0.001326,1,267
encounter,0.001326,1,120
buddhist,0.001318,3,892
simplicity,0.001316,1,268
openness,0.001316,1,143
judgment,0.001296,1,187
hatred,0.001296,1,214
doe,0.001273,4,916
relax,0.001248,4,1325
finally,0.001248,1,156
opposite,0.001248,1,134
delusion,0.001248,1,226
young,0.001248,1,167
directly,0.001239,1,122
rid,0.001239,1,181
preoccupation,0.001239,1,227
limit,0.001221,1,207
somehow,0.001213,2,340
mention,0.001194,1,160
won't,0.001186,1,145
require,0.001177,1,160
source,0.001144,1,362
control,0.001136,1,287
distract,0.001136,1,166
breathe,0.001129,4,2612
may,0.001109,9,2295
ready,0.001104,1,187
powerful,0.001081,1,182
away,0.001075,5,1076
eye,0.001067,3,665
stress,0.001066,1,312
oneself,0.001066,1,197
clarity,0.001043,1,261
intention,0.001043,1,281
fix,0.001043,1,292
wonderful,0.001041,2,545
tell,0.001041,2,647
expand,0.001029,1,201
nothing,0.001018,2,514
lot,0.001018,10,1640
slow,0.001015,1,168
offer,0.001010,3,742
emotional,0.001008,1,232
presence,0.001008,1,245
outside,0.000987,1,211
love,0.000947,4,1809
mind,0.000936,34,4777
truth,0.000935,1,536
choose,0.000935,1,282
awaken,0.000922,1,447
simple,0.000914,2,749
nice,0.000914,2,579
rather,0.000900,2,578
well,0.000891,5,1406
situation,0.000885,1,342
tradition,0.000879,1,356
difference,0.000879,1,245
normal,0.000861,1,193
sure,0.000844,1,267
bring,0.000839,4,1269
stand,0.000833,1,319
call,0.000828,4,1115
aspect,0.000821,1,283
late,0.000821,1,282
emotion,0.000805,1,397
home,0.000800,1,281
posture,0.000796,2,664
pull,0.000789,1,338
usually,0.000773,1,260
cling,0.000768,1,643
hope,0.000762,1,271
happen,0.000758,8,2196
part,0.000758,8,1726
move,0.000756,2,671
compassion,0.000752,1,713
suffer,0.000750,2,1751
simply,0.000747,1,322
safe,0.000743,2,451
view,0.000732,1,761
reason,0.000732,1,296
heart,0.000723,4,1755
nature,0.000712,1,413
fronsdal,0.000702,1,319
world,0.000702,8,2570
place,0.000702,5,1656
happy,0.000686,3,900
speak,0.000683,1,509
right,0.000668,6,2321
whether,0.000665,1,331
probably,0.000660,1,360
catch,0.000660,1,488
happiness,0.000655,1,869
everything,0.000642,2,957
friend,0.000637,1,586
body,0.000629,8,3405
small,0.000628,1,417
quite,0.000624,2,733
return,0.000624,1,299
put,0.000594,2,849
focus,0.000594,1,624
without,0.000589,3,1027
settle,0.000588,2,1552
enough,0.000588,2,779
didn't,0.000585,1,543
guide,0.000581,3,955
i'd,0.000581,1,454
freedom,0.000573,1,691
towards,0.000569,1,518
aware,0.000565,1,671
people,0.000564,9,3497
space,0.000561,1,755
idea,0.000558,3,1693
form,0.000552,1,472
whatever,0.000551,4,1271
become,0.000534,7,1881
live,0.000524,2,1316
link,0.000519,2,565
morning,0.000513,1,426
deep,0.000511,3,1807
gil,0.000505,1,468
imagine,0.000505,1,480
within,0.000505,1,561
connect,0.000505,1,707
leave,0.000502,1,511
dharma,0.000475,1,870
wish,0.000468,1,604
many,0.000466,3,1165
big,0.000461,1,692
begin,0.000458,3,1493
dharmette,0.000454,1,343
clear,0.000454,1,594
experience,0.000451,5,3247
close,0.000441,2,706
rest,0.000429,1,573
almost,0.000429,1,580
year,0.000422,1,868
turn,0.000412,1,703
thank,0.000407,4,1259
word,0.000399,3,1481
find,0.000393,5,1762
certain,0.000388,1,649
thing,0.000385,14,5117
stay,0.000372,1,872
notice,0.000362,1,1251
make,0.000345,9,2532
try,0.000336,2,1350
sometimes,0.000324,4,1977
want,0.000323,6,3191
next,0.000321,1,668
good,0.000315,7,2632
moment,0.000305,3,1919
look,0.000300,2,1512
buddha,0.000291,1,1958
hold,0.000282,1,1072
need,0.000281,2,1638
important,0.000277,1,881
free,0.000274,1,790
let,0.000272,8,2887
understand,0.000256,1,1281
others,0.000254,1,1138
attention,0.000242,1,1400
work,0.000242,1,1422
together,0.000234,1,1094
little,0.000215,3,2467
sense,0.000215,4,3086
present,0.000215,1,1330
take,0.000208,7,2368
day,0.000199,1,1063
use,0.000199,1,1237
open,0.000178,1,1295
might,0.000175,3,2246
allow,0.000173,1,1581
welcome,0.000165,1,751
long,0.000160,1,987
start,0.000153,1,1571
u,0.000152,9,3581
practice,0.000148,5,3987
information,0.000148,1,441
think,0.000136,13,6192
back,0.000116,1,1553
much,0.000103,2,1749
end,0.000102,1,1170
even,0.000076,3,1972
time,0.000076,6,3091
sit,0.000069,1,1592
feel,0.000046,11,6492
ai-generated,0.000000,1,403
transcript,0.000000,1,406
auto-generated,0.000000,1,403
subtitle,0.000000,1,404
video,0.000000,1,426
meditation,0.000000,11,3673
likely,0.000000,1,498
contain,0.000000,1,437
inaccuracy,0.000000,1,403
follow,0.000000,1,759
talk,0.000000,3,2572
give,0.000000,1,2086
insight,0.000000,2,1714
center,0.000000,1,1193
redwood,0.000000,1,453
city,0.000000,1,512
california,0.000000,1,468
please,0.000000,1,604
visit,0.000000,1,495
website,0.000000,1,471
www,0.000000,1,418
audiodharma,0.000000,1,418
org,0.000000,1,434
