word,tfidf_score,talk_frequency,global_frequency
samadhi,0.021477,27,1556
holistic,0.020345,8,139
eight-fold,0.016421,5,19
wide,0.012445,12,297
eighth,0.012298,3,6
hilltop,0.011702,3,7
cook,0.010331,4,37
eightfold,0.009632,5,231
include,0.009621,16,477
shortcoming,0.009432,2,3
preoccupation,0.009236,7,227
exclude,0.009152,3,21
awareness,0.008840,20,1389
calmly,0.008678,4,107
periphery,0.008598,3,20
wholeness,0.008377,5,179
focal,0.008199,2,6
dirty,0.007802,2,8
sing,0.007516,3,41
tension,0.007176,10,633
radical,0.007135,4,93
space,0.006566,11,755
path,0.006552,10,1006
factor,0.006368,4,139
wear,0.006220,3,72
divide,0.006220,3,77
traditionally,0.005970,2,15
home,0.005960,7,281
context,0.005877,5,209
breathe,0.005713,19,2612
accept,0.005649,4,151
interrupt,0.005522,2,26
everything,0.005473,16,957
natural,0.005357,6,354
all-inclusion,0.005333,1,1
interruptible,0.005333,1,1
inclusive,0.005165,2,36
spot,0.005161,3,119
phenomenally,0.005086,2,26
deliberate,0.005086,2,41
bowl,0.005011,2,58
bore,0.004868,2,40
solidly,0.004716,1,2
all-inclusive,0.004716,1,2
multitask,0.004716,1,3
paradise,0.004716,1,2
anger,0.004571,4,375
transformation,0.004555,2,71
alternation,0.004355,1,3
centrally,0.004355,1,3
transcendence,0.004355,1,4
gather,0.004323,4,366
peacefully,0.004289,2,54
clothe,0.004289,2,54
expansive,0.004102,2,73
t-shirt,0.004099,1,4
pant,0.004099,1,9
ninth,0.004099,1,4
separate,0.003958,3,163
calm,0.003904,6,853
funeral,0.003901,1,6
muddy,0.003901,1,5
footstep,0.003901,1,5
province,0.003901,1,5
resent,0.003901,1,5
spread,0.003900,3,255
surface,0.003872,3,175
loud,0.003777,2,65
grind,0.003761,3,172
base,0.003602,3,223
safely,0.003601,1,13
approve,0.003483,1,10
particularity,0.003483,1,12
condemn,0.003483,1,8
counter,0.003483,1,12
ground,0.003428,3,242
culmination,0.003378,1,12
parcel,0.003378,1,9
eyesight,0.003284,1,10
scent,0.003284,1,24
byproduct,0.003284,1,10
luminous,0.003284,1,13
samma,0.003284,1,17
cling,0.003270,4,643
goodwill,0.003220,3,540
safety,0.003211,2,120
row,0.003199,1,15
proud,0.003199,1,12
boredom,0.003199,1,21
concentrate,0.003157,2,125
okay,0.003139,8,1205
guest,0.003122,1,15
county,0.003122,1,25
fear,0.003117,4,539
weight,0.003031,2,159
coexist,0.002985,1,19
seem,0.002967,6,526
angry,0.002959,2,186
act,0.002946,3,369
soften,0.002941,5,572
groundedness,0.002923,1,24
paradox,0.002923,1,21
inclusion,0.002866,1,28
open,0.002845,15,1295
gaze,0.002824,2,165
scope,0.002812,1,21
wilderness,0.002812,1,33
peripheral,0.002812,1,41
thailand,0.002812,1,26
openly,0.002812,1,17
hell,0.002812,1,60
live,0.002792,10,1316
garden,0.002761,1,25
tightly,0.002761,1,31
whole,0.002731,10,1332
manifestation,0.002713,1,27
complete,0.002679,2,162
