word,global_frequency_percent,document_frequency_percent,global_freq_score,document_freq_score,avg_tfidf_score,combined_score
samadhi,0.003,0.425,0.997,0.850,0.081,0.263
self,0.002,0.395,0.998,0.790,0.071,0.237
pleasure,0.001,0.322,0.999,0.643,0.054,0.186
joy,0.002,0.441,0.998,0.883,0.037,0.181
jhana,0.001,0.120,0.999,0.240,0.133,0.179
river,0.001,0.144,0.999,0.289,0.110,0.178
metta,0.001,0.180,0.999,0.360,0.087,0.177
equanimity,0.001,0.262,0.999,0.523,0.055,0.169
happiness,0.002,0.466,0.998,0.932,0.030,0.168
king,0.001,0.071,0.999,0.142,0.197,0.167
compassion,0.001,0.403,0.999,0.807,0.034,0.164
yeah,0.001,0.365,0.999,0.730,0.036,0.163
goodwill,0.001,0.281,0.999,0.561,0.047,0.162
tension,0.001,0.409,0.999,0.817,0.032,0.162
path,0.002,0.466,0.998,0.932,0.028,0.161
breathing,0.004,0.646,0.996,0.708,0.037,0.161
poem,0.001,0.183,0.999,0.365,0.071,0.161
calm,0.001,0.417,0.999,0.834,0.031,0.161
well-being,0.001,0.373,0.999,0.747,0.034,0.158
change,0.002,0.501,0.998,0.997,0.025,0.158
patience,0.001,0.109,0.999,0.218,0.111,0.155
simplicity,0.000,0.199,1.000,0.398,0.060,0.154
pain,0.001,0.392,0.999,0.785,0.030,0.154
space,0.001,0.501,0.999,0.997,0.024,0.153
dukkha,0.001,0.251,0.999,0.501,0.047,0.153
suffering,0.003,0.599,0.997,0.801,0.029,0.152
sensing,0.001,0.264,0.999,0.529,0.044,0.152
awareness,0.002,0.594,0.998,0.812,0.028,0.152
spiritual,0.001,0.297,0.999,0.594,0.038,0.151
changing,0.001,0.297,0.999,0.594,0.038,0.149
flood,0.000,0.044,1.000,0.087,0.256,0.149
flow,0.001,0.324,0.999,0.649,0.034,0.149
goodness,0.001,0.409,0.999,0.817,0.027,0.149
clinging,0.001,0.354,0.999,0.708,0.031,0.149
sensations,0.001,0.523,0.999,0.954,0.023,0.149
water,0.001,0.354,0.999,0.708,0.031,0.149
kindness,0.001,0.420,0.999,0.839,0.026,0.148
fear,0.001,0.368,0.999,0.736,0.030,0.148
state,0.001,0.368,0.999,0.736,0.029,0.147
mara,0.000,0.046,1.000,0.093,0.231,0.146
aversion,0.001,0.281,0.999,0.561,0.038,0.146
counting,0.000,0.074,1.000,0.147,0.145,0.146
settling,0.001,0.439,0.999,0.877,0.024,0.146
vision,0.000,0.106,1.000,0.213,0.100,0.146
harm,0.001,0.232,0.999,0.463,0.045,0.145
story,0.001,0.422,0.999,0.845,0.025,0.144
desire,0.001,0.311,0.999,0.621,0.033,0.144
wisdom,0.001,0.425,0.999,0.850,0.024,0.144
contentment,0.001,0.155,0.999,0.311,0.065,0.142
count,0.000,0.090,1.000,0.180,0.113,0.142
diana,0.001,0.158,0.999,0.316,0.064,0.142
wholesome,0.001,0.275,0.999,0.550,0.037,0.142
settled,0.001,0.373,0.999,0.747,0.027,0.142
truth,0.001,0.286,0.999,0.572,0.035,0.142
aware,0.001,0.501,0.999,0.997,0.020,0.141
knowing,0.001,0.515,0.999,0.970,0.021,0.141
freedom,0.001,0.493,0.999,0.986,0.020,0.141
sangha,0.000,0.174,1.000,0.349,0.057,0.141
breathe,0.001,0.425,0.999,0.850,0.023,0.140
sutta,0.001,0.204,0.999,0.409,0.048,0.140
spaciousness,0.000,0.155,1.000,0.311,0.063,0.140
quiet,0.001,0.433,0.999,0.866,0.022,0.139
community,0.001,0.223,0.999,0.447,0.043,0.139
light,0.001,0.390,0.999,0.779,0.025,0.139
dharma,0.002,0.567,0.998,0.866,0.022,0.138
effort,0.001,0.251,0.999,0.501,0.038,0.138
pleasant,0.001,0.313,0.999,0.627,0.030,0.138
buddhism,0.001,0.387,0.999,0.774,0.024,0.137
relaxing,0.001,0.379,0.999,0.757,0.025,0.137
energy,0.001,0.373,0.999,0.747,0.025,0.136
wise,0.001,0.335,0.999,0.670,0.027,0.135
ease,0.001,0.469,0.999,0.937,0.019,0.135
clark,0.001,0.131,0.999,0.262,0.070,0.135
earth,0.000,0.183,1.000,0.365,0.050,0.135
helpful,0.001,0.411,0.999,0.823,0.022,0.134
conflict,0.001,0.090,0.999,0.180,0.099,0.134
not-self,0.000,0.120,1.000,0.240,0.074,0.134
anger,0.001,0.264,0.999,0.529,0.034,0.134
question,0.001,0.460,0.999,0.921,0.019,0.134
beautiful,0.001,0.469,0.999,0.937,0.019,0.133
deeper,0.001,0.515,0.999,0.970,0.018,0.133
noticing,0.001,0.319,0.999,0.638,0.027,0.132
unpleasant,0.000,0.169,1.000,0.338,0.052,0.132
allowing,0.001,0.485,0.999,0.970,0.018,0.132
peace,0.001,0.526,0.999,0.948,0.018,0.132
stories,0.001,0.332,0.999,0.665,0.026,0.132
