word,global_frequency,document_frequency,idf_score
mind,4527,358,0.024829
meditation,3492,367,0.000000
practice,3241,351,0.044576
people,3171,341,0.073479
body,3140,327,0.115402
feel,3044,355,0.033244
sense,2569,344,0.064720
experience,2422,317,0.146460
time,2413,356,0.030431
life,2399,340,0.076416
world,2312,333,0.097219
little,2286,340,0.076416
say,2185,325,0.121537
may,2142,318,0.143310
think,2110,321,0.133921
right,2097,317,0.146460
might,2085,343,0.067631
want,2082,324,0.124618
buddha,2034,265,0.325632
breathing,1992,239,0.428898
well,1963,332,0.100227
would,1944,312,0.162359
different,1871,325,0.121537
feeling,1865,318,0.143310
let,1844,341,0.073479
sometimes,1843,332,0.100227
self,1830,237,0.437302
good,1820,326,0.118464
even,1711,354,0.036065
suffering,1656,246,0.400030
moment,1633,311,0.165569
insight,1629,367,0.000000
thinking,1628,296,0.215002
much,1615,344,0.064720
love,1507,262,0.337017
talk,1504,367,0.000000
heart,1499,284,0.256388
back,1460,323,0.127710
bit,1439,307,0.178514
samadhi,1428,136,0.992707
could,1420,282,0.263455
part,1403,320,0.137041
word,1397,334,0.094221
thing,1367,295,0.218386
lot,1358,320,0.137041
oh,1324,233,0.454323
often,1298,309,0.172021
place,1275,286,0.249370
awareness,1270,222,0.502684
attention,1262,274,0.292234
take,1258,330,0.106269
make,1254,296,0.215002
care,1250,254,0.368028
thoughts,1192,244,0.408194
present,1187,277,0.281344
whatever,1178,310,0.168790
find,1177,314,0.155969
idea,1149,263,0.333208
buddhist,1146,294,0.221782
deep,1146,277,0.281344
okay,1136,240,0.424723
whole,1128,269,0.310650
around,1126,308,0.175262
beings,1092,258,0.352402
thank,1084,317,0.146460
person,1076,248,0.391933
many,1071,305,0.185050
actually,1066,275,0.288591
others,1058,278,0.277741
ways,1057,304,0.188334
together,1022,279,0.274150
away,1010,291,0.232039
mindfulness,1006,229,0.471640
need,990,265,0.325632
without,970,292,0.228608
joy,965,170,0.769563
path,958,234,0.450041
feels,919,274,0.292234
happening,918,238,0.433091
end,889,305,0.185050
center,885,367,0.000000
everything,882,249,0.387909
dharma,877,214,0.539386
thought,875,251,0.379909
start,870,259,0.348534
buddhism,865,250,0.383901
work,850,242,0.416424
happiness,846,177,0.729212
pali,843,270,0.306940
seeing,831,224,0.493716
become,823,283,0.259915
today,819,282,0.263455
open,818,258,0.352402
kindness,816,197,0.622158
change,811,188,0.668920
important,806,264,0.329413
anything,806,267,0.318113
day,794,269,0.310650
happy,791,275,0.288591
guided,783,273,0.295890
generated,777,367,0.000000
comes,776,268,0.314375
still,772,267,0.318113
yeah,767,134,1.007522
letting,764,237,0.437302
state,760,241,0.420565
sitting,755,286,0.249370
point,751,250,0.383901
look,750,254,0.368028
another,747,250,0.383901
notice,731,209,0.563028
enough,728,256,0.360184
trying,724,256,0.360184
compassion,717,161,0.823957
always,716,250,0.383901
sensations,713,192,0.647866
coming,698,253,0.371972
space,685,184,0.690426
quite,682,251,0.379909
great,680,222,0.502684
long,668,250,0.383901
story,664,161,0.823957
saying,653,198,0.617095
course,651,224,0.493716
means,646,232,0.458624
pleasure,644,128,1.053332
bring,643,225,0.489261
live,641,206,0.577486
d,637,229,0.471640
peace,636,197,0.622158
knowing,630,191,0.653088
free,626,256,0.360184
spiritual,622,127,1.061175
welcome,617,297,0.211630
calm,614,162,0.817766
better,611,224,0.493716
able,610,225,0.489261
next,608,245,0.404104
given,606,367,0.000000
certain,605,230,0.467283
allow,603,234,0.450041
freedom,601,182,0.701355
sit,598,248,0.391933
week,597,236,0.441530
give,594,232,0.458624
question,593,169,0.775463
aware,593,185,0.685006
simple,581,203,0.592156
someone,580,203,0.592156
deeper,576,192,0.647866
wisdom,575,161,0.823957
posture,575,220,0.511734
use,571,214,0.539386
teachings,571,194,0.637504
years,568,195,0.632362
understand,568,216,0.530083
dukkha,565,114,1.169163
put,562,229,0.471640
helpful,561,151,0.888082
stay,561,195,0.632362
support,559,211,0.553504
called,558,231,0.462944
transcript,556,367,0.000000
begin,555,214,0.539386
desire,555,121,1.109571
relax,552,209,0.563028
almost,552,221,0.507199
beautiful,549,174,0.746307
new,546,191,0.653088
clear,544,208,0.567824
tension,544,151,0.888082
else,541,211,0.553504
getting,538,225,0.489261
got,535,168,0.781398
within,529,206,0.577486
please,528,367,0.000000
equanimity,528,110,1.204881
nice,527,210,0.558254
happen,527,212,0.548776
ease,526,178,0.723578
rather,524,218,0.520867
keep,523,213,0.544070
pain,518,152,0.881481
understanding,515,186,0.679615
becomes,515,225,0.489261
following,509,367,0.000000
possible,509,206,0.577486
settling,507,161,0.823957
didn,505,185,0.685006
settle,505,191,0.653088
teaching,504,180,0.712405
looking,501,201,0.602057
eyes,497,213,0.544070
clinging,490,136,0.992707
king,489,37,2.294444
